votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:44Z,0.0,0.0
1053,0,edison,2020-11-04T01:23:07Z,0.585,0.407
2190,0,edison,2020-11-04T01:28:39Z,0.602,0.395
3709,0,edison,2020-11-04T01:29:35Z,0.489,0.506
4280,0,edison,2020-11-04T01:32:46Z,0.474,0.52
5249,0,edison,2020-11-04T01:40:51Z,0.476,0.516
8971,0,edison,2020-11-04T01:41:31Z,0.52,0.472
9234,0,edison,2020-11-04T01:42:13Z,0.53,0.463
10648,0,edison,2020-11-04T01:43:04Z,0.551,0.439
11670,0,edison,2020-11-04T01:45:58Z,0.515,0.475
11672,0,edison,2020-11-04T01:46:29Z,0.515,0.475
18631,1,edison,2020-11-04T01:49:11Z,0.592,0.398
21290,1,edison,2020-11-04T01:52:02Z,0.58,0.406
23626,1,edison,2020-11-04T01:55:09Z,0.564,0.423
30815,1,edison,2020-11-04T01:56:07Z,0.533,0.452
32278,1,edison,2020-11-04T01:57:36Z,0.53,0.454
40640,2,edison,2020-11-04T02:00:03Z,0.519,0.468
57276,2,edison,2020-11-04T02:02:35Z,0.526,0.462
57720,2,edison,2020-11-04T02:02:42Z,0.523,0.465
60973,3,edison,2020-11-04T02:03:00Z,0.499,0.489
61798,3,edison,2020-11-04T02:04:16Z,0.497,0.491
64748,3,edison,2020-11-04T02:06:06Z,0.49,0.498
66834,3,edison,2020-11-04T02:08:52Z,0.49,0.497
87270,4,edison,2020-11-04T02:09:29Z,0.449,0.538
87819,4,edison,2020-11-04T02:09:46Z,0.447,0.54
96685,4,edison,2020-11-04T02:10:50Z,0.485,0.501
102521,4,edison,2020-11-04T02:12:20Z,0.473,0.514
106641,4,edison,2020-11-04T02:12:31Z,0.47,0.517
110254,5,edison,2020-11-04T02:16:36Z,0.466,0.522
115261,5,edison,2020-11-04T02:16:48Z,0.449,0.539
117598,5,edison,2020-11-04T02:17:24Z,0.444,0.544
150325,6,edison,2020-11-04T02:18:14Z,0.485,0.503
167645,7,edison,2020-11-04T02:19:55Z,0.499,0.489
177093,7,edison,2020-11-04T02:22:05Z,0.487,0.502
193780,8,edison,2020-11-04T02:22:13Z,0.477,0.51
200496,8,edison,2020-11-04T02:22:55Z,0.465,0.523
210956,9,edison,2020-11-04T02:23:15Z,0.457,0.531
218259,9,edison,2020-11-04T02:23:54Z,0.447,0.54
218829,9,edison,2020-11-04T02:25:01Z,0.447,0.541
233304,10,edison,2020-11-04T02:26:10Z,0.44,0.547
242977,10,edison,2020-11-04T02:26:59Z,0.432,0.555
252138,11,edison,2020-11-04T02:27:21Z,0.428,0.56
255016,11,edison,2020-11-04T02:27:48Z,0.429,0.559
257678,11,edison,2020-11-04T02:28:17Z,0.425,0.562
264984,11,edison,2020-11-04T02:29:00Z,0.42,0.568
269473,11,edison,2020-11-04T02:31:33Z,0.419,0.569
270553,11,edison,2020-11-04T02:31:58Z,0.418,0.57
273485,11,edison,2020-11-04T02:32:19Z,0.416,0.572
289656,12,edison,2020-11-04T02:32:33Z,0.397,0.591
303052,13,edison,2020-11-04T02:33:33Z,0.386,0.603
307778,13,edison,2020-11-04T02:33:39Z,0.388,0.6
310028,13,edison,2020-11-04T02:34:46Z,0.386,0.602
316226,13,edison,2020-11-04T02:35:38Z,0.384,0.605
351230,15,edison,2020-11-04T02:35:52Z,0.42,0.568
382216,16,edison,2020-11-04T02:38:15Z,0.419,0.569
387164,16,edison,2020-11-04T02:38:29Z,0.414,0.573
388800,16,edison,2020-11-04T02:38:46Z,0.415,0.573
394235,17,edison,2020-11-04T02:39:23Z,0.41,0.578
398903,17,edison,2020-11-04T02:39:35Z,0.41,0.578
401116,17,edison,2020-11-04T02:40:43Z,0.41,0.578
402460,17,edison,2020-11-04T02:42:18Z,0.409,0.579
406849,17,edison,2020-11-04T02:43:53Z,0.407,0.581
422048,18,edison,2020-11-04T02:45:28Z,0.419,0.57
