votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:44Z,0.0,0.0
113744,31,edison,2020-11-04T07:47:41Z,0.352,0.605
132475,36,edison,2020-11-04T08:57:55Z,0.347,0.614
172031,56,edison,2020-11-04T18:34:58Z,0.33,0.629
190970,61,edison,2020-11-09T19:09:13Z,0.336,0.622
240234,75,edison,2020-11-11T02:46:15Z,0.381,0.58
260983,75,edison,2020-11-11T13:18:28Z,0.391,0.569
286788,78,edison,2020-11-12T16:41:43Z,0.403,0.559
312033,99,edison,2020-11-13T02:25:15Z,0.421,0.541
325194,99,edison,2020-11-13T13:55:46Z,0.425,0.533
