votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:04Z,0.0,0.0
104866,3,edison,2020-11-04T03:03:36Z,0.48,0.505
730299,23,edison,2020-11-04T03:05:47Z,0.566,0.421
2203485,69,edison,2020-11-04T03:06:25Z,0.55,0.437
2234553,70,edison,2020-11-04T03:08:46Z,0.549,0.438
2304343,72,edison,2020-11-04T03:10:54Z,0.541,0.446
2329555,73,edison,2020-11-04T03:13:47Z,0.539,0.448
2331561,73,edison,2020-11-04T03:14:48Z,0.539,0.449
2331651,73,edison,2020-11-04T03:16:33Z,0.539,0.448
2332883,73,edison,2020-11-04T03:17:55Z,0.538,0.448
2346888,73,edison,2020-11-04T03:18:15Z,0.539,0.447
2383450,74,edison,2020-11-04T03:22:32Z,0.538,0.448
2396381,75,edison,2020-11-04T03:24:23Z,0.537,0.45
2396411,75,edison,2020-11-04T03:31:35Z,0.537,0.45
2397005,75,edison,2020-11-04T03:34:13Z,0.537,0.45
2397263,75,edison,2020-11-04T03:37:56Z,0.537,0.45
2398824,75,edison,2020-11-04T03:57:01Z,0.537,0.45
2400954,75,edison,2020-11-04T04:03:37Z,0.537,0.45
2402922,75,edison,2020-11-04T04:04:48Z,0.536,0.45
2403384,75,edison,2020-11-04T04:05:29Z,0.536,0.45
2404551,75,edison,2020-11-04T04:07:29Z,0.536,0.45
2408896,75,edison,2020-11-04T04:23:33Z,0.536,0.451
2410178,75,edison,2020-11-04T04:26:30Z,0.535,0.451
2420394,76,edison,2020-11-04T04:38:07Z,0.536,0.45
2483748,78,edison,2020-11-04T05:53:27Z,0.531,0.456
2483894,78,edison,2020-11-04T05:57:55Z,0.531,0.456
2502286,78,edison,2020-11-04T06:01:59Z,0.528,0.458
2521845,79,edison,2020-11-04T06:04:42Z,0.526,0.46
2533873,79,edison,2020-11-04T06:07:45Z,0.526,0.461
2536236,79,edison,2020-11-04T06:17:33Z,0.525,0.461
2537774,79,edison,2020-11-04T06:34:40Z,0.525,0.461
2550854,80,edison,2020-11-04T06:43:46Z,0.524,0.463
2552808,80,edison,2020-11-04T06:48:46Z,0.524,0.463
2552842,80,edison,2020-11-04T06:52:30Z,0.524,0.463
2567895,80,edison,2020-11-04T07:20:03Z,0.523,0.463
2567903,80,edison,2020-11-04T07:20:41Z,0.523,0.463
2623219,82,edison,2020-11-04T07:30:48Z,0.519,0.467
2638624,82,edison,2020-11-04T07:33:40Z,0.518,0.469
2639559,82,edison,2020-11-04T07:39:40Z,0.518,0.468
2766463,99,edison,2020-11-04T14:44:09Z,0.51,0.476
2766673,86,edison,2020-11-04T18:51:42Z,0.51,0.476
2766739,86,edison,2020-11-04T19:39:52Z,0.51,0.476
2767524,86,edison,2020-11-04T20:27:42Z,0.51,0.476
2773138,86,edison,2020-11-05T00:41:41Z,0.51,0.476
2848675,86,edison,2020-11-05T02:02:47Z,0.507,0.479
2910677,86,edison,2020-11-05T07:40:12Z,0.505,0.481
2912613,86,edison,2020-11-05T19:13:40Z,0.505,0.481
2913245,86,edison,2020-11-05T19:45:35Z,0.505,0.481
2913429,86,edison,2020-11-05T19:49:34Z,0.505,0.481
2914614,86,edison,2020-11-05T20:51:36Z,0.505,0.481
2918839,86,edison,2020-11-05T22:57:35Z,0.505,0.481
2926841,86,edison,2020-11-05T23:06:37Z,0.504,0.482
2932674,86,edison,2020-11-06T00:14:38Z,0.504,0.483
2934297,86,edison,2020-11-06T00:34:35Z,0.503,0.483
2939466,86,edison,2020-11-06T00:37:43Z,0.503,0.483
2945456,87,edison,2020-11-06T00:53:35Z,0.503,0.483
2973800,87,edison,2020-11-06T00:56:36Z,0.502,0.483
2974062,87,edison,2020-11-06T01:11:35Z,0.502,0.483
2976285,88,edison,2020-11-06T01:13:36Z,0.503,0.483
2978242,88,edison,2020-11-06T01:27:35Z,0.503,0.483
3053556,90,edison,2020-11-06T02:01:44Z,0.501,0.485
3054736,90,edison,2020-11-06T03:35:42Z,0.501,0.485
3060449,90,edison,2020-11-06T05:27:48Z,0.501,0.485
3122238,92,edison,2020-11-06T16:01:42Z,0.5,0.486
3123624,92,edison,2020-11-06T16:09:38Z,0.5,0.486
3123624,93,edison,2020-11-06T16:33:32Z,0.5,0.486
3127581,93,edison,2020-11-06T19:23:36Z,0.499,0.486
3128667,93,edison,2020-11-06T19:48:35Z,0.499,0.486
3135333,94,edison,2020-11-06T20:27:36Z,0.499,0.486
3136364,94,edison,2020-11-06T22:16:38Z,0.499,0.486
3141210,94,edison,2020-11-06T23:04:37Z,0.499,0.486
3150091,94,edison,2020-11-06T23:13:05Z,0.499,0.486
3150295,94,edison,2020-11-06T23:13:36Z,0.499,0.486
3152467,94,edison,2020-11-06T23:42:34Z,0.499,0.486
3155443,94,edison,2020-11-07T00:27:35Z,0.498,0.487
3156055,94,edison,2020-11-07T01:24:38Z,0.498,0.487
3227987,96,edison,2020-11-07T02:01:44Z,0.497,0.488
3235450,97,edison,2020-11-07T02:02:26Z,0.496,0.487
3242445,97,edison,2020-11-07T15:37:37Z,0.495,0.487
3244195,97,edison,2020-11-07T15:53:37Z,0.495,0.487
3284602,97,edison,2020-11-07T16:01:45Z,0.495,0.489
3284905,97,edison,2020-11-07T20:01:48Z,0.495,0.489
3285927,97,edison,2020-11-07T21:27:39Z,0.495,0.489
3293046,97,edison,2020-11-08T01:02:42Z,0.495,0.489
3295325,97,edison,2020-11-08T02:19:59Z,0.495,0.489
3295569,97,edison,2020-11-08T17:37:42Z,0.495,0.489
3298607,97,edison,2020-11-08T19:29:36Z,0.495,0.489
3305469,97,edison,2020-11-08T23:01:47Z,0.495,0.489
3308722,97,edison,2020-11-08T23:29:43Z,0.495,0.489
3322208,98,edison,2020-11-08T23:34:40Z,0.495,0.49
3322535,98,edison,2020-11-09T00:48:39Z,0.495,0.49
3322568,98,edison,2020-11-09T18:02:37Z,0.495,0.49
3322659,98,edison,2020-11-09T18:08:43Z,0.495,0.49
3322804,98,edison,2020-11-09T18:17:37Z,0.495,0.49
3323228,98,edison,2020-11-09T18:32:35Z,0.495,0.49
3324015,98,edison,2020-11-09T21:05:46Z,0.495,0.49
3327452,98,edison,2020-11-09T22:22:36Z,0.494,0.49
3328043,98,edison,2020-11-09T23:54:39Z,0.494,0.49
3328462,98,edison,2020-11-10T00:29:36Z,0.494,0.49
3328643,98,edison,2020-11-10T00:45:36Z,0.494,0.49
3335040,98,edison,2020-11-10T02:01:42Z,0.494,0.49
3335055,98,edison,2020-11-10T20:11:44Z,0.494,0.49
3340535,98,edison,2020-11-10T21:39:45Z,0.495,0.49
3341449,98,edison,2020-11-10T23:18:55Z,0.494,0.49
