votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:38:22Z,0.0,0.0
2119,0,edison,2020-11-04T01:37:24Z,0.366,0.602
13130,1,edison,2020-11-04T01:37:46Z,0.235,0.736
60945,5,edison,2020-11-04T01:42:45Z,0.284,0.694
64224,5,edison,2020-11-04T01:43:29Z,0.277,0.7
67746,5,edison,2020-11-04T01:48:46Z,0.279,0.699
73207,6,edison,2020-11-04T01:49:46Z,0.273,0.705
112053,9,edison,2020-11-04T01:50:45Z,0.293,0.685
158484,12,edison,2020-11-04T01:52:47Z,0.308,0.668
166955,13,edison,2020-11-04T01:54:46Z,0.302,0.674
179877,14,edison,2020-11-04T01:56:45Z,0.294,0.682
180308,14,edison,2020-11-04T02:00:47Z,0.295,0.681
180990,14,edison,2020-11-04T02:01:17Z,0.294,0.681
185120,15,edison,2020-11-04T02:01:45Z,0.294,0.682
191879,15,edison,2020-11-04T02:05:15Z,0.296,0.679
197897,16,edison,2020-11-04T02:07:32Z,0.292,0.683
203539,16,edison,2020-11-04T02:08:46Z,0.292,0.684
331194,26,edison,2020-11-04T02:09:59Z,0.413,0.563
336739,27,edison,2020-11-04T02:10:50Z,0.411,0.565
439509,35,edison,2020-11-04T02:11:45Z,0.4,0.575
442939,35,edison,2020-11-04T02:12:53Z,0.403,0.573
460611,36,edison,2020-11-04T02:14:13Z,0.396,0.579
460612,36,edison,2020-11-04T02:14:47Z,0.396,0.579
466464,37,edison,2020-11-04T02:15:46Z,0.394,0.582
471312,37,edison,2020-11-04T02:16:30Z,0.393,0.582
481420,38,edison,2020-11-04T02:23:26Z,0.393,0.582
481890,38,edison,2020-11-04T02:26:59Z,0.393,0.583
484663,38,edison,2020-11-04T02:27:27Z,0.392,0.584
488676,38,edison,2020-11-04T02:29:04Z,0.39,0.585
495309,39,edison,2020-11-04T02:30:56Z,0.39,0.585
497058,39,edison,2020-11-04T02:31:49Z,0.389,0.586
501150,39,edison,2020-11-04T02:32:03Z,0.388,0.587
503998,40,edison,2020-11-04T02:36:37Z,0.388,0.586
507203,40,edison,2020-11-04T02:39:31Z,0.387,0.588
508213,40,edison,2020-11-04T02:40:34Z,0.388,0.587
509308,40,edison,2020-11-04T02:40:46Z,0.388,0.587
511632,40,edison,2020-11-04T02:42:40Z,0.386,0.588
512593,40,edison,2020-11-04T02:45:05Z,0.386,0.589
516520,41,edison,2020-11-04T02:46:03Z,0.384,0.59
519995,41,edison,2020-11-04T02:49:07Z,0.383,0.592
524813,41,edison,2020-11-04T02:49:28Z,0.382,0.593
526522,41,edison,2020-11-04T02:51:05Z,0.381,0.594
527570,42,edison,2020-11-04T02:51:30Z,0.38,0.594
531069,42,edison,2020-11-04T02:52:36Z,0.379,0.596
538562,42,edison,2020-11-04T02:54:49Z,0.376,0.599
539649,42,edison,2020-11-04T02:58:07Z,0.376,0.599
545441,43,edison,2020-11-04T02:59:25Z,0.373,0.601
547210,43,edison,2020-11-04T03:02:04Z,0.373,0.601
549262,43,edison,2020-11-04T03:02:38Z,0.373,0.602
551084,43,edison,2020-11-04T03:06:32Z,0.372,0.602
553227,44,edison,2020-11-04T03:07:07Z,0.371,0.603
565730,45,edison,2020-11-04T03:09:54Z,0.368,0.606
570886,45,edison,2020-11-04T03:10:39Z,0.367,0.608
595253,47,edison,2020-11-04T03:11:29Z,0.361,0.613
597284,47,edison,2020-11-04T03:12:19Z,0.361,0.613
605752,48,edison,2020-11-04T03:14:47Z,0.358,0.616
611464,48,edison,2020-11-04T03:16:50Z,0.357,0.617
624285,49,edison,2020-11-04T03:18:29Z,0.355,0.619
657541,52,edison,2020-11-04T03:20:48Z,0.353,0.622
671410,53,edison,2020-11-04T03:21:20Z,0.351,0.623
673837,53,edison,2020-11-04T03:22:16Z,0.352,0.623
675573,53,edison,2020-11-04T03:22:32Z,0.351,0.623
681809,54,edison,2020-11-04T03:23:33Z,0.35,0.624
698826,55,edison,2020-11-04T03:26:40Z,0.346,0.628
699410,55,edison,2020-11-04T03:30:29Z,0.346,0.628
707768,56,edison,2020-11-04T03:33:22Z,0.347,0.627
709007,56,edison,2020-11-04T03:35:29Z,0.347,0.627
718409,57,edison,2020-11-04T03:36:02Z,0.345,0.629
729232,57,edison,2020-11-04T03:38:49Z,0.343,0.631
735794,58,edison,2020-11-04T03:39:03Z,0.342,0.632
735894,58,edison,2020-11-04T03:40:21Z,0.342,0.632
743250,59,edison,2020-11-04T03:40:55Z,0.34,0.633
757357,60,edison,2020-11-04T03:45:40Z,0.341,0.633
798536,63,edison,2020-11-04T03:47:58Z,0.339,0.634
801876,63,edison,2020-11-04T03:48:30Z,0.339,0.634
812457,64,edison,2020-11-04T03:50:39Z,0.337,0.636
814149,64,edison,2020-11-04T03:51:06Z,0.337,0.636
822060,65,edison,2020-11-04T03:53:11Z,0.336,0.637
822082,65,edison,2020-11-04T03:54:06Z,0.336,0.637
830219,65,edison,2020-11-04T03:56:37Z,0.335,0.638
832112,66,edison,2020-11-04T03:57:18Z,0.335,0.639
834581,66,edison,2020-11-04T04:04:19Z,0.335,0.639
856147,67,edison,2020-11-04T04:08:49Z,0.331,0.643
887590,70,edison,2020-11-04T04:11:41Z,0.326,0.647
891055,70,edison,2020-11-04T04:11:46Z,0.325,0.648
892644,70,edison,2020-11-04T04:12:32Z,0.325,0.648
926583,73,edison,2020-11-04T04:16:23Z,0.325,0.648
928801,73,edison,2020-11-04T04:18:12Z,0.324,0.648
931801,73,edison,2020-11-04T04:18:16Z,0.323,0.65
938855,74,edison,2020-11-04T04:19:42Z,0.325,0.648
941267,74,edison,2020-11-04T04:20:39Z,0.324,0.648
943486,74,edison,2020-11-04T04:22:48Z,0.324,0.649
948688,75,edison,2020-11-04T04:26:30Z,0.323,0.649
973718,77,edison,2020-11-04T04:34:14Z,0.33,0.642
976367,77,edison,2020-11-04T04:35:48Z,0.33,0.642
994022,78,edison,2020-11-04T04:44:01Z,0.336,0.637
999879,79,edison,2020-11-04T04:57:51Z,0.335,0.638
1003467,79,edison,2020-11-04T05:01:45Z,0.334,0.638
1008923,79,edison,2020-11-04T05:04:06Z,0.335,0.637
1009586,79,edison,2020-11-04T05:06:08Z,0.335,0.637
1013230,80,edison,2020-11-04T05:07:23Z,0.335,0.637
1013564,80,edison,2020-11-04T05:09:55Z,0.335,0.637
1032303,81,edison,2020-11-04T05:12:11Z,0.336,0.636
1050915,83,edison,2020-11-04T05:14:22Z,0.339,0.633
1087494,86,edison,2020-11-04T05:21:19Z,0.335,0.637
1180961,93,edison,2020-11-04T05:31:10Z,0.345,0.627
1183783,93,edison,2020-11-04T05:37:13Z,0.345,0.627
1184070,93,edison,2020-11-04T05:41:54Z,0.345,0.627
1185056,93,edison,2020-11-04T05:48:28Z,0.345,0.626
1197343,94,edison,2020-11-04T06:33:42Z,0.346,0.626
1197356,94,edison,2020-11-04T06:37:41Z,0.346,0.626
1198055,94,edison,2020-11-04T07:00:19Z,0.346,0.626
1198076,94,edison,2020-11-04T14:36:42Z,0.346,0.626
1198100,94,edison,2020-11-04T17:16:41Z,0.346,0.626
1207223,95,edison,2020-11-04T18:51:43Z,0.345,0.627
1207308,95,edison,2020-11-04T20:10:45Z,0.345,0.627
1207484,95,edison,2020-11-04T20:18:41Z,0.345,0.627
1207484,99,edison,2020-11-04T21:43:00Z,0.345,0.627
1211482,99,edison,2020-11-04T22:26:42Z,0.344,0.627
1213314,99,edison,2020-11-04T23:44:41Z,0.345,0.627
1213460,99,edison,2020-11-05T16:02:43Z,0.345,0.627
1213461,99,edison,2020-11-05T16:29:42Z,0.345,0.627
1213693,99,edison,2020-11-05T21:24:36Z,0.345,0.627
1217570,99,edison,2020-11-05T21:47:53Z,0.345,0.626
1219812,99,edison,2020-11-05T21:50:46Z,0.345,0.627
1216812,99,edison,2020-11-06T18:49:46Z,0.346,0.626
1212935,99,edison,2020-11-06T19:10:54Z,0.345,0.626
1207938,99,edison,2020-11-06T19:28:56Z,0.346,0.626
1207944,99,edison,2020-11-06T19:56:36Z,0.346,0.626
1211821,99,edison,2020-11-07T14:58:48Z,0.346,0.625
1216818,99,edison,2020-11-07T14:59:54Z,0.346,0.626
1218150,99,edison,2020-11-09T15:03:37Z,0.346,0.626
1213153,99,edison,2020-11-09T16:31:08Z,0.346,0.625
1209276,99,edison,2020-11-09T16:56:39Z,0.346,0.626
1209279,99,edison,2020-11-09T17:12:39Z,0.346,0.626
1209280,99,edison,2020-11-09T20:17:36Z,0.346,0.626
1209326,99,edison,2020-11-10T04:15:53Z,0.346,0.626
1209341,99,edison,2020-11-10T18:32:46Z,0.346,0.626
1209360,99,edison,2020-11-10T18:36:44Z,0.346,0.626
1209372,99,edison,2020-11-10T21:50:44Z,0.346,0.626
1209373,99,edison,2020-11-12T16:43:44Z,0.346,0.626
1209395,99,edison,2020-11-12T17:34:48Z,0.346,0.626
1209402,99,edison,2020-11-12T20:05:45Z,0.346,0.626
1209417,99,edison,2020-11-12T21:54:52Z,0.346,0.626
