votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:44Z,0.0,0.0
5305,0,edison,2020-11-04T04:11:07Z,0.583,0.395
231201,1,edison,2020-11-04T04:13:01Z,0.82,0.165
331266,2,edison,2020-11-04T04:13:33Z,0.765,0.218
642538,4,edison,2020-11-04T04:16:17Z,0.696,0.287
1412427,9,edison,2020-11-04T04:17:37Z,0.638,0.344
1412430,9,edison,2020-11-04T04:18:49Z,0.638,0.344
1800603,11,edison,2020-11-04T04:22:42Z,0.658,0.324
1800605,11,edison,2020-11-04T04:23:21Z,0.658,0.324
2241957,14,edison,2020-11-04T04:23:50Z,0.683,0.299
5848667,36,edison,2020-11-04T04:25:00Z,0.714,0.269
6352519,39,edison,2020-11-04T04:26:07Z,0.719,0.264
7365710,45,edison,2020-11-04T04:26:26Z,0.702,0.28
7365786,45,edison,2020-11-04T04:27:33Z,0.702,0.28
7365836,45,edison,2020-11-04T04:29:26Z,0.702,0.28
7527288,46,edison,2020-11-04T04:31:22Z,0.699,0.283
7527311,46,edison,2020-11-04T04:31:54Z,0.699,0.283
7814144,48,edison,2020-11-04T04:33:41Z,0.702,0.281
7815090,48,edison,2020-11-04T04:33:56Z,0.702,0.281
7932880,49,edison,2020-11-04T04:37:06Z,0.7,0.282
8315467,51,edison,2020-11-04T04:39:33Z,0.694,0.288
8471564,52,edison,2020-11-04T04:40:48Z,0.692,0.29
8471566,52,edison,2020-11-04T04:42:43Z,0.692,0.29
8471656,52,edison,2020-11-04T04:44:44Z,0.692,0.29
8584235,53,edison,2020-11-04T04:45:07Z,0.693,0.289
8584247,53,edison,2020-11-04T04:47:41Z,0.693,0.289
9436247,58,edison,2020-11-04T04:50:59Z,0.689,0.293
9630411,59,edison,2020-11-04T04:51:08Z,0.685,0.297
9691456,60,edison,2020-11-04T04:54:01Z,0.684,0.298
9691585,60,edison,2020-11-04T04:56:05Z,0.684,0.298
9783862,60,edison,2020-11-04T04:57:52Z,0.686,0.297
9785519,60,edison,2020-11-04T05:00:50Z,0.686,0.297
9801015,60,edison,2020-11-04T05:03:07Z,0.685,0.297
9808310,60,edison,2020-11-04T05:09:19Z,0.685,0.297
9862796,61,edison,2020-11-04T05:18:47Z,0.685,0.297
9862819,61,edison,2020-11-04T05:21:28Z,0.685,0.297
