votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:44Z,0.0,0.0
366048,11,edison,2020-11-04T02:09:20Z,0.713,0.27
371654,11,edison,2020-11-04T02:11:09Z,0.711,0.271
465025,14,edison,2020-11-04T02:12:59Z,0.671,0.311
480454,15,edison,2020-11-04T02:17:28Z,0.67,0.311
785490,24,edison,2020-11-04T02:18:07Z,0.652,0.328
1025680,31,edison,2020-11-04T02:18:14Z,0.605,0.375
1054882,32,edison,2020-11-04T02:20:35Z,0.603,0.377
1065224,32,edison,2020-11-04T02:22:05Z,0.6,0.379
1113080,34,edison,2020-11-04T02:27:32Z,0.604,0.376
1143322,35,edison,2020-11-04T02:31:49Z,0.597,0.383
1491619,45,edison,2020-11-04T02:32:08Z,0.595,0.383
1507385,46,edison,2020-11-04T02:34:25Z,0.592,0.386
1533734,47,edison,2020-11-04T02:34:33Z,0.593,0.386
1842843,56,edison,2020-11-04T02:34:54Z,0.572,0.406
2065128,63,edison,2020-11-04T02:35:53Z,0.572,0.405
2090420,64,edison,2020-11-04T02:38:20Z,0.569,0.408
2217396,68,edison,2020-11-04T02:40:42Z,0.584,0.393
2231984,68,edison,2020-11-04T02:41:12Z,0.584,0.394
2303151,70,edison,2020-11-04T02:42:37Z,0.577,0.4
2343344,71,edison,2020-11-04T02:46:02Z,0.577,0.401
2351546,72,edison,2020-11-04T02:49:20Z,0.576,0.401
2360476,72,edison,2020-11-04T02:50:04Z,0.575,0.403
2365130,72,edison,2020-11-04T02:50:27Z,0.574,0.404
2369034,72,edison,2020-11-04T02:52:23Z,0.574,0.404
2573457,78,edison,2020-11-04T03:00:09Z,0.574,0.403
2574359,78,edison,2020-11-04T03:02:45Z,0.574,0.403
2575866,79,edison,2020-11-04T03:05:05Z,0.574,0.403
2579008,79,edison,2020-11-04T03:07:16Z,0.574,0.404
2583397,79,edison,2020-11-04T03:08:31Z,0.573,0.404
2584151,79,edison,2020-11-04T03:13:21Z,0.573,0.404
2592492,79,edison,2020-11-04T03:14:02Z,0.573,0.404
2604443,79,edison,2020-11-04T03:27:18Z,0.571,0.406
2604504,79,edison,2020-11-04T03:29:18Z,0.571,0.406
2618442,80,edison,2020-11-04T03:37:56Z,0.571,0.406
2618561,80,edison,2020-11-04T03:41:08Z,0.571,0.406
2630166,80,edison,2020-11-04T03:44:43Z,0.57,0.407
2716506,83,edison,2020-11-04T03:46:57Z,0.565,0.412
2716750,83,edison,2020-11-04T03:55:36Z,0.565,0.412
2721090,83,edison,2020-11-04T03:56:19Z,0.565,0.412
2721111,83,edison,2020-11-04T04:01:48Z,0.565,0.412
2721765,83,edison,2020-11-04T04:04:34Z,0.565,0.412
2772820,85,edison,2020-11-04T04:05:36Z,0.566,0.411
2774090,85,edison,2020-11-04T04:06:24Z,0.566,0.411
2781733,85,edison,2020-11-04T04:12:15Z,0.566,0.411
2781734,85,edison,2020-11-04T04:12:56Z,0.566,0.411
2787572,85,edison,2020-11-04T04:14:34Z,0.566,0.411
2792909,85,edison,2020-11-04T04:20:22Z,0.565,0.412
2796550,85,edison,2020-11-04T04:26:17Z,0.565,0.412
2796669,85,edison,2020-11-04T04:31:25Z,0.565,0.412
2800876,85,edison,2020-11-04T04:38:42Z,0.564,0.412
2801564,85,edison,2020-11-04T04:43:59Z,0.564,0.412
2805923,86,edison,2020-11-04T04:49:06Z,0.564,0.413
2807699,86,edison,2020-11-04T05:00:25Z,0.564,0.413
2807919,86,edison,2020-11-04T05:09:28Z,0.564,0.413
2818673,86,edison,2020-11-04T05:10:23Z,0.564,0.413
2825473,86,edison,2020-11-04T05:11:56Z,0.563,0.413
2828128,86,edison,2020-11-04T05:16:57Z,0.563,0.413
2829798,86,edison,2020-11-04T05:17:45Z,0.563,0.413
2832591,86,edison,2020-11-04T05:30:25Z,0.563,0.414
2833788,86,edison,2020-11-04T05:32:58Z,0.563,0.414
2835705,86,edison,2020-11-04T05:37:30Z,0.563,0.414
2839938,87,edison,2020-11-04T05:44:21Z,0.562,0.414
2840622,87,edison,2020-11-04T05:47:56Z,0.562,0.414
2843848,87,edison,2020-11-04T05:54:44Z,0.562,0.415
2844486,87,edison,2020-11-04T06:00:42Z,0.562,0.415
2861382,87,edison,2020-11-04T06:08:54Z,0.56,0.416
2862265,87,edison,2020-11-04T06:13:36Z,0.56,0.416
2862266,87,edison,2020-11-04T06:14:32Z,0.56,0.416
2862267,87,edison,2020-11-04T06:14:57Z,0.56,0.416
2866771,87,edison,2020-11-04T06:15:44Z,0.56,0.416
2871505,88,edison,2020-11-04T06:29:52Z,0.56,0.416
