votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:24Z,0.0,0.0
7835,0,edison,2020-11-04T01:06:29Z,0.559,0.401
17302,1,edison,2020-11-04T01:19:15Z,0.659,0.318
19877,1,edison,2020-11-04T01:22:49Z,0.64,0.338
24966,1,edison,2020-11-04T01:31:46Z,0.614,0.364
24966,1,edison,2020-11-04T01:31:46Z,0.614,0.364
29306,2,edison,2020-11-04T01:32:00Z,0.649,0.33
35856,2,edison,2020-11-04T01:36:15Z,0.677,0.304
39132,2,edison,2020-11-04T01:37:46Z,0.671,0.31
40679,2,edison,2020-11-04T01:44:02Z,0.664,0.317
44756,2,edison,2020-11-04T01:45:05Z,0.672,0.31
56399,3,edison,2020-11-04T01:51:52Z,0.658,0.324
57830,3,edison,2020-11-04T01:52:12Z,0.667,0.316
59452,3,edison,2020-11-04T01:55:47Z,0.664,0.318
59850,3,edison,2020-11-04T01:57:01Z,0.66,0.323
74104,4,edison,2020-11-04T02:02:51Z,0.633,0.348
76194,4,edison,2020-11-04T02:05:32Z,0.631,0.35
78358,4,edison,2020-11-04T02:06:50Z,0.628,0.354
80290,4,edison,2020-11-04T02:09:10Z,0.625,0.356
84755,5,edison,2020-11-04T02:10:12Z,0.63,0.351
86526,5,edison,2020-11-04T02:17:41Z,0.634,0.347
90250,5,edison,2020-11-04T02:19:06Z,0.624,0.358
93562,5,edison,2020-11-04T02:23:21Z,0.617,0.365
95905,5,edison,2020-11-04T02:25:19Z,0.617,0.365
98424,5,edison,2020-11-04T02:28:17Z,0.611,0.37
104133,6,edison,2020-11-04T02:29:29Z,0.613,0.369
106625,6,edison,2020-11-04T02:35:12Z,0.612,0.37
116930,6,edison,2020-11-04T02:38:05Z,0.615,0.368
119571,6,edison,2020-11-04T02:40:50Z,0.618,0.364
153634,8,edison,2020-11-04T02:41:59Z,0.61,0.374
166071,9,edison,2020-11-04T02:42:22Z,0.605,0.379
170005,9,edison,2020-11-04T02:42:28Z,0.6,0.384
178854,10,edison,2020-11-04T02:46:05Z,0.593,0.391
216492,12,edison,2020-11-04T02:46:36Z,0.602,0.382
220742,12,edison,2020-11-04T02:49:28Z,0.606,0.378
245479,13,edison,2020-11-04T02:55:07Z,0.594,0.39
271796,15,edison,2020-11-04T02:56:55Z,0.59,0.395
274854,15,edison,2020-11-04T02:59:42Z,0.589,0.396
282748,15,edison,2020-11-04T03:01:20Z,0.591,0.394
294146,16,edison,2020-11-04T03:01:41Z,0.588,0.396
301793,16,edison,2020-11-04T03:06:08Z,0.588,0.397
338194,18,edison,2020-11-04T03:06:14Z,0.58,0.405
344765,19,edison,2020-11-04T03:10:43Z,0.58,0.404
354998,19,edison,2020-11-04T03:11:22Z,0.581,0.404
365193,20,edison,2020-11-04T03:13:04Z,0.575,0.41
375342,20,edison,2020-11-04T03:15:32Z,0.572,0.412
417223,23,edison,2020-11-04T03:19:14Z,0.572,0.413
422273,23,edison,2020-11-04T03:29:15Z,0.57,0.415
431356,23,edison,2020-11-04T03:30:59Z,0.569,0.416
453973,25,edison,2020-11-04T03:32:23Z,0.567,0.417
521970,28,edison,2020-11-04T03:37:10Z,0.562,0.422
524883,28,edison,2020-11-04T03:38:30Z,0.563,0.422
524922,28,edison,2020-11-04T03:38:46Z,0.563,0.422
548341,30,edison,2020-11-04T03:40:42Z,0.562,0.423
579365,31,edison,2020-11-04T03:42:24Z,0.554,0.43
632165,34,edison,2020-11-04T03:49:33Z,0.545,0.439
653330,35,edison,2020-11-04T03:57:18Z,0.553,0.431
662732,36,edison,2020-11-04T03:57:31Z,0.553,0.431
729912,39,edison,2020-11-04T03:57:34Z,0.557,0.427
770145,42,edison,2020-11-04T04:01:05Z,0.561,0.424
786649,43,edison,2020-11-04T04:08:39Z,0.56,0.425
786659,43,edison,2020-11-04T04:09:44Z,0.56,0.425
846501,46,edison,2020-11-04T04:15:08Z,0.569,0.416
884393,48,edison,2020-11-04T04:16:23Z,0.567,0.417
892904,48,edison,2020-11-04T04:17:07Z,0.566,0.419
901736,49,edison,2020-11-04T04:19:56Z,0.564,0.42
919425,50,edison,2020-11-04T04:22:53Z,0.563,0.422
919442,50,edison,2020-11-04T04:23:32Z,0.563,0.422
961673,52,edison,2020-11-04T04:28:39Z,0.562,0.422
966213,52,edison,2020-11-04T04:32:57Z,0.562,0.423
966683,52,edison,2020-11-04T04:34:04Z,0.561,0.423
1009717,55,edison,2020-11-04T04:37:37Z,0.562,0.422
1080723,58,edison,2020-11-04T04:46:50Z,0.568,0.416
1087797,59,edison,2020-11-04T04:47:03Z,0.569,0.415
1116179,60,edison,2020-11-04T04:47:41Z,0.57,0.414
1131779,61,edison,2020-11-04T04:51:29Z,0.57,0.414
1137024,61,edison,2020-11-04T04:56:42Z,0.569,0.415
1180661,64,edison,2020-11-04T04:57:52Z,0.569,0.415
1182752,64,edison,2020-11-04T05:01:23Z,0.569,0.415
1265670,68,edison,2020-11-04T05:05:35Z,0.574,0.41
1267702,69,edison,2020-11-04T05:07:18Z,0.574,0.41
1270906,69,edison,2020-11-04T05:10:24Z,0.574,0.41
1306809,71,edison,2020-11-04T05:12:28Z,0.574,0.411
1337495,72,edison,2020-11-04T05:16:29Z,0.572,0.412
1359288,73,edison,2020-11-04T05:27:24Z,0.573,0.411
1360158,74,edison,2020-11-04T05:40:58Z,0.573,0.411
1361450,74,edison,2020-11-04T05:41:12Z,0.573,0.411
1363786,74,edison,2020-11-04T05:51:11Z,0.573,0.411
1369448,74,edison,2020-11-04T05:54:13Z,0.572,0.412
1369491,74,edison,2020-11-04T05:55:08Z,0.572,0.412
1375218,74,edison,2020-11-04T05:56:15Z,0.571,0.413
1410551,76,edison,2020-11-04T05:58:57Z,0.573,0.411
1434987,78,edison,2020-11-04T05:59:43Z,0.573,0.411
