votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T06:22:59Z,0.0,0.0
115441,23,edison,2020-11-04T01:28:10Z,0.825,0.163
237335,48,edison,2020-11-04T03:52:59Z,0.632,0.356
300037,61,edison,2020-11-04T03:53:17Z,0.588,0.399
300647,61,edison,2020-11-04T05:07:49Z,0.588,0.399
308006,62,edison,2020-11-04T05:08:03Z,0.58,0.407
502343,98,edison,2020-11-04T05:48:15Z,0.588,0.398
502383,99,edison,2020-11-04T22:46:43Z,0.588,0.398
502384,99,edison,2020-11-06T03:34:22Z,0.588,0.398
502392,99,edison,2020-11-09T21:44:52Z,0.588,0.398
504010,99,edison,2020-11-10T22:30:51Z,0.588,0.398
