votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T06:43:00Z,0.0,0.0
560771,5,edison,2020-11-04T00:02:01Z,0.428,0.564
844914,7,edison,2020-11-04T00:02:42Z,0.434,0.557
1004171,9,edison,2020-11-04T00:03:26Z,0.435,0.556
1457441,12,edison,2020-11-04T00:05:44Z,0.467,0.524
1515932,13,edison,2020-11-04T00:07:05Z,0.461,0.53
1516751,13,edison,2020-11-04T00:07:48Z,0.461,0.53
1517513,13,edison,2020-11-04T00:08:50Z,0.461,0.53
1575006,13,edison,2020-11-04T00:09:04Z,0.46,0.532
1576355,13,edison,2020-11-04T00:09:47Z,0.459,0.532
1613677,14,edison,2020-11-04T00:10:11Z,0.46,0.531
1619774,14,edison,2020-11-04T00:10:49Z,0.459,0.532
1790869,15,edison,2020-11-04T00:11:09Z,0.458,0.533
1792571,15,edison,2020-11-04T00:11:13Z,0.458,0.533
1792783,15,edison,2020-11-04T00:11:36Z,0.458,0.533
2394114,20,edison,2020-11-04T00:11:47Z,0.482,0.509
2564464,22,edison,2020-11-04T00:12:48Z,0.498,0.493
2574380,22,edison,2020-11-04T00:12:52Z,0.498,0.493
2575945,22,edison,2020-11-04T00:13:10Z,0.498,0.493
2578773,22,edison,2020-11-04T00:13:49Z,0.497,0.493
2579357,22,edison,2020-11-04T00:14:23Z,0.497,0.493
2586442,22,edison,2020-11-04T00:14:47Z,0.497,0.494
3597254,31,edison,2020-11-04T00:15:17Z,0.51,0.482
3608125,31,edison,2020-11-04T00:15:47Z,0.509,0.483
4009077,34,edison,2020-11-04T00:16:05Z,0.512,0.479
4022428,34,edison,2020-11-04T00:16:49Z,0.511,0.48
4216993,36,edison,2020-11-04T00:17:59Z,0.503,0.488
4251251,36,edison,2020-11-04T00:18:58Z,0.501,0.49
4394611,38,edison,2020-11-04T00:19:34Z,0.504,0.487
4421947,38,edison,2020-11-04T00:19:52Z,0.503,0.489
4422310,38,edison,2020-11-04T00:20:14Z,0.503,0.488
4672412,40,edison,2020-11-04T00:20:56Z,0.495,0.496
4675995,40,edison,2020-11-04T00:21:07Z,0.495,0.496
4770161,41,edison,2020-11-04T00:21:29Z,0.493,0.498
4770729,41,edison,2020-11-04T00:21:42Z,0.493,0.498
4774181,41,edison,2020-11-04T00:21:56Z,0.493,0.499
5036107,43,edison,2020-11-04T00:22:49Z,0.49,0.501
5036380,43,edison,2020-11-04T00:23:01Z,0.49,0.501
5262968,45,edison,2020-11-04T00:23:35Z,0.49,0.501
5281884,45,edison,2020-11-04T00:23:47Z,0.489,0.502
5396506,46,edison,2020-11-04T00:24:00Z,0.493,0.498
5413273,46,edison,2020-11-04T00:24:56Z,0.492,0.498
5415649,46,edison,2020-11-04T00:25:07Z,0.492,0.499
5600690,48,edison,2020-11-04T00:25:42Z,0.489,0.502
5608333,48,edison,2020-11-04T00:26:00Z,0.489,0.502
5872900,50,edison,2020-11-04T00:26:14Z,0.489,0.502
5946317,51,edison,2020-11-04T00:26:48Z,0.488,0.503
5948096,51,edison,2020-11-04T00:27:19Z,0.488,0.503
6105904,52,edison,2020-11-04T00:27:29Z,0.486,0.505
6106065,52,edison,2020-11-04T00:28:01Z,0.486,0.505
6728426,58,edison,2020-11-04T00:28:26Z,0.496,0.495
6736124,58,edison,2020-11-04T00:28:47Z,0.496,0.495
6738338,58,edison,2020-11-04T00:29:02Z,0.496,0.495
6837681,58,edison,2020-11-04T00:29:42Z,0.494,0.497
6856633,59,edison,2020-11-04T00:29:49Z,0.494,0.497
6856672,59,edison,2020-11-04T00:30:05Z,0.494,0.497
6870987,59,edison,2020-11-04T00:31:02Z,0.493,0.498
6912356,59,edison,2020-11-04T00:31:07Z,0.492,0.499
6924156,59,edison,2020-11-04T00:31:47Z,0.491,0.5
6941978,59,edison,2020-11-04T00:32:23Z,0.491,0.5
7626450,65,edison,2020-11-04T00:32:39Z,0.504,0.487
7663353,65,edison,2020-11-04T00:32:54Z,0.504,0.487
7679949,66,edison,2020-11-04T00:33:51Z,0.504,0.487
7680204,66,edison,2020-11-04T00:34:30Z,0.504,0.487
7729812,66,edison,2020-11-04T00:34:45Z,0.503,0.488
7738581,66,edison,2020-11-04T00:35:46Z,0.502,0.489
7738941,66,edison,2020-11-04T00:36:00Z,0.502,0.489
7747111,66,edison,2020-11-04T00:36:10Z,0.502,0.489
7760218,66,edison,2020-11-04T00:36:48Z,0.502,0.489
7819799,67,edison,2020-11-04T00:37:27Z,0.5,0.491
7824706,67,edison,2020-11-04T00:37:34Z,0.5,0.491
7825323,67,edison,2020-11-04T00:38:05Z,0.5,0.491
7826306,67,edison,2020-11-04T00:38:40Z,0.5,0.491
8426560,72,edison,2020-11-04T00:38:50Z,0.508,0.483
8428979,72,edison,2020-11-04T00:39:06Z,0.508,0.483
8464097,72,edison,2020-11-04T00:39:56Z,0.506,0.484
8579601,73,edison,2020-11-04T00:40:48Z,0.504,0.487
8581989,73,edison,2020-11-04T00:40:59Z,0.504,0.487
8585058,73,edison,2020-11-04T00:41:23Z,0.504,0.487
8609030,74,edison,2020-11-04T00:42:51Z,0.503,0.487
8625828,74,edison,2020-11-04T00:43:23Z,0.503,0.487
8769938,75,edison,2020-11-04T00:44:14Z,0.503,0.487
8788093,75,edison,2020-11-04T00:44:47Z,0.503,0.488
8791380,75,edison,2020-11-04T00:44:53Z,0.503,0.488
9195216,79,edison,2020-11-04T00:45:09Z,0.5,0.491
9201386,79,edison,2020-11-04T00:45:30Z,0.5,0.491
9243192,79,edison,2020-11-04T00:45:46Z,0.499,0.491
9245017,79,edison,2020-11-04T00:46:16Z,0.499,0.491
9246265,79,edison,2020-11-04T00:46:51Z,0.499,0.491
9246169,79,edison,2020-11-04T00:47:04Z,0.499,0.491
9286278,79,edison,2020-11-04T00:47:56Z,0.498,0.492
9288153,79,edison,2020-11-04T00:48:17Z,0.498,0.492
9312766,80,edison,2020-11-04T00:48:34Z,0.498,0.493
9367032,80,edison,2020-11-04T00:48:49Z,0.497,0.494
9370786,80,edison,2020-11-04T00:49:07Z,0.497,0.494
9373418,80,edison,2020-11-04T00:50:07Z,0.496,0.494
9406927,80,edison,2020-11-04T00:50:31Z,0.496,0.495
9415068,80,edison,2020-11-04T00:50:48Z,0.496,0.495
9416971,80,edison,2020-11-04T00:51:33Z,0.496,0.495
9418162,80,edison,2020-11-04T00:52:14Z,0.496,0.495
9418884,81,edison,2020-11-04T00:52:49Z,0.495,0.495
9425212,81,edison,2020-11-04T00:53:23Z,0.495,0.495
9434598,81,edison,2020-11-04T00:54:47Z,0.495,0.495
9479181,81,edison,2020-11-04T00:55:55Z,0.494,0.496
9480672,81,edison,2020-11-04T00:56:47Z,0.494,0.496
9486073,81,edison,2020-11-04T00:57:07Z,0.496,0.495
9488315,81,edison,2020-11-04T00:57:53Z,0.496,0.495
9502374,81,edison,2020-11-04T00:58:22Z,0.495,0.495
9509404,81,edison,2020-11-04T00:58:47Z,0.495,0.495
9549069,82,edison,2020-11-04T00:59:55Z,0.495,0.496
9551249,82,edison,2020-11-04T01:00:30Z,0.495,0.496
9552681,82,edison,2020-11-04T01:00:52Z,0.495,0.496
9554680,82,edison,2020-11-04T01:01:09Z,0.494,0.496
9554684,82,edison,2020-11-04T01:02:02Z,0.494,0.496
9701852,83,edison,2020-11-04T01:02:19Z,0.497,0.493
9703091,83,edison,2020-11-04T01:02:48Z,0.497,0.493
9727600,83,edison,2020-11-04T01:03:04Z,0.496,0.494
9936134,85,edison,2020-11-04T01:03:23Z,0.494,0.496
9937674,85,edison,2020-11-04T01:03:46Z,0.494,0.496
9943246,85,edison,2020-11-04T01:04:50Z,0.494,0.496
9948411,85,edison,2020-11-04T01:05:17Z,0.494,0.496
10044950,86,edison,2020-11-04T01:05:48Z,0.492,0.498
10073689,86,edison,2020-11-04T01:06:39Z,0.492,0.498
10074970,86,edison,2020-11-04T01:06:59Z,0.492,0.498
10083128,86,edison,2020-11-04T01:07:47Z,0.491,0.498
10084392,86,edison,2020-11-04T01:08:02Z,0.491,0.498
10084405,86,edison,2020-11-04T01:08:10Z,0.491,0.498
10098346,86,edison,2020-11-04T01:08:34Z,0.491,0.498
10116126,86,edison,2020-11-04T01:08:49Z,0.491,0.499
10130392,87,edison,2020-11-04T01:09:24Z,0.491,0.499
10132631,87,edison,2020-11-04T01:09:43Z,0.491,0.499
10171197,87,edison,2020-11-04T01:09:49Z,0.49,0.5
10183243,87,edison,2020-11-04T01:10:15Z,0.489,0.5
10201275,87,edison,2020-11-04T01:10:50Z,0.489,0.501
10202901,87,edison,2020-11-04T01:11:47Z,0.489,0.501
10231179,87,edison,2020-11-04T01:12:08Z,0.488,0.501
10231828,87,edison,2020-11-04T01:13:10Z,0.488,0.501
10264644,88,edison,2020-11-04T01:13:46Z,0.489,0.501
10368280,89,edison,2020-11-04T01:13:52Z,0.487,0.503
10386690,89,edison,2020-11-04T01:16:04Z,0.487,0.503
10386693,89,edison,2020-11-04T01:16:49Z,0.487,0.503
10387395,89,edison,2020-11-04T01:17:02Z,0.487,0.503
10391197,89,edison,2020-11-04T01:17:24Z,0.487,0.503
10392610,89,edison,2020-11-04T01:19:04Z,0.487,0.503
10394483,89,edison,2020-11-04T01:20:47Z,0.487,0.503
10424424,89,edison,2020-11-04T01:21:58Z,0.487,0.503
10425437,89,edison,2020-11-04T01:22:14Z,0.487,0.503
10425637,89,edison,2020-11-04T01:22:34Z,0.487,0.503
10428687,89,edison,2020-11-04T01:22:48Z,0.486,0.503
10431491,89,edison,2020-11-04T01:22:58Z,0.486,0.503
10431677,89,edison,2020-11-04T01:23:19Z,0.486,0.503
10444538,89,edison,2020-11-04T01:23:50Z,0.486,0.504
10444587,89,edison,2020-11-04T01:24:20Z,0.486,0.504
10448844,89,edison,2020-11-04T01:24:47Z,0.486,0.504
10448996,89,edison,2020-11-04T01:24:52Z,0.486,0.504
10451776,89,edison,2020-11-04T01:25:48Z,0.486,0.504
10451792,89,edison,2020-11-04T01:26:10Z,0.486,0.504
10489841,90,edison,2020-11-04T01:26:52Z,0.485,0.505
10490762,90,edison,2020-11-04T01:27:40Z,0.485,0.505
10555391,90,edison,2020-11-04T01:27:48Z,0.485,0.505
10556078,90,edison,2020-11-04T01:28:24Z,0.485,0.505
10557468,90,edison,2020-11-04T01:29:03Z,0.485,0.505
10575143,90,edison,2020-11-04T01:29:54Z,0.484,0.505
10583176,90,edison,2020-11-04T01:30:49Z,0.484,0.505
10583193,90,edison,2020-11-04T01:31:22Z,0.484,0.505
10585220,90,edison,2020-11-04T01:31:50Z,0.484,0.505
10585220,90,edison,2020-11-04T01:31:50Z,0.484,0.505
10586664,90,edison,2020-11-04T01:32:51Z,0.484,0.505
10588081,90,edison,2020-11-04T01:33:18Z,0.484,0.506
10588511,91,edison,2020-11-04T01:33:31Z,0.484,0.505
10588771,91,edison,2020-11-04T01:33:43Z,0.484,0.505
10589922,91,edison,2020-11-04T01:34:50Z,0.484,0.506
10594916,91,edison,2020-11-04T01:35:48Z,0.484,0.506
10596505,91,edison,2020-11-04T01:37:32Z,0.484,0.506
10598228,91,edison,2020-11-04T01:37:46Z,0.484,0.506
10598890,91,edison,2020-11-04T01:37:49Z,0.484,0.506
10599384,91,edison,2020-11-04T01:38:25Z,0.484,0.506
10599553,91,edison,2020-11-04T01:39:47Z,0.484,0.506
10615383,91,edison,2020-11-04T01:40:49Z,0.484,0.506
10619753,91,edison,2020-11-04T01:41:51Z,0.484,0.506
10629284,91,edison,2020-11-04T01:42:50Z,0.484,0.506
10631766,91,edison,2020-11-04T01:44:45Z,0.484,0.506
10640578,91,edison,2020-11-04T01:45:12Z,0.483,0.506
10650316,91,edison,2020-11-04T01:45:50Z,0.483,0.507
10650320,91,edison,2020-11-04T01:46:27Z,0.483,0.507
10650367,91,edison,2020-11-04T01:46:44Z,0.483,0.507
10693181,91,edison,2020-11-04T01:47:45Z,0.483,0.507
10695097,91,edison,2020-11-04T01:48:48Z,0.483,0.507
10695506,91,edison,2020-11-04T01:49:55Z,0.483,0.507
10695548,91,edison,2020-11-04T01:50:11Z,0.483,0.507
10695553,91,edison,2020-11-04T01:50:27Z,0.483,0.507
10698039,91,edison,2020-11-04T01:50:48Z,0.483,0.507
10720188,92,edison,2020-11-04T01:57:51Z,0.482,0.508
10720977,92,edison,2020-11-04T01:58:23Z,0.482,0.508
10787415,92,edison,2020-11-04T02:02:24Z,0.481,0.51
10787426,92,edison,2020-11-04T02:02:56Z,0.481,0.51
10787781,92,edison,2020-11-04T02:03:17Z,0.481,0.51
10788007,92,edison,2020-11-04T02:03:47Z,0.481,0.51
10794836,92,edison,2020-11-04T02:05:25Z,0.481,0.51
10800056,92,edison,2020-11-04T02:07:06Z,0.48,0.51
10800100,92,edison,2020-11-04T02:08:04Z,0.48,0.51
10824266,93,edison,2020-11-04T02:09:10Z,0.48,0.51
10851692,93,edison,2020-11-04T02:10:49Z,0.48,0.51
10851741,93,edison,2020-11-04T02:11:02Z,0.48,0.51
10854891,93,edison,2020-11-04T02:11:52Z,0.48,0.51
10855663,93,edison,2020-11-04T02:13:48Z,0.48,0.51
10856723,93,edison,2020-11-04T02:14:54Z,0.48,0.51
10866185,93,edison,2020-11-04T02:18:37Z,0.48,0.51
10866637,93,edison,2020-11-04T02:22:03Z,0.48,0.51
10872094,93,edison,2020-11-04T02:23:16Z,0.48,0.51
10880727,93,edison,2020-11-04T02:26:09Z,0.48,0.51
10881116,93,edison,2020-11-04T02:26:57Z,0.48,0.51
10881955,93,edison,2020-11-04T02:27:12Z,0.48,0.51
10882052,93,edison,2020-11-04T02:27:40Z,0.48,0.51
10915001,93,edison,2020-11-04T02:40:10Z,0.479,0.511
10920511,93,edison,2020-11-04T02:40:20Z,0.478,0.512
10920512,93,edison,2020-11-04T02:41:35Z,0.478,0.512
10922583,93,edison,2020-11-04T02:41:59Z,0.478,0.512
10924603,93,edison,2020-11-04T02:42:57Z,0.478,0.512
10924613,93,edison,2020-11-04T02:43:18Z,0.478,0.512
10925115,93,edison,2020-11-04T02:44:02Z,0.478,0.512
10925478,93,edison,2020-11-04T02:46:38Z,0.478,0.512
10929987,93,edison,2020-11-04T02:49:51Z,0.478,0.512
10930091,93,edison,2020-11-04T02:51:09Z,0.478,0.512
10931707,93,edison,2020-11-04T02:51:28Z,0.478,0.512
10931958,93,edison,2020-11-04T02:52:22Z,0.477,0.512
10932881,93,edison,2020-11-04T02:54:49Z,0.477,0.512
10933479,93,edison,2020-11-04T02:55:06Z,0.477,0.512
10939376,93,edison,2020-11-04T02:57:05Z,0.477,0.512
10941669,94,edison,2020-11-04T03:01:53Z,0.477,0.512
10951818,94,edison,2020-11-04T03:03:06Z,0.478,0.512
10951964,94,edison,2020-11-04T03:16:51Z,0.478,0.512
10957826,94,edison,2020-11-04T03:18:15Z,0.478,0.512
10962206,94,edison,2020-11-04T03:21:10Z,0.478,0.512
10962330,94,edison,2020-11-04T03:23:09Z,0.478,0.512
10962635,94,edison,2020-11-04T03:24:37Z,0.478,0.512
10963458,94,edison,2020-11-04T03:27:02Z,0.478,0.512
10963961,94,edison,2020-11-04T03:27:50Z,0.478,0.512
10965774,94,edison,2020-11-04T03:28:01Z,0.478,0.512
10967227,94,edison,2020-11-04T03:31:51Z,0.477,0.512
10967589,94,edison,2020-11-04T03:33:07Z,0.478,0.512
10967847,94,edison,2020-11-04T03:35:25Z,0.478,0.512
10969385,94,edison,2020-11-04T03:43:01Z,0.477,0.512
10969893,94,edison,2020-11-04T03:43:59Z,0.477,0.512
10971992,94,edison,2020-11-04T03:46:57Z,0.477,0.512
10975715,94,edison,2020-11-04T03:51:16Z,0.477,0.512
10988526,94,edison,2020-11-04T03:58:17Z,0.477,0.512
10988636,94,edison,2020-11-04T04:02:23Z,0.477,0.512
10988726,94,edison,2020-11-04T04:07:11Z,0.477,0.512
10990130,94,edison,2020-11-04T04:13:51Z,0.477,0.512
10997208,94,edison,2020-11-04T04:13:58Z,0.477,0.512
10997833,94,edison,2020-11-04T04:17:25Z,0.477,0.512
10998591,94,edison,2020-11-04T04:20:49Z,0.477,0.512
11000546,94,edison,2020-11-04T04:21:00Z,0.477,0.512
11003878,94,edison,2020-11-04T04:22:20Z,0.477,0.512
11007116,94,edison,2020-11-04T04:26:38Z,0.477,0.512
11007499,94,edison,2020-11-04T04:36:47Z,0.478,0.512
11007601,94,edison,2020-11-04T04:37:06Z,0.478,0.512
11008750,94,edison,2020-11-04T04:45:56Z,0.477,0.512
11010618,94,edison,2020-11-04T04:51:31Z,0.477,0.512
11011012,94,edison,2020-11-04T04:53:58Z,0.477,0.512
11011473,96,edison,2020-11-04T04:57:52Z,0.477,0.512
11014145,96,edison,2020-11-04T05:05:48Z,0.478,0.512
11016195,96,edison,2020-11-04T05:25:58Z,0.478,0.512
11016196,96,edison,2020-11-04T05:26:18Z,0.478,0.512
11017318,96,edison,2020-11-04T05:35:39Z,0.478,0.512
11018531,96,edison,2020-11-04T05:37:47Z,0.478,0.512
11029024,96,edison,2020-11-04T05:44:50Z,0.478,0.512
11029172,96,edison,2020-11-04T05:52:57Z,0.478,0.512
11030632,96,edison,2020-11-04T05:57:34Z,0.478,0.512
11031440,96,edison,2020-11-04T06:10:45Z,0.478,0.512
11072446,99,edison,2020-11-08T17:18:33Z,0.478,0.512
11072455,99,edison,2020-11-08T17:23:09Z,0.478,0.512
