votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:23:03Z,0.0,0.0
408,0,edison,2020-11-04T00:14:11Z,0.326,0.674
127106,2,edison,2020-11-04T00:15:51Z,0.618,0.37
173638,3,edison,2020-11-04T00:19:55Z,0.557,0.431
174006,3,edison,2020-11-04T00:21:57Z,0.557,0.432
174448,3,edison,2020-11-04T00:22:23Z,0.556,0.433
175150,3,edison,2020-11-04T00:22:53Z,0.555,0.434
175264,3,edison,2020-11-04T00:23:58Z,0.555,0.434
175564,3,edison,2020-11-04T00:24:14Z,0.554,0.435
176131,3,edison,2020-11-04T00:24:49Z,0.554,0.435
200351,4,edison,2020-11-04T00:25:55Z,0.547,0.442
213213,4,edison,2020-11-04T00:28:08Z,0.533,0.456
215268,4,edison,2020-11-04T00:29:54Z,0.531,0.458
215927,4,edison,2020-11-04T00:30:54Z,0.531,0.458
216354,4,edison,2020-11-04T00:31:47Z,0.531,0.458
217327,4,edison,2020-11-04T00:31:54Z,0.532,0.458
220869,4,edison,2020-11-04T00:32:53Z,0.526,0.464
221921,4,edison,2020-11-04T00:34:05Z,0.526,0.464
225197,4,edison,2020-11-04T00:36:20Z,0.52,0.47
242777,5,edison,2020-11-04T00:36:53Z,0.504,0.486
244354,5,edison,2020-11-04T00:38:52Z,0.502,0.488
246674,5,edison,2020-11-04T00:39:56Z,0.499,0.491
258621,5,edison,2020-11-04T00:40:53Z,0.488,0.503
267419,5,edison,2020-11-04T00:42:34Z,0.479,0.511
271345,5,edison,2020-11-04T00:43:54Z,0.477,0.513
271584,5,edison,2020-11-04T00:44:40Z,0.478,0.513
272419,5,edison,2020-11-04T00:45:11Z,0.477,0.513
281914,5,edison,2020-11-04T00:45:53Z,0.466,0.524
283301,5,edison,2020-11-04T00:47:05Z,0.467,0.524
283359,5,edison,2020-11-04T00:47:52Z,0.466,0.524
316754,6,edison,2020-11-04T00:48:54Z,0.479,0.512
321460,6,edison,2020-11-04T00:49:02Z,0.478,0.512
350279,7,edison,2020-11-04T00:49:56Z,0.482,0.508
350408,7,edison,2020-11-04T00:50:56Z,0.482,0.508
353296,7,edison,2020-11-04T00:51:53Z,0.48,0.51
392153,7,edison,2020-11-04T00:53:56Z,0.467,0.523
424293,8,edison,2020-11-04T00:54:59Z,0.455,0.534
424812,8,edison,2020-11-04T00:56:52Z,0.455,0.534
424815,8,edison,2020-11-04T00:57:18Z,0.455,0.534
424929,8,edison,2020-11-04T00:57:52Z,0.455,0.535
430471,8,edison,2020-11-04T00:58:52Z,0.452,0.538
503994,10,edison,2020-11-04T00:59:38Z,0.503,0.487
510533,10,edison,2020-11-04T00:59:54Z,0.5,0.49
510673,10,edison,2020-11-04T01:03:53Z,0.5,0.49
519617,10,edison,2020-11-04T01:04:54Z,0.495,0.495
534401,10,edison,2020-11-04T01:05:56Z,0.488,0.502
568435,11,edison,2020-11-04T01:06:57Z,0.474,0.516
579645,11,edison,2020-11-04T01:10:54Z,0.471,0.52
648655,12,edison,2020-11-04T01:11:58Z,0.478,0.512
657166,12,edison,2020-11-04T01:12:16Z,0.474,0.517
666560,13,edison,2020-11-04T01:12:54Z,0.469,0.521
781214,15,edison,2020-11-04T01:13:56Z,0.447,0.543
781684,15,edison,2020-11-04T01:14:54Z,0.446,0.544
782301,15,edison,2020-11-04T01:15:55Z,0.446,0.543
810392,15,edison,2020-11-04T01:17:02Z,0.445,0.545
841029,16,edison,2020-11-04T01:17:56Z,0.436,0.554
842372,16,edison,2020-11-04T01:18:54Z,0.436,0.554
849657,16,edison,2020-11-04T01:19:54Z,0.437,0.553
863662,16,edison,2020-11-04T01:20:54Z,0.433,0.558
882649,17,edison,2020-11-04T01:21:57Z,0.429,0.561
896024,17,edison,2020-11-04T01:23:01Z,0.431,0.559
915330,17,edison,2020-11-04T01:23:56Z,0.426,0.564
928777,18,edison,2020-11-04T01:24:58Z,0.424,0.566
929552,18,edison,2020-11-04T01:25:53Z,0.423,0.567
941515,18,edison,2020-11-04T01:26:57Z,0.422,0.568
943775,18,edison,2020-11-04T01:28:00Z,0.422,0.568
955466,18,edison,2020-11-04T01:29:03Z,0.42,0.57
1068686,20,edison,2020-11-04T01:29:55Z,0.427,0.563
1153531,22,edison,2020-11-04T01:30:56Z,0.428,0.562
1154064,22,edison,2020-11-04T01:31:56Z,0.428,0.562
1191945,22,edison,2020-11-04T01:32:58Z,0.432,0.558
1191964,22,edison,2020-11-04T01:33:25Z,0.432,0.558
1200228,23,edison,2020-11-04T01:33:55Z,0.431,0.559
1201399,23,edison,2020-11-04T01:34:53Z,0.431,0.559
1218222,23,edison,2020-11-04T01:35:55Z,0.428,0.562
1219202,23,edison,2020-11-04T01:36:54Z,0.428,0.562
1224273,23,edison,2020-11-04T01:36:59Z,0.427,0.563
1227774,23,edison,2020-11-04T01:37:57Z,0.427,0.563
1227800,23,edison,2020-11-04T01:38:19Z,0.427,0.563
1232747,23,edison,2020-11-04T01:39:55Z,0.427,0.563
1245972,24,edison,2020-11-04T01:40:53Z,0.424,0.566
1260369,24,edison,2020-11-04T01:42:00Z,0.422,0.568
1260381,24,edison,2020-11-04T01:42:47Z,0.422,0.568
1315583,25,edison,2020-11-04T01:42:56Z,0.431,0.559
1320201,25,edison,2020-11-04T01:43:55Z,0.43,0.56
1362223,26,edison,2020-11-04T01:46:56Z,0.435,0.555
1388244,26,edison,2020-11-04T01:47:56Z,0.432,0.558
1409056,27,edison,2020-11-04T01:49:55Z,0.431,0.559
1409070,27,edison,2020-11-04T01:50:53Z,0.431,0.559
1472557,28,edison,2020-11-04T01:51:02Z,0.432,0.558
1474832,28,edison,2020-11-04T01:51:28Z,0.432,0.558
1496455,28,edison,2020-11-04T01:51:59Z,0.432,0.558
1508133,28,edison,2020-11-04T01:53:09Z,0.431,0.559
1562887,29,edison,2020-11-04T01:53:55Z,0.424,0.566
1579565,30,edison,2020-11-04T01:54:55Z,0.421,0.569
1579866,30,edison,2020-11-04T01:56:08Z,0.421,0.569
1586264,30,edison,2020-11-04T01:56:54Z,0.42,0.569
1587187,30,edison,2020-11-04T01:57:53Z,0.42,0.569
1588059,30,edison,2020-11-04T01:58:53Z,0.42,0.57
1608796,30,edison,2020-11-04T01:59:04Z,0.419,0.571
1616088,30,edison,2020-11-04T01:59:54Z,0.418,0.571
1617974,31,edison,2020-11-04T02:01:00Z,0.418,0.572
1622252,31,edison,2020-11-04T02:01:57Z,0.418,0.572
1622654,31,edison,2020-11-04T02:02:55Z,0.418,0.572
1623243,31,edison,2020-11-04T02:03:30Z,0.418,0.572
1626224,31,edison,2020-11-04T02:03:57Z,0.418,0.572
1645075,31,edison,2020-11-04T02:04:55Z,0.415,0.574
1654891,31,edison,2020-11-04T02:04:59Z,0.414,0.575
1682849,32,edison,2020-11-04T02:06:18Z,0.414,0.575
1685153,32,edison,2020-11-04T02:06:41Z,0.414,0.576
1699536,32,edison,2020-11-04T02:06:59Z,0.413,0.577
1704418,32,edison,2020-11-04T02:07:54Z,0.412,0.577
1705834,32,edison,2020-11-04T02:08:55Z,0.412,0.578
1710670,32,edison,2020-11-04T02:09:19Z,0.412,0.577
1710693,32,edison,2020-11-04T02:09:47Z,0.412,0.577
1713603,32,edison,2020-11-04T02:10:01Z,0.412,0.577
1715363,32,edison,2020-11-04T02:10:55Z,0.412,0.578
1762356,33,edison,2020-11-04T02:11:17Z,0.411,0.579
1810333,34,edison,2020-11-04T02:12:02Z,0.408,0.581
1810382,34,edison,2020-11-04T02:13:02Z,0.408,0.581
1811008,34,edison,2020-11-04T02:13:28Z,0.408,0.581
1843383,35,edison,2020-11-04T02:13:56Z,0.407,0.582
1843391,35,edison,2020-11-04T02:14:24Z,0.407,0.582
1928933,36,edison,2020-11-04T02:15:00Z,0.417,0.573
1931908,36,edison,2020-11-04T02:15:54Z,0.416,0.573
1933654,36,edison,2020-11-04T02:17:06Z,0.416,0.573
1936604,37,edison,2020-11-04T02:17:54Z,0.416,0.574
1936925,37,edison,2020-11-04T02:22:19Z,0.416,0.574
1948605,37,edison,2020-11-04T02:22:45Z,0.414,0.575
1949396,37,edison,2020-11-04T02:23:11Z,0.414,0.575
2031459,38,edison,2020-11-04T02:23:57Z,0.417,0.573
2076472,39,edison,2020-11-04T02:25:27Z,0.42,0.569
2076953,39,edison,2020-11-04T02:25:50Z,0.42,0.569
2076987,39,edison,2020-11-04T02:26:58Z,0.42,0.569
2119178,40,edison,2020-11-04T02:28:41Z,0.42,0.569
2135196,40,edison,2020-11-04T02:31:44Z,0.418,0.571
2168141,41,edison,2020-11-04T02:34:13Z,0.417,0.572
2172117,41,edison,2020-11-04T02:34:41Z,0.416,0.573
2234599,42,edison,2020-11-04T02:35:31Z,0.415,0.574
2304694,43,edison,2020-11-04T02:36:12Z,0.422,0.567
2304753,43,edison,2020-11-04T02:36:54Z,0.422,0.567
2306101,44,edison,2020-11-04T02:37:58Z,0.422,0.567
2308498,44,edison,2020-11-04T02:38:34Z,0.421,0.567
2319074,44,edison,2020-11-04T02:40:17Z,0.421,0.568
2339069,44,edison,2020-11-04T02:40:32Z,0.421,0.568
2360739,45,edison,2020-11-04T02:42:43Z,0.419,0.57
2362885,45,edison,2020-11-04T02:43:35Z,0.419,0.57
2367195,45,edison,2020-11-04T02:44:58Z,0.418,0.571
2377081,45,edison,2020-11-04T02:46:01Z,0.418,0.571
2437500,46,edison,2020-11-04T02:46:59Z,0.422,0.566
2439693,46,edison,2020-11-04T02:49:11Z,0.422,0.566
2450931,46,edison,2020-11-04T02:50:04Z,0.422,0.567
2456703,46,edison,2020-11-04T02:50:23Z,0.421,0.567
2491325,47,edison,2020-11-04T02:50:40Z,0.421,0.567
2491404,47,edison,2020-11-04T02:50:57Z,0.421,0.567
2493107,47,edison,2020-11-04T02:51:39Z,0.421,0.568
2503613,47,edison,2020-11-04T02:52:21Z,0.421,0.568
2503616,47,edison,2020-11-04T02:52:51Z,0.421,0.568
2503630,47,edison,2020-11-04T02:54:20Z,0.421,0.568
2505309,47,edison,2020-11-04T02:54:49Z,0.421,0.568
2510681,47,edison,2020-11-04T02:55:05Z,0.42,0.568
2599595,49,edison,2020-11-04T02:55:28Z,0.425,0.564
2609118,49,edison,2020-11-04T02:55:54Z,0.424,0.565
2665442,50,edison,2020-11-04T02:59:47Z,0.428,0.56
2682331,51,edison,2020-11-04T03:00:18Z,0.43,0.558
2687734,51,edison,2020-11-04T03:00:48Z,0.43,0.559
2693433,51,edison,2020-11-04T03:02:54Z,0.429,0.559
2717317,51,edison,2020-11-04T03:05:34Z,0.431,0.558
2727004,51,edison,2020-11-04T03:06:34Z,0.431,0.558
2732639,52,edison,2020-11-04T03:06:45Z,0.43,0.558
2736879,52,edison,2020-11-04T03:08:38Z,0.431,0.558
2737770,52,edison,2020-11-04T03:09:07Z,0.431,0.558
2738068,52,edison,2020-11-04T03:11:13Z,0.431,0.558
2738071,52,edison,2020-11-04T03:11:26Z,0.431,0.558
2743512,52,edison,2020-11-04T03:12:28Z,0.431,0.558
2747420,52,edison,2020-11-04T03:14:17Z,0.431,0.558
2747421,52,edison,2020-11-04T03:15:32Z,0.431,0.558
2751910,52,edison,2020-11-04T03:16:53Z,0.43,0.558
2760835,52,edison,2020-11-04T03:17:54Z,0.43,0.558
2764585,52,edison,2020-11-04T03:18:54Z,0.43,0.558
2781999,52,edison,2020-11-04T03:19:45Z,0.429,0.559
2782340,52,edison,2020-11-04T03:21:21Z,0.429,0.559
2785339,53,edison,2020-11-04T03:21:49Z,0.429,0.559
2842553,54,edison,2020-11-04T03:23:48Z,0.428,0.56
2894907,55,edison,2020-11-04T03:23:54Z,0.431,0.557
2894989,55,edison,2020-11-04T03:25:16Z,0.431,0.557
2895064,55,edison,2020-11-04T03:25:34Z,0.431,0.557
2895553,55,edison,2020-11-04T03:27:15Z,0.431,0.557
2931544,55,edison,2020-11-04T03:28:30Z,0.434,0.554
2931640,55,edison,2020-11-04T03:29:54Z,0.434,0.554
2936909,55,edison,2020-11-04T03:30:13Z,0.434,0.554
2942816,56,edison,2020-11-04T03:31:30Z,0.434,0.554
2977051,56,edison,2020-11-04T03:31:54Z,0.434,0.554
3013034,57,edison,2020-11-04T03:34:03Z,0.433,0.555
3034607,57,edison,2020-11-04T03:34:11Z,0.432,0.556
3045296,57,edison,2020-11-04T03:35:06Z,0.432,0.556
3053727,58,edison,2020-11-04T03:36:53Z,0.432,0.556
3053751,58,edison,2020-11-04T03:37:30Z,0.432,0.556
3063437,58,edison,2020-11-04T03:38:52Z,0.431,0.557
3070925,58,edison,2020-11-04T03:40:13Z,0.431,0.557
3072418,58,edison,2020-11-04T03:41:58Z,0.431,0.557
3078921,58,edison,2020-11-04T03:43:46Z,0.432,0.556
3078999,58,edison,2020-11-04T03:45:25Z,0.432,0.556
3108383,59,edison,2020-11-04T03:46:21Z,0.434,0.553
3113736,59,edison,2020-11-04T03:46:44Z,0.434,0.554
3127449,59,edison,2020-11-04T03:49:32Z,0.435,0.553
3128849,59,edison,2020-11-04T03:50:20Z,0.435,0.553
3157350,60,edison,2020-11-04T03:52:34Z,0.433,0.555
3210899,61,edison,2020-11-04T03:55:36Z,0.434,0.553
3290136,62,edison,2020-11-04T03:57:52Z,0.445,0.543
3291550,62,edison,2020-11-04T04:00:40Z,0.445,0.543
3291574,62,edison,2020-11-04T04:01:43Z,0.445,0.543
3291575,62,edison,2020-11-04T04:04:30Z,0.445,0.543
3361651,63,edison,2020-11-04T04:06:43Z,0.442,0.546
3368625,64,edison,2020-11-04T04:13:48Z,0.442,0.546
3419813,65,edison,2020-11-04T04:14:14Z,0.444,0.544
3421109,65,edison,2020-11-04T04:14:35Z,0.444,0.544
3443180,65,edison,2020-11-04T04:15:33Z,0.443,0.545
3444469,65,edison,2020-11-04T04:16:02Z,0.443,0.545
3444481,65,edison,2020-11-04T04:16:46Z,0.443,0.545
3525742,67,edison,2020-11-04T04:17:23Z,0.446,0.542
3525743,67,edison,2020-11-04T04:22:09Z,0.446,0.542
3526491,67,edison,2020-11-04T04:23:20Z,0.446,0.542
3526568,67,edison,2020-11-04T04:25:22Z,0.446,0.542
3528484,67,edison,2020-11-04T04:26:17Z,0.446,0.542
3560043,67,edison,2020-11-04T04:30:05Z,0.446,0.541
3568321,67,edison,2020-11-04T04:31:59Z,0.447,0.54
3584425,68,edison,2020-11-04T04:34:04Z,0.448,0.54
3586334,68,edison,2020-11-04T04:35:49Z,0.447,0.54
3595454,70,edison,2020-11-04T04:39:19Z,0.448,0.54
3780874,74,edison,2020-11-04T04:41:09Z,0.454,0.534
3780998,74,edison,2020-11-04T04:41:21Z,0.454,0.534
3783078,74,edison,2020-11-04T04:42:34Z,0.454,0.534
3786387,74,edison,2020-11-04T04:44:20Z,0.454,0.534
3800729,74,edison,2020-11-04T04:46:26Z,0.453,0.535
3801470,74,edison,2020-11-04T04:47:43Z,0.453,0.535
3801772,74,edison,2020-11-04T04:48:28Z,0.453,0.535
3801884,74,edison,2020-11-04T04:48:54Z,0.453,0.534
3804335,74,edison,2020-11-04T04:49:03Z,0.453,0.535
3833502,75,edison,2020-11-04T04:51:10Z,0.453,0.535
3833504,75,edison,2020-11-04T04:52:04Z,0.453,0.535
3918455,76,edison,2020-11-04T04:53:58Z,0.449,0.539
3956765,77,edison,2020-11-04T04:55:55Z,0.447,0.541
3982772,78,edison,2020-11-04T04:58:39Z,0.447,0.541
4010627,78,edison,2020-11-04T05:02:37Z,0.449,0.538
4010628,78,edison,2020-11-04T05:05:14Z,0.449,0.538
4012673,78,edison,2020-11-04T05:05:49Z,0.449,0.538
4065554,79,edison,2020-11-04T05:08:33Z,0.454,0.534
4088909,80,edison,2020-11-04T05:14:30Z,0.454,0.534
4112396,80,edison,2020-11-04T05:18:58Z,0.458,0.53
4115565,80,edison,2020-11-04T05:19:48Z,0.458,0.53
4116531,80,edison,2020-11-04T05:20:27Z,0.458,0.53
4129470,80,edison,2020-11-04T05:22:15Z,0.457,0.53
4129613,80,edison,2020-11-04T05:23:16Z,0.457,0.53
4130706,81,edison,2020-11-04T05:24:34Z,0.457,0.53
4130761,81,edison,2020-11-04T05:24:45Z,0.457,0.53
4131948,81,edison,2020-11-04T05:30:03Z,0.457,0.53
4135390,81,edison,2020-11-04T05:30:58Z,0.457,0.53
4137030,81,edison,2020-11-04T05:32:38Z,0.457,0.53
4177709,81,edison,2020-11-04T05:35:26Z,0.458,0.53
4177828,81,edison,2020-11-04T05:37:31Z,0.458,0.53
4177851,81,edison,2020-11-04T05:45:17Z,0.458,0.53
