votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:59:24Z,0.0,0.0
156,0,edison,2020-11-04T04:06:38Z,0.064,0.923
188816,24,edison,2020-11-04T04:12:48Z,0.543,0.431
216665,28,edison,2020-11-04T04:17:15Z,0.52,0.453
226808,29,edison,2020-11-04T04:22:02Z,0.509,0.465
240828,31,edison,2020-11-04T04:22:17Z,0.501,0.473
241935,31,edison,2020-11-04T04:27:56Z,0.5,0.474
266020,34,edison,2020-11-04T04:30:05Z,0.496,0.477
325904,42,edison,2020-11-04T04:35:29Z,0.463,0.51
337439,44,edison,2020-11-04T04:41:38Z,0.458,0.514
349697,45,edison,2020-11-04T04:42:54Z,0.451,0.52
389318,50,edison,2020-11-04T04:46:54Z,0.444,0.528
397863,51,edison,2020-11-04T04:49:57Z,0.449,0.523
402853,52,edison,2020-11-04T04:51:56Z,0.445,0.527
403164,52,edison,2020-11-04T04:54:14Z,0.445,0.527
403226,52,edison,2020-11-04T04:56:17Z,0.445,0.527
411577,53,edison,2020-11-04T04:56:42Z,0.442,0.53
423685,55,edison,2020-11-04T04:58:08Z,0.434,0.537
426878,55,edison,2020-11-04T05:00:00Z,0.432,0.539
428570,55,edison,2020-11-04T05:02:23Z,0.431,0.54
437347,56,edison,2020-11-04T05:04:31Z,0.428,0.543
441291,57,edison,2020-11-04T05:04:50Z,0.427,0.544
443962,57,edison,2020-11-04T05:08:28Z,0.426,0.545
457833,59,edison,2020-11-04T05:11:23Z,0.427,0.545
463519,60,edison,2020-11-04T05:14:13Z,0.424,0.547
464481,60,edison,2020-11-04T05:19:45Z,0.424,0.548
466322,60,edison,2020-11-04T05:21:16Z,0.422,0.549
471060,61,edison,2020-11-04T05:23:54Z,0.42,0.551
483216,62,edison,2020-11-04T05:24:16Z,0.415,0.557
486302,63,edison,2020-11-04T05:26:38Z,0.414,0.557
497101,64,edison,2020-11-04T05:28:18Z,0.41,0.561
497108,64,edison,2020-11-04T05:38:06Z,0.41,0.561
499097,64,edison,2020-11-04T05:41:49Z,0.409,0.562
507085,65,edison,2020-11-04T05:45:28Z,0.405,0.566
513398,66,edison,2020-11-04T05:46:21Z,0.403,0.568
518119,67,edison,2020-11-04T05:51:52Z,0.402,0.569
519840,67,edison,2020-11-04T05:52:23Z,0.401,0.569
521519,67,edison,2020-11-04T05:58:24Z,0.4,0.57
568784,73,edison,2020-11-04T05:59:56Z,0.386,0.584
584848,75,edison,2020-11-04T06:01:35Z,0.384,0.586
605155,78,edison,2020-11-04T06:04:13Z,0.381,0.588
609427,79,edison,2020-11-04T06:05:46Z,0.379,0.591
617568,80,edison,2020-11-04T06:06:39Z,0.376,0.593
625403,81,edison,2020-11-04T06:20:12Z,0.373,0.596
640976,83,edison,2020-11-04T06:22:48Z,0.369,0.6
655538,85,edison,2020-11-04T06:27:48Z,0.365,0.604
655708,85,edison,2020-11-04T06:32:34Z,0.365,0.604
656067,85,edison,2020-11-04T06:38:45Z,0.365,0.604
658653,85,edison,2020-11-04T06:42:26Z,0.364,0.605
660066,85,edison,2020-11-04T06:57:43Z,0.364,0.605
665410,86,edison,2020-11-04T06:58:29Z,0.362,0.607
671666,87,edison,2020-11-04T07:05:59Z,0.36,0.609
679536,88,edison,2020-11-04T07:07:44Z,0.359,0.61
691693,89,edison,2020-11-04T07:11:17Z,0.356,0.613
698175,90,edison,2020-11-04T07:21:47Z,0.355,0.614
728507,94,edison,2020-11-04T07:31:54Z,0.349,0.62
728988,94,edison,2020-11-04T07:32:44Z,0.349,0.62
730817,94,edison,2020-11-04T07:36:46Z,0.349,0.62
731057,94,edison,2020-11-04T07:44:21Z,0.349,0.62
731394,94,edison,2020-11-04T07:48:41Z,0.349,0.62
736147,95,edison,2020-11-04T08:05:05Z,0.347,0.622
755733,98,edison,2020-11-04T08:06:49Z,0.342,0.626
785273,99,edison,2020-11-04T08:41:49Z,0.347,0.622
799548,99,edison,2020-11-04T08:41:54Z,0.344,0.625
815347,99,edison,2020-11-04T09:02:51Z,0.34,0.629
820319,99,edison,2020-11-04T09:28:46Z,0.339,0.63
832234,99,edison,2020-11-04T10:11:49Z,0.339,0.629
837301,99,edison,2020-11-04T11:01:51Z,0.338,0.631
837318,99,edison,2020-11-04T15:09:34Z,0.338,0.631
862232,99,edison,2020-11-05T01:18:12Z,0.332,0.637
862986,99,edison,2020-11-06T15:33:07Z,0.332,0.637
867971,99,edison,2020-11-06T15:33:35Z,0.331,0.638
