votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:51:24Z,0.0,0.0
17859,0,edison,2020-11-04T01:08:08Z,0.135,0.83
224064,4,edison,2020-11-04T01:33:59Z,0.572,0.41
265204,4,edison,2020-11-04T01:34:10Z,0.547,0.433
319199,5,edison,2020-11-04T01:36:52Z,0.557,0.424
319301,5,edison,2020-11-04T01:40:09Z,0.557,0.424
491966,8,edison,2020-11-04T01:41:01Z,0.568,0.413
499552,8,edison,2020-11-04T01:41:21Z,0.566,0.415
524046,8,edison,2020-11-04T01:44:59Z,0.553,0.427
525266,8,edison,2020-11-04T01:50:40Z,0.553,0.428
534799,9,edison,2020-11-04T01:51:22Z,0.551,0.429
547442,9,edison,2020-11-04T01:52:13Z,0.545,0.435
547448,9,edison,2020-11-04T01:52:47Z,0.545,0.435
547706,9,edison,2020-11-04T01:57:22Z,0.545,0.435
603585,10,edison,2020-11-04T01:59:15Z,0.551,0.429
632842,10,edison,2020-11-04T01:59:23Z,0.554,0.426
657795,11,edison,2020-11-04T01:59:36Z,0.554,0.426
694599,11,edison,2020-11-04T02:00:19Z,0.569,0.411
694831,11,edison,2020-11-04T02:00:53Z,0.569,0.411
696130,11,edison,2020-11-04T02:01:23Z,0.569,0.411
697253,11,edison,2020-11-04T02:03:30Z,0.568,0.412
702946,11,edison,2020-11-04T02:04:56Z,0.567,0.413
703542,11,edison,2020-11-04T02:06:20Z,0.567,0.413
704579,11,edison,2020-11-04T02:07:40Z,0.567,0.413
804676,13,edison,2020-11-04T02:07:53Z,0.569,0.412
805480,13,edison,2020-11-04T02:09:50Z,0.568,0.412
814912,13,edison,2020-11-04T02:10:58Z,0.566,0.415
820145,13,edison,2020-11-04T02:11:39Z,0.564,0.416
822301,13,edison,2020-11-04T02:12:24Z,0.563,0.417
825078,13,edison,2020-11-04T02:13:13Z,0.562,0.418
826290,13,edison,2020-11-04T02:14:08Z,0.562,0.419
831805,13,edison,2020-11-04T02:14:43Z,0.56,0.42
897811,14,edison,2020-11-04T02:15:00Z,0.581,0.4
900305,14,edison,2020-11-04T02:16:15Z,0.58,0.401
906093,15,edison,2020-11-04T02:17:31Z,0.578,0.403
925948,15,edison,2020-11-04T02:17:59Z,0.574,0.406
932757,15,edison,2020-11-04T02:22:03Z,0.572,0.409
934371,15,edison,2020-11-04T02:22:52Z,0.571,0.409
935879,15,edison,2020-11-04T02:25:46Z,0.571,0.41
944415,15,edison,2020-11-04T02:26:19Z,0.569,0.412
945725,15,edison,2020-11-04T02:26:42Z,0.569,0.412
946302,15,edison,2020-11-04T02:28:30Z,0.568,0.412
952442,15,edison,2020-11-04T02:28:56Z,0.567,0.413
998936,16,edison,2020-11-04T02:29:49Z,0.568,0.413
1000261,16,edison,2020-11-04T02:30:30Z,0.568,0.413
1001870,16,edison,2020-11-04T02:30:51Z,0.567,0.413
1003178,16,edison,2020-11-04T02:31:00Z,0.567,0.414
1012148,16,edison,2020-11-04T02:32:04Z,0.565,0.415
1016773,16,edison,2020-11-04T02:33:19Z,0.563,0.417
1017519,16,edison,2020-11-04T02:35:56Z,0.563,0.417
1023783,16,edison,2020-11-04T02:37:05Z,0.561,0.42
1024055,16,edison,2020-11-04T02:37:52Z,0.561,0.42
1026375,16,edison,2020-11-04T02:38:19Z,0.56,0.421
1038239,17,edison,2020-11-04T02:38:25Z,0.556,0.425
1038248,17,edison,2020-11-04T02:39:27Z,0.556,0.425
1038849,17,edison,2020-11-04T02:39:39Z,0.556,0.425
1044925,17,edison,2020-11-04T02:39:56Z,0.554,0.426
1045872,17,edison,2020-11-04T02:40:32Z,0.554,0.426
1046548,17,edison,2020-11-04T02:40:51Z,0.554,0.427
1063659,17,edison,2020-11-04T02:42:02Z,0.549,0.431
1065831,17,edison,2020-11-04T02:42:50Z,0.548,0.432
1081614,17,edison,2020-11-04T02:43:12Z,0.546,0.434
1084821,17,edison,2020-11-04T02:45:16Z,0.545,0.435
1090865,17,edison,2020-11-04T02:45:53Z,0.544,0.437
1091254,17,edison,2020-11-04T02:46:16Z,0.543,0.437
1092810,18,edison,2020-11-04T02:47:08Z,0.543,0.438
1133275,18,edison,2020-11-04T02:47:21Z,0.551,0.429
1134228,18,edison,2020-11-04T02:48:27Z,0.551,0.429
1158486,19,edison,2020-11-04T02:48:50Z,0.546,0.434
1223274,20,edison,2020-11-04T02:49:05Z,0.539,0.442
1262673,20,edison,2020-11-04T02:50:21Z,0.541,0.44
1263833,20,edison,2020-11-04T02:53:12Z,0.541,0.44
1283245,21,edison,2020-11-04T02:53:22Z,0.54,0.441
1285231,21,edison,2020-11-04T02:53:44Z,0.539,0.442
1289451,21,edison,2020-11-04T02:54:04Z,0.538,0.443
1294357,21,edison,2020-11-04T02:54:55Z,0.537,0.444
1297979,21,edison,2020-11-04T02:55:10Z,0.536,0.444
