votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:04Z,0.0,0.0
7987,0,edison,2020-11-03T23:12:16Z,0.297,0.684
20679,1,edison,2020-11-03T23:17:15Z,0.298,0.683
28938,1,edison,2020-11-03T23:21:27Z,0.32,0.662
33917,1,edison,2020-11-03T23:21:46Z,0.314,0.667
42979,1,edison,2020-11-03T23:27:45Z,0.315,0.665
59440,2,edison,2020-11-03T23:30:26Z,0.314,0.667
69896,2,edison,2020-11-03T23:34:02Z,0.309,0.672
81051,3,edison,2020-11-03T23:37:55Z,0.313,0.669
84990,3,edison,2020-11-03T23:39:06Z,0.312,0.67
88386,3,edison,2020-11-03T23:41:40Z,0.312,0.669
119881,4,edison,2020-11-03T23:42:29Z,0.34,0.641
148381,5,edison,2020-11-03T23:44:32Z,0.353,0.627
148541,5,edison,2020-11-03T23:44:56Z,0.353,0.628
149884,5,edison,2020-11-03T23:46:48Z,0.351,0.629
151436,5,edison,2020-11-03T23:50:23Z,0.35,0.63
160596,5,edison,2020-11-03T23:50:53Z,0.345,0.635
172429,6,edison,2020-11-03T23:51:23Z,0.341,0.639
172801,6,edison,2020-11-03T23:51:44Z,0.341,0.639
173673,6,edison,2020-11-03T23:53:12Z,0.34,0.64
174011,6,edison,2020-11-03T23:54:39Z,0.34,0.64
174368,6,edison,2020-11-03T23:55:17Z,0.34,0.64
187306,6,edison,2020-11-03T23:55:35Z,0.337,0.641
202078,7,edison,2020-11-03T23:55:47Z,0.332,0.646
229365,7,edison,2020-11-03T23:59:52Z,0.34,0.638
230035,7,edison,2020-11-04T00:00:58Z,0.341,0.637
235494,8,edison,2020-11-04T00:01:56Z,0.339,0.639
238029,8,edison,2020-11-04T00:03:37Z,0.337,0.641
239508,8,edison,2020-11-04T00:05:26Z,0.336,0.642
241340,8,edison,2020-11-04T00:07:41Z,0.335,0.642
242475,8,edison,2020-11-04T00:08:06Z,0.335,0.643
243447,8,edison,2020-11-04T00:08:45Z,0.334,0.644
248602,8,edison,2020-11-04T00:11:04Z,0.331,0.647
256538,8,edison,2020-11-04T00:11:35Z,0.328,0.649
261642,9,edison,2020-11-04T00:13:09Z,0.329,0.649
290254,9,edison,2020-11-04T00:13:37Z,0.32,0.658
298265,10,edison,2020-11-04T00:13:44Z,0.32,0.658
300590,10,edison,2020-11-04T00:14:25Z,0.319,0.659
307713,10,edison,2020-11-04T00:14:48Z,0.317,0.662
311567,10,edison,2020-11-04T00:15:46Z,0.315,0.663
315235,10,edison,2020-11-04T00:18:34Z,0.313,0.665
317514,10,edison,2020-11-04T00:19:00Z,0.312,0.666
319063,10,edison,2020-11-04T00:19:36Z,0.311,0.667
319821,10,edison,2020-11-04T00:20:51Z,0.311,0.667
320297,10,edison,2020-11-04T00:21:36Z,0.311,0.667
321671,10,edison,2020-11-04T00:24:55Z,0.31,0.668
327050,11,edison,2020-11-04T00:29:25Z,0.309,0.669
327927,11,edison,2020-11-04T00:29:44Z,0.309,0.669
345919,11,edison,2020-11-04T00:29:54Z,0.308,0.67
346118,11,edison,2020-11-04T00:30:12Z,0.308,0.67
346185,11,edison,2020-11-04T00:30:26Z,0.308,0.67
359575,12,edison,2020-11-04T00:30:57Z,0.305,0.673
360331,12,edison,2020-11-04T00:33:06Z,0.304,0.673
362228,12,edison,2020-11-04T00:34:35Z,0.304,0.674
363089,12,edison,2020-11-04T00:36:07Z,0.303,0.675
369414,12,edison,2020-11-04T00:40:44Z,0.302,0.676
388308,13,edison,2020-11-04T00:41:23Z,0.312,0.666
410747,13,edison,2020-11-04T00:42:24Z,0.317,0.662
413225,13,edison,2020-11-04T00:43:06Z,0.317,0.662
416244,14,edison,2020-11-04T00:44:00Z,0.316,0.663
