votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:41Z,0.0,0.0
375,0,edison,2020-11-04T03:13:02Z,0.333,0.651
206786,11,edison,2020-11-04T03:13:16Z,0.66,0.325
219444,12,edison,2020-11-04T03:13:54Z,0.647,0.338
222000,12,edison,2020-11-04T03:14:10Z,0.644,0.341
262953,14,edison,2020-11-04T03:17:36Z,0.629,0.357
278859,15,edison,2020-11-04T03:18:29Z,0.624,0.361
280093,15,edison,2020-11-04T03:21:30Z,0.623,0.362
295154,16,edison,2020-11-04T03:22:16Z,0.616,0.369
295254,16,edison,2020-11-04T03:22:32Z,0.615,0.369
295770,16,edison,2020-11-04T03:26:20Z,0.615,0.37
336487,18,edison,2020-11-04T03:26:41Z,0.619,0.366
345932,19,edison,2020-11-04T03:26:50Z,0.616,0.368
347299,19,edison,2020-11-04T03:27:41Z,0.615,0.369
353528,19,edison,2020-11-04T03:28:40Z,0.614,0.37
356018,20,edison,2020-11-04T03:30:28Z,0.613,0.372
361769,20,edison,2020-11-04T03:31:28Z,0.61,0.375
361804,20,edison,2020-11-04T03:33:57Z,0.609,0.375
363678,20,edison,2020-11-04T03:34:12Z,0.608,0.377
367914,20,edison,2020-11-04T03:35:21Z,0.606,0.379
368799,20,edison,2020-11-04T03:35:45Z,0.604,0.38
373518,20,edison,2020-11-04T03:37:16Z,0.603,0.381
420843,23,edison,2020-11-04T03:38:07Z,0.587,0.397
430245,24,edison,2020-11-04T03:38:30Z,0.582,0.401
434227,24,edison,2020-11-04T03:38:51Z,0.579,0.405
461659,25,edison,2020-11-04T03:39:18Z,0.575,0.408
463460,25,edison,2020-11-04T03:40:39Z,0.574,0.41
733211,40,edison,2020-11-04T03:41:51Z,0.569,0.412
743249,41,edison,2020-11-04T03:44:43Z,0.568,0.413
743258,41,edison,2020-11-04T03:45:15Z,0.568,0.413
746945,41,edison,2020-11-04T03:46:17Z,0.567,0.415
762234,42,edison,2020-11-04T03:47:20Z,0.567,0.415
768608,42,edison,2020-11-04T03:47:58Z,0.565,0.417
771315,42,edison,2020-11-04T03:49:25Z,0.564,0.418
774239,42,edison,2020-11-04T03:50:19Z,0.563,0.418
775405,42,edison,2020-11-04T03:50:51Z,0.563,0.419
