votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:44Z,0.0,0.0
4987,0,edison,2020-11-04T01:09:19Z,0.417,0.563
267929,20,edison,2020-11-04T01:10:11Z,0.573,0.41
268631,20,edison,2020-11-04T01:18:51Z,0.572,0.411
269938,20,edison,2020-11-04T01:20:59Z,0.57,0.413
400831,30,edison,2020-11-04T01:26:50Z,0.542,0.446
415828,31,edison,2020-11-04T01:27:55Z,0.544,0.443
417051,31,edison,2020-11-04T01:28:27Z,0.544,0.443
417144,31,edison,2020-11-04T01:33:02Z,0.544,0.443
418609,31,edison,2020-11-04T01:35:06Z,0.542,0.442
433712,33,edison,2020-11-04T01:35:35Z,0.538,0.445
433717,33,edison,2020-11-04T01:42:31Z,0.538,0.445
433772,33,edison,2020-11-04T01:43:11Z,0.538,0.445
452663,34,edison,2020-11-04T01:44:36Z,0.54,0.443
458060,34,edison,2020-11-04T01:46:22Z,0.539,0.444
465388,35,edison,2020-11-04T01:47:06Z,0.539,0.444
471182,35,edison,2020-11-04T01:48:03Z,0.537,0.445
472997,36,edison,2020-11-04T01:50:27Z,0.536,0.446
472997,36,edison,2020-11-04T01:50:49Z,0.527,0.455
477264,36,edison,2020-11-04T01:51:08Z,0.527,0.456
478114,36,edison,2020-11-04T01:52:21Z,0.526,0.457
479245,36,edison,2020-11-04T01:56:26Z,0.525,0.458
482382,36,edison,2020-11-04T01:57:36Z,0.522,0.456
482738,36,edison,2020-11-04T02:02:11Z,0.522,0.456
485512,37,edison,2020-11-04T02:02:39Z,0.521,0.457
486052,37,edison,2020-11-04T02:04:06Z,0.521,0.457
487500,37,edison,2020-11-04T02:05:18Z,0.52,0.458
494002,37,edison,2020-11-04T02:06:45Z,0.518,0.46
502510,38,edison,2020-11-04T02:07:20Z,0.516,0.463
503948,38,edison,2020-11-04T02:08:19Z,0.515,0.464
505883,38,edison,2020-11-04T02:08:24Z,0.514,0.465
509438,38,edison,2020-11-04T02:09:10Z,0.511,0.467
511867,38,edison,2020-11-04T02:10:12Z,0.509,0.469
521810,39,edison,2020-11-04T02:10:50Z,0.51,0.469
523345,39,edison,2020-11-04T02:12:43Z,0.508,0.47
523367,39,edison,2020-11-04T02:12:46Z,0.508,0.47
523740,39,edison,2020-11-04T02:12:59Z,0.508,0.47
527870,40,edison,2020-11-04T02:15:24Z,0.506,0.473
529456,40,edison,2020-11-04T02:19:42Z,0.504,0.474
537109,40,edison,2020-11-04T02:19:55Z,0.5,0.478
538309,40,edison,2020-11-04T02:20:53Z,0.5,0.478
543096,41,edison,2020-11-04T02:23:10Z,0.497,0.481
543745,41,edison,2020-11-04T02:24:16Z,0.496,0.481
547047,41,edison,2020-11-04T02:25:05Z,0.494,0.484
551181,41,edison,2020-11-04T02:25:19Z,0.493,0.485
561591,42,edison,2020-11-04T02:26:39Z,0.506,0.477
603482,45,edison,2020-11-04T02:27:14Z,0.515,0.467
604826,45,edison,2020-11-04T02:28:05Z,0.514,0.468
635463,48,edison,2020-11-04T02:28:23Z,0.509,0.473
635662,48,edison,2020-11-04T02:28:32Z,0.509,0.473
638547,48,edison,2020-11-04T02:29:39Z,0.507,0.474
638693,48,edison,2020-11-04T02:30:27Z,0.507,0.474
654625,49,edison,2020-11-04T02:31:41Z,0.505,0.477
656641,49,edison,2020-11-04T02:31:53Z,0.504,0.477
661818,50,edison,2020-11-04T02:33:49Z,0.502,0.48
733943,55,edison,2020-11-04T02:34:04Z,0.486,0.492
736786,55,edison,2020-11-04T02:37:05Z,0.474,0.501
747163,56,edison,2020-11-04T02:38:54Z,0.472,0.503
747824,56,edison,2020-11-04T02:41:31Z,0.472,0.503
749792,56,edison,2020-11-04T02:42:14Z,0.471,0.504
751190,56,edison,2020-11-04T02:42:30Z,0.471,0.504
754577,57,edison,2020-11-04T02:44:19Z,0.469,0.506
758074,57,edison,2020-11-04T02:44:38Z,0.468,0.507
762691,57,edison,2020-11-04T02:47:13Z,0.466,0.509
765392,58,edison,2020-11-04T02:49:10Z,0.465,0.509
766176,58,edison,2020-11-04T02:50:56Z,0.465,0.51
774998,58,edison,2020-11-04T02:52:49Z,0.463,0.512
776381,58,edison,2020-11-04T02:53:06Z,0.462,0.513
782163,59,edison,2020-11-04T02:53:33Z,0.461,0.514
783621,59,edison,2020-11-04T02:54:17Z,0.46,0.515
786007,59,edison,2020-11-04T02:55:53Z,0.459,0.516
786189,59,edison,2020-11-04T02:56:25Z,0.459,0.516
789708,59,edison,2020-11-04T02:59:46Z,0.458,0.517
793695,60,edison,2020-11-04T03:00:04Z,0.458,0.517
795105,60,edison,2020-11-04T03:01:08Z,0.457,0.518
797073,60,edison,2020-11-04T03:01:48Z,0.456,0.518
812925,61,edison,2020-11-04T03:03:18Z,0.454,0.521
815084,61,edison,2020-11-04T03:03:48Z,0.453,0.522
819809,62,edison,2020-11-04T03:04:32Z,0.451,0.523
819927,62,edison,2020-11-04T03:04:59Z,0.451,0.523
821755,62,edison,2020-11-04T03:05:06Z,0.45,0.524
833136,63,edison,2020-11-04T03:05:48Z,0.45,0.524
834343,63,edison,2020-11-04T03:06:25Z,0.45,0.525
837434,63,edison,2020-11-04T03:06:59Z,0.449,0.526
837434,63,edison,2020-11-04T03:08:24Z,0.451,0.524
840843,63,edison,2020-11-04T03:08:31Z,0.45,0.525
840922,63,edison,2020-11-04T03:09:04Z,0.45,0.525
841292,63,edison,2020-11-04T03:09:43Z,0.449,0.525
847129,64,edison,2020-11-04T03:12:42Z,0.447,0.527
849542,64,edison,2020-11-04T03:13:54Z,0.447,0.528
850165,64,edison,2020-11-04T03:14:28Z,0.447,0.528
850932,64,edison,2020-11-04T03:15:04Z,0.446,0.528
854801,64,edison,2020-11-04T03:15:35Z,0.445,0.529
856535,64,edison,2020-11-04T03:15:59Z,0.445,0.53
860328,65,edison,2020-11-04T03:18:15Z,0.443,0.531
863332,65,edison,2020-11-04T03:20:02Z,0.443,0.531
863478,65,edison,2020-11-04T03:20:58Z,0.443,0.531
864540,65,edison,2020-11-04T03:21:35Z,0.443,0.531
866787,65,edison,2020-11-04T03:24:59Z,0.442,0.532
868788,65,edison,2020-11-04T03:27:07Z,0.442,0.533
872118,66,edison,2020-11-04T03:28:09Z,0.441,0.534
877089,66,edison,2020-11-04T03:29:48Z,0.439,0.535
878015,66,edison,2020-11-04T03:32:07Z,0.439,0.535
883035,66,edison,2020-11-04T03:33:16Z,0.438,0.536
888206,67,edison,2020-11-04T03:35:21Z,0.437,0.537
891349,67,edison,2020-11-04T03:36:09Z,0.436,0.538
891792,67,edison,2020-11-04T03:37:46Z,0.436,0.538
894503,67,edison,2020-11-04T03:38:10Z,0.435,0.539
895235,67,edison,2020-11-04T03:38:25Z,0.434,0.539
895464,67,edison,2020-11-04T03:40:09Z,0.434,0.539
900263,68,edison,2020-11-04T03:42:24Z,0.433,0.542
900420,68,edison,2020-11-04T03:47:48Z,0.433,0.542
905745,68,edison,2020-11-04T03:48:37Z,0.431,0.543
909622,68,edison,2020-11-04T03:53:57Z,0.431,0.544
913648,69,edison,2020-11-04T03:55:07Z,0.43,0.545
947517,71,edison,2020-11-04T03:56:17Z,0.423,0.551
948145,71,edison,2020-11-04T03:58:48Z,0.422,0.552
948729,71,edison,2020-11-04T04:00:25Z,0.422,0.553
949390,71,edison,2020-11-04T04:00:52Z,0.421,0.553
951934,72,edison,2020-11-04T04:01:15Z,0.422,0.553
953176,72,edison,2020-11-04T04:05:32Z,0.421,0.553
954948,72,edison,2020-11-04T04:05:44Z,0.421,0.553
957978,72,edison,2020-11-04T04:06:28Z,0.42,0.554
960492,72,edison,2020-11-04T04:06:53Z,0.419,0.555
963521,72,edison,2020-11-04T04:07:47Z,0.419,0.556
964823,73,edison,2020-11-04T04:09:49Z,0.418,0.556
965622,73,edison,2020-11-04T04:11:00Z,0.418,0.556
1006616,76,edison,2020-11-04T04:12:11Z,0.415,0.559
1009285,76,edison,2020-11-04T04:12:38Z,0.414,0.559
1014663,76,edison,2020-11-04T04:13:01Z,0.413,0.561
1015947,76,edison,2020-11-04T04:14:20Z,0.413,0.561
1018181,77,edison,2020-11-04T04:17:22Z,0.412,0.562
1018558,77,edison,2020-11-04T04:18:53Z,0.412,0.562
1073374,81,edison,2020-11-04T04:24:02Z,0.424,0.55
1073979,81,edison,2020-11-04T04:24:13Z,0.424,0.55
1076527,81,edison,2020-11-04T04:27:37Z,0.424,0.55
1081637,81,edison,2020-11-04T04:33:58Z,0.424,0.55
1082528,81,edison,2020-11-04T04:39:10Z,0.424,0.55
1083319,81,edison,2020-11-04T04:41:46Z,0.423,0.551
1083995,82,edison,2020-11-04T04:42:19Z,0.423,0.551
1090300,82,edison,2020-11-04T04:45:23Z,0.422,0.552
1091785,82,edison,2020-11-04T04:47:03Z,0.421,0.553
1094002,82,edison,2020-11-04T04:53:55Z,0.421,0.553
1095262,82,edison,2020-11-04T04:56:35Z,0.421,0.553
1100543,83,edison,2020-11-04T05:02:23Z,0.419,0.555
1104684,83,edison,2020-11-04T05:03:28Z,0.418,0.556
1105975,83,edison,2020-11-04T05:05:26Z,0.418,0.556
1106824,83,edison,2020-11-04T05:09:34Z,0.418,0.556
1109734,83,edison,2020-11-04T05:09:59Z,0.417,0.557
1111160,84,edison,2020-11-04T05:10:57Z,0.417,0.557
1119215,84,edison,2020-11-04T05:13:25Z,0.416,0.558
1120051,84,edison,2020-11-04T05:14:23Z,0.416,0.558
1128513,85,edison,2020-11-04T05:15:52Z,0.415,0.559
1134935,85,edison,2020-11-04T05:18:58Z,0.414,0.56
1135106,85,edison,2020-11-04T05:23:53Z,0.414,0.56
1135994,85,edison,2020-11-04T05:25:13Z,0.414,0.56
1136390,85,edison,2020-11-04T05:26:28Z,0.414,0.561
1138258,86,edison,2020-11-04T05:27:11Z,0.413,0.561
1139559,86,edison,2020-11-04T05:28:14Z,0.413,0.561
1142442,86,edison,2020-11-04T05:33:16Z,0.412,0.562
1143870,86,edison,2020-11-04T05:47:14Z,0.412,0.562
1146308,86,edison,2020-11-04T05:49:30Z,0.411,0.563
1148433,86,edison,2020-11-04T05:50:30Z,0.411,0.563
1149061,86,edison,2020-11-04T05:57:43Z,0.411,0.563
1150514,87,edison,2020-11-04T06:00:08Z,0.41,0.564
1157059,87,edison,2020-11-04T06:12:29Z,0.409,0.565
1158790,87,edison,2020-11-04T06:13:49Z,0.409,0.565
1164024,88,edison,2020-11-04T06:19:24Z,0.408,0.566
1165670,88,edison,2020-11-04T06:21:53Z,0.408,0.566
1168446,88,edison,2020-11-04T06:27:08Z,0.407,0.567
1173532,88,edison,2020-11-04T06:31:03Z,0.407,0.567
1174929,88,edison,2020-11-04T06:37:11Z,0.407,0.568
1176776,88,edison,2020-11-04T06:48:34Z,0.406,0.568
1185887,89,edison,2020-11-04T06:50:57Z,0.406,0.568
1187343,89,edison,2020-11-04T07:09:40Z,0.406,0.568
1243716,94,edison,2020-11-04T07:35:26Z,0.418,0.556
1255047,94,edison,2020-11-04T07:54:57Z,0.418,0.556
1261867,95,edison,2020-11-04T07:59:14Z,0.417,0.557
1261942,95,edison,2020-11-04T08:23:07Z,0.417,0.557
1262925,95,edison,2020-11-04T08:31:19Z,0.417,0.557
1263958,95,edison,2020-11-04T18:02:30Z,0.417,0.557
1266047,95,edison,2020-11-04T18:12:18Z,0.416,0.558
1268062,95,edison,2020-11-04T18:21:22Z,0.416,0.558
1268133,95,edison,2020-11-04T18:37:25Z,0.416,0.558
1268234,95,edison,2020-11-04T19:32:21Z,0.416,0.558
1268338,95,edison,2020-11-04T19:35:26Z,0.416,0.558
1306509,98,edison,2020-11-04T20:05:14Z,0.409,0.565
1307748,98,edison,2020-11-04T20:06:01Z,0.409,0.566
1310445,99,edison,2020-11-04T20:06:14Z,0.408,0.566
1310461,99,edison,2020-11-04T20:07:27Z,0.408,0.566
1310471,99,edison,2020-11-04T20:12:23Z,0.408,0.566
1310472,99,edison,2020-11-04T20:16:27Z,0.408,0.566
1310478,99,edison,2020-11-04T20:20:37Z,0.408,0.566
1310507,99,edison,2020-11-04T20:39:21Z,0.408,0.566
1310514,99,edison,2020-11-04T20:40:19Z,0.408,0.566
1310521,99,edison,2020-11-04T20:43:22Z,0.408,0.566
1310531,99,edison,2020-11-04T20:46:31Z,0.408,0.566
1310551,99,edison,2020-11-04T21:06:26Z,0.408,0.566
1310559,99,edison,2020-11-04T21:08:20Z,0.408,0.566
1310596,99,edison,2020-11-04T21:16:23Z,0.408,0.566
1310608,99,edison,2020-11-04T21:37:35Z,0.408,0.566
1310611,99,edison,2020-11-04T21:47:26Z,0.408,0.566
1310617,99,edison,2020-11-04T21:52:25Z,0.408,0.566
1310904,99,edison,2020-11-04T21:54:25Z,0.408,0.566
1310935,99,edison,2020-11-04T21:58:17Z,0.408,0.566
1311073,99,edison,2020-11-04T22:01:32Z,0.408,0.566
1311080,99,edison,2020-11-04T22:08:23Z,0.408,0.566
1311161,99,edison,2020-11-04T22:10:19Z,0.408,0.566
1311162,99,edison,2020-11-04T22:16:22Z,0.408,0.566
1315054,99,edison,2020-11-04T23:00:22Z,0.409,0.566
1315345,99,edison,2020-11-04T23:06:32Z,0.409,0.566
1315526,99,edison,2020-11-04T23:08:23Z,0.409,0.566
1315546,99,edison,2020-11-04T23:15:20Z,0.409,0.566
1315710,99,edison,2020-11-04T23:21:28Z,0.409,0.566
1315718,99,edison,2020-11-04T23:22:36Z,0.409,0.566
1315719,99,edison,2020-11-04T23:27:24Z,0.409,0.566
1316578,99,edison,2020-11-04T23:29:20Z,0.41,0.567
1316656,99,edison,2020-11-04T23:30:33Z,0.41,0.567
1316825,99,edison,2020-11-04T23:32:18Z,0.41,0.567
1316832,99,edison,2020-11-04T23:33:21Z,0.41,0.567
1317380,99,edison,2020-11-04T23:44:24Z,0.411,0.567
1317383,99,edison,2020-11-04T23:46:27Z,0.411,0.567
1317419,99,edison,2020-11-04T23:48:24Z,0.411,0.567
1317462,99,edison,2020-11-04T23:49:25Z,0.411,0.567
1317573,99,edison,2020-11-04T23:50:24Z,0.411,0.567
1317576,99,edison,2020-11-04T23:51:30Z,0.411,0.567
1317607,99,edison,2020-11-04T23:53:17Z,0.411,0.567
1317627,99,edison,2020-11-04T23:55:19Z,0.411,0.567
1317637,99,edison,2020-11-04T23:58:29Z,0.411,0.567
1317953,99,edison,2020-11-05T00:00:17Z,0.411,0.567
1318787,99,edison,2020-11-05T19:36:07Z,0.411,0.567
1318791,99,edison,2020-11-05T19:44:11Z,0.411,0.567
1318799,99,edison,2020-11-05T20:37:10Z,0.411,0.567
1318801,99,edison,2020-11-05T20:48:12Z,0.411,0.567
1318803,99,edison,2020-11-05T20:59:11Z,0.411,0.567
1318804,99,edison,2020-11-05T21:00:07Z,0.411,0.567
1318809,99,edison,2020-11-05T21:06:15Z,0.411,0.567
1318811,99,edison,2020-11-05T21:11:26Z,0.411,0.567
1318815,99,edison,2020-11-05T21:15:10Z,0.411,0.567
1318818,99,edison,2020-11-05T21:19:10Z,0.411,0.567
1318830,99,edison,2020-11-05T21:28:13Z,0.411,0.567
1318841,99,edison,2020-11-05T21:30:10Z,0.411,0.567
1318892,99,edison,2020-11-05T21:32:19Z,0.411,0.567
1318897,99,edison,2020-11-05T21:39:11Z,0.411,0.567
1318903,99,edison,2020-11-05T21:40:14Z,0.411,0.567
1318944,99,edison,2020-11-05T21:50:16Z,0.411,0.567
1318952,99,edison,2020-11-05T21:54:09Z,0.411,0.567
1318958,99,edison,2020-11-05T21:59:19Z,0.411,0.567
1319784,99,edison,2020-11-05T22:02:14Z,0.411,0.567
1319787,99,edison,2020-11-05T22:06:23Z,0.411,0.567
1319790,99,edison,2020-11-05T22:17:21Z,0.411,0.567
1319796,99,edison,2020-11-05T22:20:20Z,0.411,0.567
1320521,99,edison,2020-11-05T22:22:23Z,0.411,0.567
1320522,99,edison,2020-11-05T22:23:12Z,0.411,0.567
1320524,99,edison,2020-11-05T22:30:38Z,0.411,0.567
1320528,99,edison,2020-11-05T22:31:23Z,0.411,0.567
1335771,99,edison,2020-11-08T22:47:23Z,0.413,0.565
1335776,99,edison,2020-11-08T23:31:38Z,0.413,0.565
1335789,99,edison,2020-11-08T23:33:48Z,0.413,0.565
1335795,99,edison,2020-11-08T23:37:29Z,0.413,0.565
1335799,99,edison,2020-11-08T23:39:58Z,0.413,0.565
1335800,99,edison,2020-11-08T23:41:35Z,0.413,0.565
1335836,99,edison,2020-11-08T23:42:56Z,0.413,0.565
1335843,99,edison,2020-11-08T23:44:02Z,0.413,0.565
1335847,99,edison,2020-11-08T23:45:17Z,0.413,0.565
1335857,99,edison,2020-11-08T23:46:18Z,0.413,0.565
1335954,99,edison,2020-11-08T23:47:26Z,0.413,0.565
