votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:06:01Z,0.0,0.0
6100,0,edison,2020-11-03T23:18:18Z,0.133,0.858
7715,0,edison,2020-11-03T23:19:41Z,0.173,0.817
23326,1,edison,2020-11-03T23:20:56Z,0.295,0.693
26769,1,edison,2020-11-03T23:23:02Z,0.28,0.707
52058,2,edison,2020-11-03T23:24:53Z,0.312,0.673
55858,2,edison,2020-11-03T23:26:39Z,0.311,0.675
64360,3,edison,2020-11-03T23:28:53Z,0.3,0.685
67393,3,edison,2020-11-03T23:29:22Z,0.292,0.694
150747,6,edison,2020-11-03T23:34:59Z,0.537,0.447
175109,8,edison,2020-11-03T23:35:48Z,0.553,0.431
179984,8,edison,2020-11-03T23:37:05Z,0.546,0.438
189736,8,edison,2020-11-03T23:38:57Z,0.531,0.453
190548,8,edison,2020-11-03T23:39:26Z,0.529,0.454
193619,8,edison,2020-11-03T23:42:32Z,0.532,0.452
194070,8,edison,2020-11-03T23:42:53Z,0.531,0.453
195037,8,edison,2020-11-03T23:43:15Z,0.53,0.454
234561,10,edison,2020-11-03T23:43:45Z,0.503,0.481
237316,10,edison,2020-11-03T23:44:52Z,0.504,0.48
241785,10,edison,2020-11-03T23:46:53Z,0.499,0.485
252370,11,edison,2020-11-03T23:48:32Z,0.495,0.489
252898,11,edison,2020-11-03T23:48:40Z,0.494,0.49
255532,11,edison,2020-11-03T23:51:15Z,0.496,0.489
259123,11,edison,2020-11-03T23:52:46Z,0.49,0.494
261082,11,edison,2020-11-03T23:54:01Z,0.489,0.495
264890,11,edison,2020-11-03T23:55:20Z,0.485,0.5
277213,12,edison,2020-11-03T23:55:45Z,0.475,0.509
296793,13,edison,2020-11-04T00:02:14Z,0.481,0.504
300246,13,edison,2020-11-04T00:03:29Z,0.477,0.508
309697,13,edison,2020-11-04T00:04:11Z,0.47,0.515
310420,13,edison,2020-11-04T00:04:27Z,0.469,0.515
316605,14,edison,2020-11-04T00:05:44Z,0.465,0.52
317960,14,edison,2020-11-04T00:09:07Z,0.464,0.521
320500,14,edison,2020-11-04T00:10:06Z,0.462,0.523
322455,14,edison,2020-11-04T00:10:20Z,0.46,0.525
335424,14,edison,2020-11-04T00:10:47Z,0.458,0.526
336176,14,edison,2020-11-04T00:11:22Z,0.458,0.527
346218,15,edison,2020-11-04T00:12:32Z,0.449,0.535
347470,15,edison,2020-11-04T00:14:12Z,0.448,0.537
347841,15,edison,2020-11-04T00:15:30Z,0.448,0.537
349880,15,edison,2020-11-04T00:16:13Z,0.447,0.538
