votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T05:58:59Z,0.0,0.0
26772,1,edison,2020-11-04T02:05:26Z,0.455,0.535
58063,3,edison,2020-11-04T02:06:56Z,0.458,0.533
95988,4,edison,2020-11-04T02:09:11Z,0.412,0.578
138360,6,edison,2020-11-04T02:10:04Z,0.397,0.592
162026,7,edison,2020-11-04T02:11:16Z,0.386,0.604
171177,8,edison,2020-11-04T02:14:55Z,0.377,0.613
175033,8,edison,2020-11-04T02:18:38Z,0.372,0.618
230152,10,edison,2020-11-04T02:24:00Z,0.372,0.617
242271,11,edison,2020-11-04T02:25:05Z,0.369,0.62
242890,11,edison,2020-11-04T02:29:59Z,0.369,0.62
273163,12,edison,2020-11-04T02:34:42Z,0.358,0.631
279473,12,edison,2020-11-04T02:35:14Z,0.36,0.629
286575,13,edison,2020-11-04T02:39:17Z,0.36,0.629
287458,13,edison,2020-11-04T02:40:16Z,0.361,0.628
369805,16,edison,2020-11-04T02:42:22Z,0.398,0.59
370072,16,edison,2020-11-04T02:42:28Z,0.398,0.59
406767,18,edison,2020-11-04T02:45:43Z,0.399,0.589
418727,18,edison,2020-11-04T02:51:09Z,0.397,0.591
485853,21,edison,2020-11-04T02:51:31Z,0.391,0.596
613401,27,edison,2020-11-04T02:54:15Z,0.379,0.607
648786,29,edison,2020-11-04T02:55:57Z,0.378,0.608
721059,32,edison,2020-11-04T02:57:25Z,0.378,0.608
822516,36,edison,2020-11-04T03:03:44Z,0.369,0.616
835533,37,edison,2020-11-04T03:06:25Z,0.368,0.617
915208,40,edison,2020-11-04T03:10:47Z,0.361,0.623
920496,40,edison,2020-11-04T03:11:52Z,0.361,0.624
960085,42,edison,2020-11-04T03:12:53Z,0.36,0.624
966779,42,edison,2020-11-04T03:16:35Z,0.36,0.624
1044714,46,edison,2020-11-04T03:18:18Z,0.351,0.632
1081451,48,edison,2020-11-04T03:21:07Z,0.35,0.634
1117565,49,edison,2020-11-04T03:22:16Z,0.347,0.637
1133908,50,edison,2020-11-04T03:22:21Z,0.346,0.638
1138587,50,edison,2020-11-04T03:25:26Z,0.345,0.639
1171940,52,edison,2020-11-04T03:26:09Z,0.342,0.642
1214583,53,edison,2020-11-04T03:31:33Z,0.341,0.642
1219888,54,edison,2020-11-04T03:32:45Z,0.341,0.642
1300921,57,edison,2020-11-04T03:34:42Z,0.34,0.644
1332887,59,edison,2020-11-04T03:36:41Z,0.338,0.645
1462898,64,edison,2020-11-04T03:38:55Z,0.356,0.627
1478224,65,edison,2020-11-04T03:40:25Z,0.355,0.628
1560778,69,edison,2020-11-04T03:44:47Z,0.357,0.626
1568964,69,edison,2020-11-04T03:47:17Z,0.358,0.626
1599874,70,edison,2020-11-04T03:51:48Z,0.355,0.628
1645927,72,edison,2020-11-04T03:55:21Z,0.354,0.629
1661323,73,edison,2020-11-04T03:58:57Z,0.354,0.63
1668635,73,edison,2020-11-04T04:00:23Z,0.353,0.63
1717836,76,edison,2020-11-04T04:01:21Z,0.357,0.626
1736948,76,edison,2020-11-04T04:06:41Z,0.359,0.624
1746343,77,edison,2020-11-04T04:16:44Z,0.36,0.623
1826879,80,edison,2020-11-04T04:22:34Z,0.366,0.617
1851082,81,edison,2020-11-04T04:27:46Z,0.365,0.618
1853260,81,edison,2020-11-04T04:29:04Z,0.365,0.618
1854829,82,edison,2020-11-04T04:33:12Z,0.365,0.618
1875902,82,edison,2020-11-04T04:36:25Z,0.366,0.616
1876812,82,edison,2020-11-04T04:45:41Z,0.366,0.617
1877496,83,edison,2020-11-04T04:49:21Z,0.366,0.616
1896051,83,edison,2020-11-04T04:50:54Z,0.366,0.617
1897722,83,edison,2020-11-04T05:01:07Z,0.366,0.616
1927419,85,edison,2020-11-04T05:09:06Z,0.37,0.613
1949840,86,edison,2020-11-04T05:10:00Z,0.37,0.613
1950935,86,edison,2020-11-04T05:13:13Z,0.37,0.613
1950936,86,edison,2020-11-04T05:17:28Z,0.37,0.613
1952169,86,edison,2020-11-04T05:27:24Z,0.37,0.613
1971193,87,edison,2020-11-04T05:30:34Z,0.369,0.614
2071796,91,edison,2020-11-04T05:37:25Z,0.394,0.589
2100291,92,edison,2020-11-04T05:47:11Z,0.399,0.584
2147313,94,edison,2020-11-04T06:40:48Z,0.398,0.585
2147314,94,edison,2020-11-04T23:18:53Z,0.398,0.585
2147314,99,edison,2020-11-05T02:20:45Z,0.398,0.585
2147395,99,edison,2020-11-07T11:15:46Z,0.398,0.585
2147817,99,edison,2020-11-10T11:16:16Z,0.398,0.585
2148062,99,edison,2020-11-10T19:46:01Z,0.399,0.585
