votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:24Z,0.0,0.0
274,0,edison,2020-11-04T01:34:20Z,0.27,0.708
4937,1,edison,2020-11-04T01:36:23Z,0.572,0.391
7163,1,edison,2020-11-04T01:39:28Z,0.533,0.432
9205,1,edison,2020-11-04T01:42:18Z,0.503,0.462
10077,1,edison,2020-11-04T01:43:03Z,0.487,0.48
10817,1,edison,2020-11-04T01:48:02Z,0.464,0.504
11811,1,edison,2020-11-04T01:50:52Z,0.456,0.512
12793,1,edison,2020-11-04T01:50:54Z,0.465,0.503
12855,1,edison,2020-11-04T01:53:21Z,0.467,0.501
13339,2,edison,2020-11-04T01:53:38Z,0.461,0.507
14996,2,edison,2020-11-04T01:53:43Z,0.457,0.508
15441,2,edison,2020-11-04T01:55:41Z,0.464,0.501
16211,2,edison,2020-11-04T02:03:17Z,0.457,0.509
18537,2,edison,2020-11-04T02:03:41Z,0.455,0.512
19930,2,edison,2020-11-04T02:08:07Z,0.45,0.517
24684,3,edison,2020-11-04T02:10:32Z,0.428,0.537
25346,3,edison,2020-11-04T02:10:58Z,0.426,0.539
27644,3,edison,2020-11-04T02:11:25Z,0.422,0.543
28682,3,edison,2020-11-04T02:12:24Z,0.422,0.543
30930,4,edison,2020-11-04T02:12:59Z,0.421,0.544
32149,4,edison,2020-11-04T02:14:38Z,0.425,0.54
33802,4,edison,2020-11-04T02:17:17Z,0.422,0.543
35276,4,edison,2020-11-04T02:19:09Z,0.418,0.546
35919,4,edison,2020-11-04T02:20:35Z,0.417,0.547
38244,4,edison,2020-11-04T02:22:11Z,0.413,0.552
39895,5,edison,2020-11-04T02:23:41Z,0.409,0.555
41684,5,edison,2020-11-04T02:28:32Z,0.408,0.556
42742,5,edison,2020-11-04T02:29:31Z,0.415,0.55
43495,5,edison,2020-11-04T02:30:12Z,0.411,0.554
44154,5,edison,2020-11-04T02:31:17Z,0.409,0.555
48097,6,edison,2020-11-04T02:33:22Z,0.423,0.542
48254,6,edison,2020-11-04T02:35:02Z,0.422,0.543
49206,6,edison,2020-11-04T02:35:34Z,0.42,0.545
52814,6,edison,2020-11-04T02:44:51Z,0.421,0.544
61904,7,edison,2020-11-04T02:47:11Z,0.459,0.508
63206,7,edison,2020-11-04T02:47:45Z,0.456,0.51
68326,8,edison,2020-11-04T02:48:06Z,0.462,0.503
69106,8,edison,2020-11-04T02:48:42Z,0.461,0.504
75108,9,edison,2020-11-04T02:49:05Z,0.479,0.488
75710,9,edison,2020-11-04T02:51:20Z,0.478,0.488
77772,9,edison,2020-11-04T02:53:05Z,0.479,0.487
79661,9,edison,2020-11-04T02:54:15Z,0.476,0.49
84905,10,edison,2020-11-04T02:55:25Z,0.491,0.473
86128,10,edison,2020-11-04T02:57:15Z,0.488,0.476
86133,10,edison,2020-11-04T02:58:42Z,0.488,0.476
92573,11,edison,2020-11-04T03:03:53Z,0.484,0.48
94285,11,edison,2020-11-04T03:04:35Z,0.483,0.482
96845,11,edison,2020-11-04T03:04:55Z,0.482,0.483
98957,12,edison,2020-11-04T03:07:32Z,0.483,0.482
99520,12,edison,2020-11-04T03:09:04Z,0.484,0.481
100254,12,edison,2020-11-04T03:10:22Z,0.483,0.482
101542,12,edison,2020-11-04T03:12:15Z,0.484,0.481
103391,12,edison,2020-11-04T03:12:58Z,0.483,0.482
103984,12,edison,2020-11-04T03:13:36Z,0.483,0.483
106290,12,edison,2020-11-04T03:19:52Z,0.482,0.483
109030,13,edison,2020-11-04T03:20:19Z,0.48,0.486
110795,13,edison,2020-11-04T03:21:42Z,0.479,0.487
111328,13,edison,2020-11-04T03:22:33Z,0.479,0.487
112070,13,edison,2020-11-04T03:22:51Z,0.478,0.488
112623,13,edison,2020-11-04T03:23:34Z,0.477,0.489
116141,14,edison,2020-11-04T03:25:50Z,0.474,0.492
118405,14,edison,2020-11-04T03:26:08Z,0.472,0.495
120720,14,edison,2020-11-04T03:26:16Z,0.476,0.491
123029,14,edison,2020-11-04T03:27:14Z,0.479,0.488
124138,14,edison,2020-11-04T03:27:23Z,0.479,0.488
128902,15,edison,2020-11-04T03:27:37Z,0.477,0.489
133086,15,edison,2020-11-04T03:27:57Z,0.476,0.491
133829,16,edison,2020-11-04T03:28:11Z,0.475,0.492
133832,16,edison,2020-11-04T03:28:30Z,0.475,0.492
136794,16,edison,2020-11-04T03:28:54Z,0.473,0.494
144838,17,edison,2020-11-04T03:30:15Z,0.473,0.493
145721,17,edison,2020-11-04T03:33:41Z,0.474,0.493
146367,17,edison,2020-11-04T03:39:08Z,0.474,0.492
146408,17,edison,2020-11-04T03:39:18Z,0.474,0.492
147803,17,edison,2020-11-04T03:43:47Z,0.476,0.492
150183,17,edison,2020-11-04T03:44:02Z,0.475,0.492
155573,18,edison,2020-11-04T03:47:11Z,0.475,0.492
157133,18,edison,2020-11-04T03:47:56Z,0.475,0.492
158026,18,edison,2020-11-04T03:48:36Z,0.475,0.492
165927,19,edison,2020-11-04T03:50:03Z,0.482,0.484
169038,20,edison,2020-11-04T03:54:10Z,0.482,0.485
175240,20,edison,2020-11-04T03:55:42Z,0.481,0.485
178637,21,edison,2020-11-04T03:55:59Z,0.48,0.486
179792,21,edison,2020-11-04T03:56:12Z,0.479,0.487
182470,21,edison,2020-11-04T03:56:27Z,0.481,0.485
184647,21,edison,2020-11-04T03:56:37Z,0.481,0.485
184818,21,edison,2020-11-04T03:57:17Z,0.481,0.485
