votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:00:43Z,0.0,0.0
93185,3,edison,2020-11-04T02:22:18Z,0.402,0.577
102887,3,edison,2020-11-04T02:31:11Z,0.404,0.575
116159,4,edison,2020-11-04T02:51:31Z,0.383,0.594
123990,4,edison,2020-11-04T03:04:53Z,0.388,0.589
130551,4,edison,2020-11-04T03:11:06Z,0.384,0.592
174915,6,edison,2020-11-04T03:15:09Z,0.386,0.59
298321,10,edison,2020-11-04T03:18:00Z,0.53,0.449
299218,10,edison,2020-11-04T03:29:15Z,0.529,0.448
301996,10,edison,2020-11-04T03:58:43Z,0.527,0.449
613630,20,edison,2020-11-04T04:14:18Z,0.718,0.262
727108,23,edison,2020-11-04T04:19:42Z,0.688,0.291
886699,28,edison,2020-11-04T04:27:34Z,0.725,0.256
1085754,35,edison,2020-11-04T04:30:17Z,0.696,0.286
1394315,45,edison,2020-11-04T04:31:28Z,0.717,0.264
1419372,46,edison,2020-11-04T04:34:07Z,0.712,0.27
1505560,48,edison,2020-11-04T04:36:21Z,0.69,0.29
1516848,49,edison,2020-11-04T04:36:59Z,0.688,0.292
1614585,52,edison,2020-11-04T04:39:28Z,0.664,0.315
1652912,53,edison,2020-11-04T04:42:00Z,0.66,0.32
1666645,54,edison,2020-11-04T04:43:58Z,0.656,0.324
1895108,61,edison,2020-11-04T04:46:16Z,0.652,0.329
2058939,66,edison,2020-11-04T05:13:56Z,0.633,0.349
2059679,66,edison,2020-11-04T05:15:13Z,0.632,0.349
2059780,66,edison,2020-11-04T05:18:12Z,0.632,0.349
2074916,67,edison,2020-11-04T05:21:20Z,0.629,0.352
2078419,67,edison,2020-11-04T05:53:14Z,0.629,0.352
2107782,68,edison,2020-11-04T11:46:51Z,0.636,0.347
2133487,68,edison,2020-11-04T15:31:49Z,0.634,0.349
2145505,69,edison,2020-11-04T16:15:49Z,0.631,0.351
2146009,69,edison,2020-11-04T18:39:51Z,0.631,0.351
2165706,70,edison,2020-11-04T21:22:55Z,0.631,0.351
2484719,80,edison,2020-11-08T17:23:59Z,0.635,0.346
2486679,80,edison,2020-11-09T00:50:39Z,0.636,0.346
2497959,80,edison,2020-11-09T01:38:51Z,0.637,0.345
2612113,84,edison,2020-11-10T19:18:52Z,0.64,0.34
2613307,84,edison,2020-11-10T21:18:45Z,0.64,0.341
2613310,84,edison,2020-11-10T21:35:44Z,0.64,0.341
2626192,84,edison,2020-11-10T22:54:52Z,0.642,0.339
2626194,84,edison,2020-11-10T23:09:44Z,0.642,0.339
2635818,85,edison,2020-11-10T23:20:46Z,0.642,0.339
2666203,86,edison,2020-11-11T00:47:48Z,0.643,0.338
2666217,86,edison,2020-11-11T18:37:50Z,0.643,0.338
2689793,86,edison,2020-11-11T22:55:48Z,0.644,0.337
2732714,88,edison,2020-11-12T01:33:46Z,0.646,0.335
2733810,88,edison,2020-11-12T16:37:51Z,0.646,0.335
2734258,88,edison,2020-11-12T17:25:46Z,0.646,0.335
2734829,88,edison,2020-11-12T18:47:45Z,0.646,0.335
2739404,88,edison,2020-11-12T19:16:46Z,0.646,0.335
2740104,88,edison,2020-11-12T19:32:44Z,0.646,0.335
2742229,88,edison,2020-11-12T20:17:45Z,0.646,0.335
2742702,88,edison,2020-11-12T20:57:45Z,0.646,0.335
2743788,88,edison,2020-11-12T21:22:45Z,0.646,0.335
2744241,88,edison,2020-11-12T21:54:48Z,0.646,0.335
2745631,88,edison,2020-11-12T22:28:47Z,0.646,0.335
2752543,88,edison,2020-11-12T23:01:47Z,0.646,0.335
2754536,88,edison,2020-11-12T23:57:57Z,0.646,0.335
2766186,89,edison,2020-11-13T00:51:45Z,0.646,0.335
2790933,90,edison,2020-11-13T03:50:00Z,0.647,0.334
