votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:00:04Z,0.0,0.0
615,0,edison,2020-11-04T01:14:54Z,0.615,0.345
3110,0,edison,2020-11-04T01:22:54Z,0.595,0.376
3301,0,edison,2020-11-04T01:25:26Z,0.605,0.365
9194,0,edison,2020-11-04T01:29:06Z,0.693,0.28
16873,0,edison,2020-11-04T01:32:01Z,0.674,0.301
29334,1,edison,2020-11-04T01:47:25Z,0.687,0.289
31617,1,edison,2020-11-04T01:48:09Z,0.687,0.29
35864,1,edison,2020-11-04T01:54:08Z,0.668,0.309
41341,1,edison,2020-11-04T01:54:18Z,0.638,0.339
48533,1,edison,2020-11-04T01:54:47Z,0.641,0.336
62238,2,edison,2020-11-04T01:55:37Z,0.649,0.327
70085,2,edison,2020-11-04T01:56:40Z,0.619,0.357
70085,2,edison,2020-11-04T01:56:40Z,0.619,0.357
73024,2,edison,2020-11-04T01:56:57Z,0.616,0.36
79829,2,edison,2020-11-04T01:57:15Z,0.617,0.36
82302,2,edison,2020-11-04T01:58:00Z,0.611,0.365
85186,2,edison,2020-11-04T01:58:24Z,0.616,0.359
94631,3,edison,2020-11-04T02:02:28Z,0.608,0.368
116177,3,edison,2020-11-04T02:03:36Z,0.645,0.332
119506,3,edison,2020-11-04T02:04:25Z,0.636,0.341
126343,3,edison,2020-11-04T02:05:02Z,0.644,0.334
128657,3,edison,2020-11-04T02:10:27Z,0.646,0.331
132788,4,edison,2020-11-04T02:16:37Z,0.652,0.326
142988,4,edison,2020-11-04T02:20:46Z,0.652,0.325
152466,4,edison,2020-11-04T02:20:54Z,0.655,0.322
192848,5,edison,2020-11-04T02:21:59Z,0.701,0.276
202243,5,edison,2020-11-04T02:25:00Z,0.7,0.277
202720,5,edison,2020-11-04T02:25:24Z,0.699,0.278
220094,6,edison,2020-11-04T02:27:12Z,0.702,0.276
232098,6,edison,2020-11-04T02:28:10Z,0.705,0.273
240695,6,edison,2020-11-04T02:28:34Z,0.704,0.273
243109,7,edison,2020-11-04T02:28:45Z,0.713,0.265
250322,7,edison,2020-11-04T02:30:54Z,0.705,0.272
276004,7,edison,2020-11-04T02:32:08Z,0.717,0.261
286503,8,edison,2020-11-04T02:32:28Z,0.718,0.26
320522,9,edison,2020-11-04T02:33:00Z,0.701,0.277
333698,9,edison,2020-11-04T02:33:53Z,0.695,0.283
350753,9,edison,2020-11-04T02:35:48Z,0.693,0.285
357979,10,edison,2020-11-04T02:37:42Z,0.69,0.288
366384,10,edison,2020-11-04T02:37:44Z,0.688,0.29
367296,10,edison,2020-11-04T02:38:35Z,0.687,0.29
380640,10,edison,2020-11-04T02:38:44Z,0.681,0.297
384661,10,edison,2020-11-04T02:40:23Z,0.68,0.298
389275,10,edison,2020-11-04T02:43:39Z,0.679,0.299
405713,11,edison,2020-11-04T02:44:11Z,0.678,0.299
411940,11,edison,2020-11-04T02:44:22Z,0.675,0.302
423016,11,edison,2020-11-04T02:46:12Z,0.676,0.301
438350,12,edison,2020-11-04T02:51:00Z,0.676,0.302
473326,13,edison,2020-11-04T03:05:57Z,0.677,0.301
478204,13,edison,2020-11-04T03:08:23Z,0.677,0.301
534315,14,edison,2020-11-04T03:08:38Z,0.666,0.312
559337,15,edison,2020-11-04T03:08:53Z,0.661,0.316
