votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:00:04Z,0.0,0.0
36561,1,edison,2020-11-04T01:09:14Z,0.724,0.263
38469,1,edison,2020-11-04T01:13:29Z,0.707,0.281
54591,1,edison,2020-11-04T01:13:52Z,0.589,0.397
65840,1,edison,2020-11-04T01:20:24Z,0.549,0.435
134852,2,edison,2020-11-04T01:20:50Z,0.431,0.552
136064,2,edison,2020-11-04T01:22:30Z,0.429,0.554
189834,3,edison,2020-11-04T01:25:54Z,0.398,0.584
198052,3,edison,2020-11-04T01:26:24Z,0.399,0.583
216387,4,edison,2020-11-04T01:28:36Z,0.413,0.568
232274,4,edison,2020-11-04T01:28:51Z,0.407,0.575
232460,4,edison,2020-11-04T01:32:32Z,0.406,0.575
254286,4,edison,2020-11-04T01:32:51Z,0.402,0.579
257353,5,edison,2020-11-04T01:37:59Z,0.401,0.58
284659,5,edison,2020-11-04T01:39:31Z,0.406,0.576
285117,5,edison,2020-11-04T01:39:54Z,0.405,0.576
285164,5,edison,2020-11-04T01:40:08Z,0.405,0.576
285529,5,edison,2020-11-04T01:41:08Z,0.405,0.576
289631,5,edison,2020-11-04T01:43:02Z,0.404,0.577
392781,7,edison,2020-11-04T01:43:16Z,0.402,0.577
404321,7,edison,2020-11-04T01:43:27Z,0.399,0.579
433755,8,edison,2020-11-04T01:43:55Z,0.4,0.579
435199,8,edison,2020-11-04T01:46:03Z,0.4,0.579
439375,8,edison,2020-11-04T01:46:50Z,0.4,0.579
477151,8,edison,2020-11-04T01:48:02Z,0.388,0.591
498880,9,edison,2020-11-04T01:50:30Z,0.382,0.597
550389,10,edison,2020-11-04T01:51:17Z,0.397,0.582
573857,10,edison,2020-11-04T01:51:26Z,0.401,0.578
574417,10,edison,2020-11-04T01:51:52Z,0.406,0.568
641548,11,edison,2020-11-04T01:53:23Z,0.404,0.571
663038,12,edison,2020-11-04T01:55:13Z,0.404,0.57
663321,12,edison,2020-11-04T01:56:48Z,0.404,0.57
671666,12,edison,2020-11-04T01:57:38Z,0.405,0.569
702274,12,edison,2020-11-04T01:58:41Z,0.404,0.57
702415,12,edison,2020-11-04T01:59:28Z,0.404,0.57
876300,15,edison,2020-11-04T02:01:11Z,0.384,0.593
888904,16,edison,2020-11-04T02:02:49Z,0.382,0.594
901077,16,edison,2020-11-04T02:04:55Z,0.383,0.594
906056,16,edison,2020-11-04T02:05:31Z,0.383,0.594
909244,16,edison,2020-11-04T02:07:30Z,0.383,0.594
909862,16,edison,2020-11-04T02:07:41Z,0.383,0.593
931766,16,edison,2020-11-04T02:08:04Z,0.384,0.593
934486,16,edison,2020-11-04T02:08:47Z,0.384,0.593
936292,17,edison,2020-11-04T02:10:05Z,0.384,0.593
954476,17,edison,2020-11-04T02:10:51Z,0.384,0.593
957726,17,edison,2020-11-04T02:11:05Z,0.384,0.593
958809,17,edison,2020-11-04T02:11:23Z,0.384,0.593
959682,17,edison,2020-11-04T02:13:39Z,0.383,0.593
959712,17,edison,2020-11-04T02:14:19Z,0.383,0.593
968520,17,edison,2020-11-04T02:15:54Z,0.384,0.593
970119,17,edison,2020-11-04T02:16:23Z,0.384,0.593
980979,17,edison,2020-11-04T02:19:12Z,0.383,0.594
985138,17,edison,2020-11-04T02:20:21Z,0.383,0.594
1002101,18,edison,2020-11-04T02:22:03Z,0.383,0.594
1002799,18,edison,2020-11-04T02:22:31Z,0.383,0.594
1015997,18,edison,2020-11-04T02:23:05Z,0.387,0.59
1020643,18,edison,2020-11-04T02:24:22Z,0.386,0.591
1023359,18,edison,2020-11-04T02:24:33Z,0.386,0.591
1032323,18,edison,2020-11-04T02:25:07Z,0.385,0.592
1033098,18,edison,2020-11-04T02:25:16Z,0.385,0.592
1033099,18,edison,2020-11-04T02:25:49Z,0.385,0.592
1033280,18,edison,2020-11-04T02:28:25Z,0.385,0.592
1033523,18,edison,2020-11-04T02:29:23Z,0.385,0.592
1046403,18,edison,2020-11-04T02:30:54Z,0.387,0.59
1058214,19,edison,2020-11-04T02:31:58Z,0.39,0.587
1060349,19,edison,2020-11-04T02:32:16Z,0.39,0.587
1061077,19,edison,2020-11-04T02:34:27Z,0.39,0.587
1095835,19,edison,2020-11-04T02:35:39Z,0.391,0.586
1098388,19,edison,2020-11-04T02:37:14Z,0.391,0.587
1099049,19,edison,2020-11-04T02:37:34Z,0.391,0.587
1100522,19,edison,2020-11-04T02:38:51Z,0.39,0.587
1109685,20,edison,2020-11-04T02:39:39Z,0.39,0.588
1110223,20,edison,2020-11-04T02:39:43Z,0.39,0.588
1110414,20,edison,2020-11-04T02:40:48Z,0.39,0.588
1114156,20,edison,2020-11-04T02:42:29Z,0.39,0.587
1118593,20,edison,2020-11-04T02:43:47Z,0.39,0.587
1119593,20,edison,2020-11-04T02:46:01Z,0.39,0.587
1123572,20,edison,2020-11-04T02:47:30Z,0.39,0.587
1126627,20,edison,2020-11-04T02:47:37Z,0.39,0.588
1127132,20,edison,2020-11-04T02:49:58Z,0.39,0.588
1132011,20,edison,2020-11-04T02:50:24Z,0.389,0.588
1134704,20,edison,2020-11-04T02:51:39Z,0.389,0.588
1136926,20,edison,2020-11-04T02:51:51Z,0.389,0.588
1255863,22,edison,2020-11-04T02:53:09Z,0.404,0.577
1262790,22,edison,2020-11-04T02:53:30Z,0.404,0.577
1270326,22,edison,2020-11-04T02:53:48Z,0.404,0.577
1281581,23,edison,2020-11-04T02:54:31Z,0.403,0.578
1283379,23,edison,2020-11-04T02:54:49Z,0.403,0.578
1283875,23,edison,2020-11-04T02:55:48Z,0.403,0.578
1288944,23,edison,2020-11-04T02:57:01Z,0.402,0.578
1293253,23,edison,2020-11-04T02:57:18Z,0.402,0.578
1295198,23,edison,2020-11-04T02:58:08Z,0.402,0.578
1298117,23,edison,2020-11-04T03:00:24Z,0.402,0.578
1315455,23,edison,2020-11-04T03:01:32Z,0.401,0.58
1328021,23,edison,2020-11-04T03:03:52Z,0.401,0.579
1565405,28,edison,2020-11-04T03:04:06Z,0.426,0.555
1571959,28,edison,2020-11-04T03:05:34Z,0.427,0.554
1572163,28,edison,2020-11-04T03:08:17Z,0.427,0.554
1575867,28,edison,2020-11-04T03:09:26Z,0.426,0.555
1577983,28,edison,2020-11-04T03:10:29Z,0.426,0.555
1583336,28,edison,2020-11-04T03:11:08Z,0.426,0.555
1585415,28,edison,2020-11-04T03:11:37Z,0.426,0.555
1618052,29,edison,2020-11-04T03:13:52Z,0.433,0.548
1627212,29,edison,2020-11-04T03:14:34Z,0.433,0.549
1627520,29,edison,2020-11-04T03:16:05Z,0.432,0.549
1710559,30,edison,2020-11-04T03:16:42Z,0.433,0.548
1711403,30,edison,2020-11-04T03:18:00Z,0.433,0.548
1722798,30,edison,2020-11-04T03:18:31Z,0.433,0.549
1724175,30,edison,2020-11-04T03:20:47Z,0.432,0.549
1742721,31,edison,2020-11-04T03:21:01Z,0.432,0.549
1742749,31,edison,2020-11-04T03:21:31Z,0.432,0.549
1783844,31,edison,2020-11-04T03:22:28Z,0.431,0.55
1794800,32,edison,2020-11-04T03:22:50Z,0.431,0.551
1805438,32,edison,2020-11-04T03:23:56Z,0.432,0.549
1806013,32,edison,2020-11-04T03:24:24Z,0.432,0.549
1843163,33,edison,2020-11-04T03:25:14Z,0.434,0.547
1846044,33,edison,2020-11-04T03:25:49Z,0.434,0.548
1852925,33,edison,2020-11-04T03:26:28Z,0.434,0.547
1855440,33,edison,2020-11-04T03:26:43Z,0.434,0.547
1862030,33,edison,2020-11-04T03:28:00Z,0.434,0.548
1876528,33,edison,2020-11-04T03:29:51Z,0.435,0.546
1877030,33,edison,2020-11-04T03:30:46Z,0.435,0.546
1888003,33,edison,2020-11-04T03:31:40Z,0.434,0.547
1945190,34,edison,2020-11-04T03:32:10Z,0.437,0.545
1950083,34,edison,2020-11-04T03:33:30Z,0.437,0.545
1966128,35,edison,2020-11-04T03:35:53Z,0.436,0.546
1968971,35,edison,2020-11-04T03:36:44Z,0.436,0.546
2017782,36,edison,2020-11-04T03:36:58Z,0.433,0.549
