votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:55:44Z,0.0,0.0
254095,7,edison,2020-11-04T02:31:47Z,0.697,0.285
273168,8,edison,2020-11-04T02:36:54Z,0.677,0.301
656181,19,edison,2020-11-04T02:42:28Z,0.676,0.304
656769,19,edison,2020-11-04T02:44:00Z,0.676,0.305
657053,19,edison,2020-11-04T02:47:21Z,0.676,0.305
873556,26,edison,2020-11-04T02:49:26Z,0.661,0.319
879864,26,edison,2020-11-04T02:53:51Z,0.66,0.32
989934,29,edison,2020-11-04T03:00:48Z,0.642,0.338
1107094,32,edison,2020-11-04T03:10:10Z,0.619,0.361
1107728,32,edison,2020-11-04T03:16:50Z,0.619,0.361
1107768,32,edison,2020-11-04T03:21:23Z,0.619,0.361
1137624,33,edison,2020-11-04T03:22:01Z,0.616,0.364
1149247,34,edison,2020-11-04T03:25:36Z,0.614,0.366
1211969,35,edison,2020-11-04T03:30:50Z,0.609,0.37
1237404,36,edison,2020-11-04T03:31:51Z,0.609,0.37
1243486,36,edison,2020-11-04T03:33:07Z,0.608,0.372
1249290,37,edison,2020-11-04T03:37:36Z,0.607,0.372
1300222,38,edison,2020-11-04T03:42:54Z,0.602,0.378
1300276,38,edison,2020-11-04T03:43:52Z,0.602,0.378
1300304,38,edison,2020-11-04T03:46:20Z,0.602,0.378
1301914,38,edison,2020-11-04T03:48:19Z,0.602,0.378
1312460,38,edison,2020-11-04T03:50:20Z,0.6,0.38
1419021,42,edison,2020-11-04T03:51:20Z,0.587,0.392
1420621,42,edison,2020-11-04T03:56:00Z,0.587,0.393
1424056,42,edison,2020-11-04T03:56:34Z,0.586,0.393
1425046,42,edison,2020-11-04T03:56:42Z,0.586,0.394
1425651,42,edison,2020-11-04T03:58:32Z,0.586,0.393
1510684,44,edison,2020-11-04T04:00:26Z,0.577,0.394
1510693,44,edison,2020-11-04T04:00:55Z,0.577,0.394
1511429,44,edison,2020-11-04T04:06:06Z,0.576,0.394
1516407,44,edison,2020-11-04T04:08:28Z,0.579,0.4
1518902,44,edison,2020-11-04T04:09:35Z,0.579,0.401
1582143,46,edison,2020-11-04T04:11:40Z,0.574,0.406
1583375,46,edison,2020-11-04T04:14:11Z,0.573,0.407
1583386,46,edison,2020-11-04T04:16:57Z,0.573,0.406
1590227,47,edison,2020-11-04T04:20:14Z,0.572,0.408
1828768,54,edison,2020-11-04T04:20:44Z,0.559,0.421
1828784,54,edison,2020-11-04T04:23:03Z,0.559,0.421
1830835,54,edison,2020-11-04T04:24:09Z,0.558,0.421
1836611,54,edison,2020-11-04T04:26:46Z,0.559,0.421
1836647,54,edison,2020-11-04T04:28:34Z,0.559,0.421
1836796,54,edison,2020-11-04T04:31:23Z,0.558,0.421
2033579,60,edison,2020-11-04T04:32:26Z,0.545,0.434
2033609,60,edison,2020-11-04T04:32:46Z,0.545,0.434
2042773,60,edison,2020-11-04T04:33:47Z,0.545,0.434
2045867,60,edison,2020-11-04T04:34:57Z,0.544,0.435
2049828,60,edison,2020-11-04T04:35:54Z,0.544,0.435
2056680,60,edison,2020-11-04T04:36:36Z,0.544,0.435
2066402,61,edison,2020-11-04T04:37:23Z,0.543,0.436
2069583,61,edison,2020-11-04T04:37:38Z,0.542,0.437
2071091,61,edison,2020-11-04T04:37:55Z,0.542,0.437
1876245,61,edison,2020-11-04T04:38:43Z,0.555,0.425
1876596,61,edison,2020-11-04T04:39:42Z,0.555,0.425
2021749,61,edison,2020-11-04T04:40:22Z,0.549,0.431
2021809,61,edison,2020-11-04T04:46:22Z,0.549,0.431
2031199,61,edison,2020-11-04T04:46:37Z,0.548,0.431
2037243,61,edison,2020-11-04T04:48:33Z,0.548,0.432
2037256,61,edison,2020-11-04T04:51:31Z,0.548,0.432
2103621,62,edison,2020-11-04T04:51:49Z,0.548,0.432
2105183,62,edison,2020-11-04T04:52:21Z,0.548,0.432
2105188,62,edison,2020-11-04T04:53:48Z,0.548,0.432
2105251,62,edison,2020-11-04T04:54:53Z,0.548,0.432
2105826,62,edison,2020-11-04T04:56:08Z,0.548,0.432
2109780,62,edison,2020-11-04T04:57:01Z,0.547,0.433
2109861,62,edison,2020-11-04T04:57:22Z,0.547,0.433
2111692,62,edison,2020-11-04T04:57:44Z,0.547,0.433
2138460,63,edison,2020-11-04T04:59:22Z,0.544,0.436
2138463,63,edison,2020-11-04T05:01:30Z,0.544,0.436
2138541,63,edison,2020-11-04T05:05:00Z,0.544,0.436
2145656,63,edison,2020-11-04T05:07:15Z,0.544,0.435
2156420,63,edison,2020-11-04T05:07:56Z,0.544,0.436
2222184,65,edison,2020-11-04T05:09:40Z,0.539,0.441
2222190,65,edison,2020-11-04T05:11:09Z,0.539,0.441
2224909,65,edison,2020-11-04T05:15:39Z,0.539,0.441
2224994,65,edison,2020-11-04T05:16:12Z,0.539,0.441
2224997,65,edison,2020-11-04T05:18:34Z,0.539,0.441
2279780,67,edison,2020-11-04T05:19:48Z,0.535,0.444
2279806,67,edison,2020-11-04T05:22:06Z,0.535,0.444
2280430,67,edison,2020-11-04T05:25:22Z,0.535,0.444
2280521,67,edison,2020-11-04T05:26:44Z,0.535,0.444
2289553,67,edison,2020-11-04T05:28:52Z,0.535,0.445
2291186,67,edison,2020-11-04T05:30:22Z,0.535,0.445
2580343,76,edison,2020-11-04T05:30:39Z,0.552,0.428
2588993,76,edison,2020-11-04T05:30:50Z,0.551,0.428
2588996,76,edison,2020-11-04T05:32:28Z,0.551,0.428
2589089,76,edison,2020-11-04T05:36:04Z,0.551,0.428
2589869,76,edison,2020-11-04T05:36:16Z,0.551,0.429
2590168,76,edison,2020-11-04T05:36:50Z,0.551,0.429
2590776,76,edison,2020-11-04T05:36:55Z,0.551,0.429
2656134,78,edison,2020-11-04T05:39:33Z,0.546,0.434
