votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:00:43Z,0.0,0.0
749,0,edison,2020-11-04T01:33:46Z,0.522,0.465
1164,0,edison,2020-11-04T01:35:52Z,0.396,0.595
1506,0,edison,2020-11-04T01:51:17Z,0.335,0.652
2110,0,edison,2020-11-04T01:54:13Z,0.274,0.714
31029,2,edison,2020-11-04T02:00:12Z,0.328,0.651
31677,2,edison,2020-11-04T02:03:39Z,0.328,0.651
33055,2,edison,2020-11-04T02:07:11Z,0.334,0.645
36737,3,edison,2020-11-04T02:08:14Z,0.349,0.63
37471,3,edison,2020-11-04T02:09:10Z,0.346,0.633
40559,3,edison,2020-11-04T02:13:48Z,0.356,0.623
41553,3,edison,2020-11-04T02:17:19Z,0.361,0.619
48688,4,edison,2020-11-04T02:19:02Z,0.372,0.607
50717,4,edison,2020-11-04T02:19:41Z,0.379,0.601
51427,4,edison,2020-11-04T02:19:51Z,0.381,0.598
53249,4,edison,2020-11-04T02:20:20Z,0.385,0.595
54939,4,edison,2020-11-04T02:20:52Z,0.376,0.604
58745,4,edison,2020-11-04T02:24:32Z,0.395,0.586
60338,5,edison,2020-11-04T02:25:29Z,0.394,0.587
65785,5,edison,2020-11-04T02:26:24Z,0.416,0.565
67147,5,edison,2020-11-04T02:28:32Z,0.418,0.563
69421,5,edison,2020-11-04T02:29:56Z,0.425,0.556
73074,5,edison,2020-11-04T02:30:47Z,0.428,0.554
75601,6,edison,2020-11-04T02:30:54Z,0.437,0.545
77288,6,edison,2020-11-04T02:31:42Z,0.433,0.549
79347,6,edison,2020-11-04T02:32:21Z,0.436,0.546
84301,6,edison,2020-11-04T02:34:54Z,0.417,0.565
85930,6,edison,2020-11-04T02:35:31Z,0.411,0.571
92325,7,edison,2020-11-04T02:35:56Z,0.393,0.59
95560,7,edison,2020-11-04T02:37:24Z,0.386,0.597
97650,7,edison,2020-11-04T02:38:25Z,0.383,0.599
105202,8,edison,2020-11-04T02:43:47Z,0.39,0.593
106529,8,edison,2020-11-04T02:44:47Z,0.391,0.592
107906,8,edison,2020-11-04T02:46:59Z,0.389,0.594
115569,9,edison,2020-11-04T02:48:47Z,0.399,0.584
137224,10,edison,2020-11-04T02:49:13Z,0.39,0.593
143346,11,edison,2020-11-04T02:49:47Z,0.39,0.593
147822,11,edison,2020-11-04T02:50:14Z,0.396,0.588
149107,11,edison,2020-11-04T02:50:35Z,0.397,0.586
152020,11,edison,2020-11-04T02:51:39Z,0.392,0.591
156528,12,edison,2020-11-04T02:54:00Z,0.392,0.592
158310,12,edison,2020-11-04T02:55:41Z,0.389,0.595
170715,13,edison,2020-11-04T02:56:45Z,0.395,0.589
179813,14,edison,2020-11-04T02:59:03Z,0.405,0.579
189207,14,edison,2020-11-04T03:02:36Z,0.398,0.586
200916,15,edison,2020-11-04T03:09:21Z,0.397,0.587
203609,15,edison,2020-11-04T03:09:40Z,0.403,0.581
209193,16,edison,2020-11-04T03:13:33Z,0.397,0.587
210558,16,edison,2020-11-04T03:15:03Z,0.398,0.585
219227,16,edison,2020-11-04T03:16:19Z,0.402,0.582
227405,17,edison,2020-11-04T03:16:53Z,0.411,0.572
234022,18,edison,2020-11-04T03:17:23Z,0.405,0.578
237312,18,edison,2020-11-04T03:18:14Z,0.406,0.578
239377,18,edison,2020-11-04T03:18:55Z,0.405,0.579
246437,19,edison,2020-11-04T03:19:27Z,0.407,0.577
247510,19,edison,2020-11-04T03:20:32Z,0.408,0.576
250481,19,edison,2020-11-04T03:21:40Z,0.405,0.579
254307,19,edison,2020-11-04T03:22:53Z,0.406,0.578
262422,20,edison,2020-11-04T03:25:53Z,0.411,0.573
265731,20,edison,2020-11-04T03:27:15Z,0.41,0.574
285408,21,edison,2020-11-04T03:29:06Z,0.395,0.588
289996,22,edison,2020-11-04T03:31:48Z,0.397,0.587
298183,22,edison,2020-11-04T03:33:00Z,0.395,0.589
313460,24,edison,2020-11-04T03:33:44Z,0.403,0.581
318975,24,edison,2020-11-04T03:34:42Z,0.398,0.586
321861,24,edison,2020-11-04T03:35:04Z,0.402,0.582
327107,25,edison,2020-11-04T03:39:45Z,0.4,0.584
332538,25,edison,2020-11-04T03:40:42Z,0.396,0.588
334790,25,edison,2020-11-04T03:40:52Z,0.394,0.59
336685,25,edison,2020-11-04T03:44:17Z,0.394,0.59
349696,26,edison,2020-11-04T03:47:13Z,0.389,0.595
354652,27,edison,2020-11-04T03:47:18Z,0.391,0.593
363072,27,edison,2020-11-04T03:49:14Z,0.39,0.594
375254,28,edison,2020-11-04T03:52:24Z,0.384,0.6
380332,29,edison,2020-11-04T03:52:48Z,0.386,0.598
386618,29,edison,2020-11-04T03:53:33Z,0.385,0.599
392588,30,edison,2020-11-04T03:54:02Z,0.384,0.6
425525,32,edison,2020-11-04T03:54:21Z,0.384,0.6
431725,32,edison,2020-11-04T03:54:40Z,0.382,0.602
441677,33,edison,2020-11-04T03:55:23Z,0.38,0.605
448904,34,edison,2020-11-04T03:56:37Z,0.382,0.602
453413,34,edison,2020-11-04T03:58:11Z,0.381,0.603
454132,34,edison,2020-11-04T03:58:42Z,0.381,0.603
463691,35,edison,2020-11-04T04:01:49Z,0.375,0.609
467040,35,edison,2020-11-04T04:02:26Z,0.377,0.608
473014,36,edison,2020-11-04T04:03:21Z,0.377,0.608
484328,36,edison,2020-11-04T04:04:34Z,0.374,0.611
490611,37,edison,2020-11-04T04:04:49Z,0.378,0.607
