votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:00:43Z,0.0,0.0
709,0,edison,2020-11-04T01:13:29Z,0.305,0.681
1440,0,edison,2020-11-04T01:16:15Z,0.346,0.643
2107,0,edison,2020-11-04T01:23:50Z,0.331,0.657
3493,0,edison,2020-11-04T01:25:39Z,0.372,0.614
5142,0,edison,2020-11-04T01:26:22Z,0.349,0.636
10978,0,edison,2020-11-04T01:28:30Z,0.339,0.648
12901,0,edison,2020-11-04T01:29:03Z,0.355,0.632
13974,0,edison,2020-11-04T01:31:53Z,0.343,0.644
14433,0,edison,2020-11-04T01:34:57Z,0.342,0.644
14555,0,edison,2020-11-04T01:38:07Z,0.34,0.647
17336,1,edison,2020-11-04T01:38:54Z,0.349,0.639
18659,1,edison,2020-11-04T01:39:24Z,0.342,0.645
20397,1,edison,2020-11-04T01:39:54Z,0.335,0.653
73611,2,edison,2020-11-04T01:41:20Z,0.534,0.453
75895,2,edison,2020-11-04T01:44:33Z,0.527,0.461
76228,2,edison,2020-11-04T01:46:24Z,0.525,0.463
77084,2,edison,2020-11-04T01:46:50Z,0.521,0.467
79871,3,edison,2020-11-04T01:47:01Z,0.513,0.475
80810,3,edison,2020-11-04T01:49:47Z,0.509,0.479
81778,3,edison,2020-11-04T01:51:52Z,0.504,0.483
82665,3,edison,2020-11-04T01:53:20Z,0.5,0.487
83416,3,edison,2020-11-04T01:53:59Z,0.497,0.49
304964,10,edison,2020-11-04T01:54:22Z,0.652,0.337
305598,10,edison,2020-11-04T01:54:40Z,0.651,0.339
309721,10,edison,2020-11-04T01:55:00Z,0.644,0.345
312488,10,edison,2020-11-04T01:55:09Z,0.641,0.349
313574,10,edison,2020-11-04T01:57:05Z,0.639,0.351
316029,10,edison,2020-11-04T01:58:28Z,0.636,0.354
318176,10,edison,2020-11-04T01:59:04Z,0.632,0.357
330793,11,edison,2020-11-04T02:01:15Z,0.617,0.373
334273,11,edison,2020-11-04T02:04:03Z,0.613,0.376
338303,11,edison,2020-11-04T02:05:42Z,0.607,0.382
342542,11,edison,2020-11-04T02:06:50Z,0.603,0.386
345748,11,edison,2020-11-04T02:07:32Z,0.599,0.39
349089,11,edison,2020-11-04T02:09:12Z,0.595,0.394
349629,11,edison,2020-11-04T02:09:32Z,0.595,0.394
352956,11,edison,2020-11-04T02:10:17Z,0.591,0.398
385452,12,edison,2020-11-04T02:11:25Z,0.579,0.409
390712,13,edison,2020-11-04T02:11:52Z,0.575,0.413
409662,13,edison,2020-11-04T02:13:56Z,0.564,0.424
411463,13,edison,2020-11-04T02:15:00Z,0.562,0.426
413803,13,edison,2020-11-04T02:15:25Z,0.561,0.427
416077,13,edison,2020-11-04T02:16:47Z,0.559,0.429
463065,15,edison,2020-11-04T02:19:07Z,0.592,0.396
476968,15,edison,2020-11-04T02:20:14Z,0.581,0.408
478855,15,edison,2020-11-04T02:20:53Z,0.579,0.409
495938,16,edison,2020-11-04T02:21:47Z,0.575,0.413
500487,16,edison,2020-11-04T02:24:11Z,0.574,0.414
510198,17,edison,2020-11-04T02:25:07Z,0.569,0.419
511037,17,edison,2020-11-04T02:25:47Z,0.568,0.42
514880,17,edison,2020-11-04T02:26:14Z,0.565,0.423
532048,17,edison,2020-11-04T02:26:59Z,0.551,0.437
537620,17,edison,2020-11-04T02:28:21Z,0.548,0.44
556768,18,edison,2020-11-04T02:28:39Z,0.54,0.448
558624,18,edison,2020-11-04T02:29:51Z,0.539,0.449
580732,19,edison,2020-11-04T02:30:26Z,0.525,0.462
588109,19,edison,2020-11-04T02:30:57Z,0.522,0.466
591300,19,edison,2020-11-04T02:31:30Z,0.52,0.468
595649,19,edison,2020-11-04T02:31:49Z,0.518,0.47
602973,20,edison,2020-11-04T02:31:59Z,0.514,0.473
602977,20,edison,2020-11-04T02:33:00Z,0.514,0.473
605406,20,edison,2020-11-04T02:33:03Z,0.513,0.475
615069,20,edison,2020-11-04T02:34:17Z,0.509,0.478
615881,20,edison,2020-11-04T02:34:33Z,0.509,0.479
625230,20,edison,2020-11-04T02:35:48Z,0.505,0.483
643395,21,edison,2020-11-04T02:37:09Z,0.496,0.492
646521,21,edison,2020-11-04T02:38:19Z,0.494,0.493
650672,21,edison,2020-11-04T02:38:51Z,0.492,0.496
650994,21,edison,2020-11-04T02:40:35Z,0.492,0.496
661472,21,edison,2020-11-04T02:41:31Z,0.487,0.5
666228,22,edison,2020-11-04T02:41:40Z,0.486,0.502
671345,22,edison,2020-11-04T02:41:51Z,0.484,0.504
678415,22,edison,2020-11-04T02:42:31Z,0.481,0.507
707376,23,edison,2020-11-04T02:43:45Z,0.482,0.505
720763,23,edison,2020-11-04T02:45:35Z,0.481,0.506
732421,24,edison,2020-11-04T02:46:11Z,0.477,0.51
738054,24,edison,2020-11-04T02:46:58Z,0.475,0.512
762779,25,edison,2020-11-04T02:47:13Z,0.467,0.52
767386,25,edison,2020-11-04T02:48:04Z,0.465,0.521
777140,25,edison,2020-11-04T02:48:30Z,0.462,0.525
785994,25,edison,2020-11-04T02:50:43Z,0.458,0.528
813703,26,edison,2020-11-04T02:51:44Z,0.467,0.519
815722,26,edison,2020-11-04T02:52:06Z,0.467,0.52
818119,26,edison,2020-11-04T02:53:22Z,0.466,0.52
829058,27,edison,2020-11-04T02:53:57Z,0.463,0.523
837931,27,edison,2020-11-04T02:54:45Z,0.461,0.525
841170,27,edison,2020-11-04T02:55:09Z,0.46,0.526
846509,27,edison,2020-11-04T02:55:15Z,0.458,0.528
850043,28,edison,2020-11-04T02:55:33Z,0.457,0.53
850046,28,edison,2020-11-04T02:56:19Z,0.457,0.53
895969,29,edison,2020-11-04T02:56:45Z,0.452,0.534
898537,29,edison,2020-11-04T02:58:10Z,0.451,0.535
899683,29,edison,2020-11-04T02:59:33Z,0.451,0.535
902782,29,edison,2020-11-04T02:59:47Z,0.45,0.536
959206,31,edison,2020-11-04T03:00:33Z,0.436,0.55
975515,32,edison,2020-11-04T03:00:39Z,0.432,0.553
978821,32,edison,2020-11-04T03:01:43Z,0.432,0.554
990173,32,edison,2020-11-04T03:01:56Z,0.43,0.555
994614,32,edison,2020-11-04T03:02:37Z,0.429,0.557
1002831,32,edison,2020-11-04T03:04:26Z,0.426,0.559
1011715,33,edison,2020-11-04T03:04:30Z,0.424,0.561
1019931,33,edison,2020-11-04T03:05:32Z,0.423,0.562
1025950,33,edison,2020-11-04T03:09:03Z,0.423,0.562
1047577,34,edison,2020-11-04T03:09:31Z,0.42,0.565
1067498,35,edison,2020-11-04T03:10:37Z,0.416,0.569
1108283,36,edison,2020-11-04T03:11:51Z,0.408,0.577
1111616,36,edison,2020-11-04T03:13:49Z,0.408,0.577
1150030,37,edison,2020-11-04T03:14:34Z,0.404,0.581
1153537,37,edison,2020-11-04T03:17:05Z,0.404,0.581
1157421,37,edison,2020-11-04T03:17:52Z,0.403,0.582
1162995,38,edison,2020-11-04T03:19:33Z,0.402,0.583
1187169,38,edison,2020-11-04T03:20:28Z,0.398,0.587
1192039,39,edison,2020-11-04T03:20:53Z,0.397,0.588
1197421,39,edison,2020-11-04T03:21:23Z,0.396,0.589
1216371,39,edison,2020-11-04T03:22:46Z,0.394,0.591
1255784,41,edison,2020-11-04T03:23:32Z,0.393,0.591
1270404,41,edison,2020-11-04T03:24:54Z,0.391,0.594
1301064,42,edison,2020-11-04T03:25:02Z,0.399,0.585
1310902,42,edison,2020-11-04T03:26:28Z,0.397,0.587
1331252,43,edison,2020-11-04T03:27:01Z,0.394,0.59
1367965,44,edison,2020-11-04T03:27:30Z,0.393,0.591
1367982,44,edison,2020-11-04T03:28:43Z,0.393,0.591
1368012,44,edison,2020-11-04T03:30:52Z,0.393,0.591
1394258,45,edison,2020-11-04T03:31:28Z,0.389,0.594
1445713,47,edison,2020-11-04T03:35:51Z,0.386,0.598
1513117,49,edison,2020-11-04T03:35:58Z,0.387,0.596
1520111,49,edison,2020-11-04T03:36:53Z,0.386,0.598
1532166,50,edison,2020-11-04T03:42:44Z,0.385,0.599
1537828,50,edison,2020-11-04T03:43:01Z,0.384,0.599
1553146,50,edison,2020-11-04T03:43:34Z,0.387,0.596
1565549,51,edison,2020-11-04T03:45:18Z,0.389,0.594
1624945,53,edison,2020-11-04T03:48:39Z,0.384,0.599
1630311,53,edison,2020-11-04T03:48:52Z,0.384,0.599
1632250,53,edison,2020-11-04T03:49:38Z,0.384,0.6
1655148,54,edison,2020-11-04T03:50:03Z,0.382,0.601
1663737,54,edison,2020-11-04T03:51:26Z,0.383,0.6
1670238,54,edison,2020-11-04T03:52:59Z,0.382,0.601
1726549,56,edison,2020-11-04T03:53:36Z,0.383,0.6
1728812,56,edison,2020-11-04T03:56:56Z,0.383,0.6
1776229,57,edison,2020-11-04T03:57:50Z,0.378,0.605
1825376,59,edison,2020-11-04T03:59:12Z,0.376,0.606
1825405,59,edison,2020-11-04T04:03:32Z,0.376,0.606
1856986,60,edison,2020-11-04T04:03:57Z,0.374,0.609
1857930,60,edison,2020-11-04T04:05:12Z,0.374,0.609
1858352,60,edison,2020-11-04T04:05:23Z,0.374,0.609
1863420,60,edison,2020-11-04T04:06:21Z,0.373,0.61
1864947,60,edison,2020-11-04T04:06:50Z,0.373,0.61
1894634,61,edison,2020-11-04T04:10:25Z,0.375,0.607
1915785,62,edison,2020-11-04T04:13:33Z,0.374,0.608
2187496,71,edison,2020-11-04T04:14:30Z,0.391,0.591
2239803,72,edison,2020-11-04T04:16:29Z,0.395,0.587
2267141,73,edison,2020-11-04T04:31:08Z,0.394,0.588
2274175,74,edison,2020-11-04T04:32:20Z,0.394,0.588
2274184,74,edison,2020-11-04T04:35:02Z,0.394,0.588
2348495,76,edison,2020-11-04T04:39:09Z,0.394,0.588
2433272,79,edison,2020-11-04T04:39:14Z,0.408,0.574
2433321,79,edison,2020-11-04T04:39:38Z,0.408,0.574
2546312,82,edison,2020-11-04T04:43:58Z,0.421,0.561
2547002,82,edison,2020-11-04T04:44:53Z,0.421,0.561
2526273,82,edison,2020-11-04T04:47:25Z,0.422,0.559
2564688,83,edison,2020-11-04T04:50:23Z,0.42,0.562
2570474,83,edison,2020-11-04T04:55:16Z,0.419,0.562
2571858,83,edison,2020-11-04T04:58:03Z,0.42,0.562
2573449,83,edison,2020-11-04T04:58:18Z,0.419,0.563
2612671,85,edison,2020-11-04T05:00:20Z,0.416,0.566
2627905,85,edison,2020-11-04T05:04:31Z,0.416,0.566
2647198,86,edison,2020-11-04T05:11:44Z,0.416,0.566
2650018,86,edison,2020-11-04T05:14:23Z,0.416,0.566
2702533,87,edison,2020-11-04T05:15:28Z,0.412,0.569
2702546,87,edison,2020-11-04T05:25:16Z,0.412,0.569
2702582,87,edison,2020-11-04T05:38:38Z,0.412,0.569
2702583,87,edison,2020-11-04T05:39:27Z,0.412,0.569
2704737,88,edison,2020-11-04T05:46:48Z,0.412,0.57
2766464,90,edison,2020-11-04T05:49:40Z,0.415,0.567
2917008,99,edison,2020-11-04T06:03:55Z,0.411,0.57
2986833,99,edison,2020-11-04T06:30:46Z,0.414,0.568
2986933,99,edison,2020-11-04T06:52:13Z,0.414,0.568
3002894,99,edison,2020-11-04T07:19:54Z,0.413,0.569
3006780,99,edison,2020-11-04T07:28:52Z,0.413,0.569
3010314,99,edison,2020-11-04T07:53:50Z,0.413,0.569
3010315,99,edison,2020-11-06T20:25:12Z,0.413,0.569
3010316,99,edison,2020-11-09T14:44:02Z,0.413,0.569
3010317,99,edison,2020-11-09T18:57:57Z,0.413,0.569
3010316,99,edison,2020-11-09T22:06:22Z,0.413,0.569
