votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:04Z,0.0,0.0
7241,1,edison,2020-11-04T03:12:41Z,0.348,0.627
71031,12,edison,2020-11-04T03:23:09Z,0.59,0.381
79045,13,edison,2020-11-04T03:28:49Z,0.583,0.389
103929,18,edison,2020-11-04T03:44:34Z,0.521,0.451
110036,19,edison,2020-11-04T03:48:36Z,0.508,0.464
110387,19,edison,2020-11-04T04:10:33Z,0.507,0.466
112510,19,edison,2020-11-04T04:16:17Z,0.502,0.471
116782,20,edison,2020-11-04T04:28:55Z,0.492,0.481
149261,25,edison,2020-11-04T04:49:44Z,0.466,0.508
149883,25,edison,2020-11-04T04:53:31Z,0.465,0.509
186799,32,edison,2020-11-04T04:55:38Z,0.471,0.502
187403,32,edison,2020-11-04T04:56:10Z,0.47,0.503
191185,32,edison,2020-11-04T04:59:09Z,0.467,0.506
224662,38,edison,2020-11-04T05:04:03Z,0.459,0.514
287609,49,edison,2020-11-04T05:05:27Z,0.477,0.493
292140,50,edison,2020-11-04T05:06:08Z,0.478,0.493
294016,50,edison,2020-11-04T05:20:15Z,0.476,0.495
297711,50,edison,2020-11-04T05:33:16Z,0.473,0.497
298350,51,edison,2020-11-04T05:34:16Z,0.473,0.498
299364,51,edison,2020-11-04T05:34:34Z,0.472,0.499
301342,51,edison,2020-11-04T05:35:29Z,0.471,0.5
303726,51,edison,2020-11-04T05:36:27Z,0.468,0.503
308551,52,edison,2020-11-04T05:36:55Z,0.464,0.507
310863,53,edison,2020-11-04T05:39:30Z,0.465,0.506
311461,53,edison,2020-11-04T05:41:37Z,0.464,0.507
317339,54,edison,2020-11-04T05:42:17Z,0.46,0.511
318914,54,edison,2020-11-04T05:45:02Z,0.459,0.513
321360,54,edison,2020-11-04T05:46:07Z,0.457,0.514
323462,55,edison,2020-11-04T05:46:41Z,0.456,0.516
324806,55,edison,2020-11-04T05:48:36Z,0.455,0.517
324818,55,edison,2020-11-04T05:50:38Z,0.455,0.517
325385,55,edison,2020-11-04T05:50:50Z,0.455,0.516
326070,55,edison,2020-11-04T05:51:25Z,0.455,0.516
327153,55,edison,2020-11-04T05:54:14Z,0.454,0.517
330034,56,edison,2020-11-04T05:55:52Z,0.452,0.52
331553,56,edison,2020-11-04T05:59:16Z,0.451,0.52
361165,61,edison,2020-11-04T06:05:43Z,0.442,0.529
362053,61,edison,2020-11-04T06:10:12Z,0.442,0.529
362399,61,edison,2020-11-04T06:15:13Z,0.442,0.529
368029,62,edison,2020-11-04T06:17:43Z,0.445,0.526
369044,63,edison,2020-11-04T06:24:11Z,0.444,0.527
372231,63,edison,2020-11-04T06:26:06Z,0.442,0.529
374203,63,edison,2020-11-04T06:31:38Z,0.442,0.529
374564,63,edison,2020-11-04T06:43:32Z,0.442,0.529
411761,70,edison,2020-11-04T06:45:22Z,0.432,0.54
415575,70,edison,2020-11-04T06:46:20Z,0.43,0.542
416089,71,edison,2020-11-04T06:46:48Z,0.43,0.542
416833,71,edison,2020-11-04T06:50:59Z,0.429,0.542
416850,71,edison,2020-11-04T06:51:28Z,0.429,0.542
422639,72,edison,2020-11-04T06:53:24Z,0.426,0.546
423142,72,edison,2020-11-04T06:55:31Z,0.425,0.547
423441,72,edison,2020-11-04T06:56:44Z,0.425,0.547
460869,78,edison,2020-11-04T06:58:59Z,0.423,0.549
462741,78,edison,2020-11-04T06:59:06Z,0.422,0.549
464847,79,edison,2020-11-04T06:59:22Z,0.422,0.55
465724,79,edison,2020-11-04T07:09:16Z,0.422,0.55
466035,79,edison,2020-11-04T07:24:28Z,0.422,0.55
485008,82,edison,2020-11-04T07:30:34Z,0.427,0.545
485300,82,edison,2020-11-04T07:34:51Z,0.427,0.545
488417,83,edison,2020-11-04T07:44:29Z,0.427,0.544
488718,83,edison,2020-11-04T07:51:12Z,0.427,0.545
491733,83,edison,2020-11-04T08:01:26Z,0.425,0.546
498778,85,edison,2020-11-04T08:14:13Z,0.424,0.547
499325,85,edison,2020-11-04T08:17:01Z,0.424,0.547
499994,85,edison,2020-11-04T08:19:39Z,0.424,0.548
504009,85,edison,2020-11-04T08:20:02Z,0.424,0.547
504523,86,edison,2020-11-04T09:04:12Z,0.424,0.548
507575,86,edison,2020-11-04T09:11:32Z,0.423,0.548
