votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:24Z,0.0,0.0
5883,1,edison,2020-11-04T02:07:28Z,0.459,0.512
10648,1,edison,2020-11-04T02:16:19Z,0.438,0.534
89257,9,edison,2020-11-04T02:19:39Z,0.38,0.598
251344,27,edison,2020-11-04T02:19:54Z,0.505,0.475
251975,27,edison,2020-11-04T02:20:35Z,0.503,0.474
258152,27,edison,2020-11-04T02:22:45Z,0.496,0.481
268031,28,edison,2020-11-04T02:27:48Z,0.489,0.488
268061,28,edison,2020-11-04T02:32:26Z,0.489,0.488
269873,29,edison,2020-11-04T02:35:26Z,0.486,0.491
291970,31,edison,2020-11-04T02:43:06Z,0.475,0.503
292900,31,edison,2020-11-04T02:44:24Z,0.475,0.503
296753,31,edison,2020-11-04T02:44:55Z,0.474,0.503
304640,32,edison,2020-11-04T02:48:46Z,0.47,0.507
342182,36,edison,2020-11-04T02:54:26Z,0.486,0.492
350196,37,edison,2020-11-04T02:57:02Z,0.483,0.495
350219,37,edison,2020-11-04T02:59:38Z,0.483,0.495
353267,37,edison,2020-11-04T03:00:18Z,0.482,0.496
363089,38,edison,2020-11-04T03:03:33Z,0.476,0.502
363642,38,edison,2020-11-04T03:06:01Z,0.475,0.503
368335,39,edison,2020-11-04T03:08:01Z,0.471,0.507
371552,39,edison,2020-11-04T03:08:42Z,0.469,0.509
372886,39,edison,2020-11-04T03:11:48Z,0.468,0.51
372964,39,edison,2020-11-04T03:16:18Z,0.468,0.51
422002,45,edison,2020-11-04T03:51:19Z,0.443,0.535
489185,52,edison,2020-11-04T03:52:31Z,0.461,0.517
500164,53,edison,2020-11-04T03:59:40Z,0.459,0.52
502350,53,edison,2020-11-04T04:07:55Z,0.458,0.521
504123,53,edison,2020-11-04T04:09:09Z,0.457,0.522
506774,54,edison,2020-11-04T04:12:15Z,0.455,0.523
515756,55,edison,2020-11-04T04:12:41Z,0.45,0.528
517576,55,edison,2020-11-04T04:13:33Z,0.449,0.529
551028,58,edison,2020-11-04T04:17:29Z,0.444,0.535
552260,58,edison,2020-11-04T04:20:22Z,0.443,0.535
552577,58,edison,2020-11-04T04:24:37Z,0.443,0.536
555647,59,edison,2020-11-04T04:25:22Z,0.441,0.537
560868,59,edison,2020-11-04T04:26:40Z,0.438,0.541
572589,61,edison,2020-11-04T04:40:24Z,0.431,0.547
574596,61,edison,2020-11-04T04:41:05Z,0.43,0.548
590912,63,edison,2020-11-04T04:50:42Z,0.426,0.553
593256,63,edison,2020-11-04T04:51:54Z,0.425,0.554
680418,72,edison,2020-11-04T05:04:29Z,0.441,0.539
680457,72,edison,2020-11-04T05:05:00Z,0.441,0.539
684565,72,edison,2020-11-04T05:06:28Z,0.439,0.541
690693,73,edison,2020-11-04T05:11:39Z,0.436,0.543
691187,73,edison,2020-11-04T05:18:26Z,0.436,0.543
695511,74,edison,2020-11-04T05:20:31Z,0.435,0.544
738455,78,edison,2020-11-04T05:47:56Z,0.427,0.552
741325,78,edison,2020-11-04T05:48:52Z,0.426,0.553
789364,84,edison,2020-11-04T05:52:35Z,0.421,0.558
793126,84,edison,2020-11-04T05:56:24Z,0.419,0.559
806941,85,edison,2020-11-04T06:13:33Z,0.415,0.564
809235,86,edison,2020-11-04T06:15:47Z,0.415,0.564
815452,86,edison,2020-11-04T06:20:49Z,0.413,0.565
823716,87,edison,2020-11-04T06:30:54Z,0.412,0.566
829501,88,edison,2020-11-04T06:35:49Z,0.411,0.568
829549,88,edison,2020-11-04T06:36:44Z,0.411,0.568
829553,88,edison,2020-11-04T06:39:17Z,0.411,0.568
833840,88,edison,2020-11-04T06:43:58Z,0.41,0.569
833844,88,edison,2020-11-04T06:45:19Z,0.41,0.569
837215,89,edison,2020-11-04T06:50:48Z,0.409,0.57
837224,89,edison,2020-11-04T06:53:07Z,0.409,0.57
849576,90,edison,2020-11-04T07:00:50Z,0.407,0.572
850924,90,edison,2020-11-04T07:15:52Z,0.407,0.572
875961,93,edison,2020-11-04T07:55:32Z,0.403,0.576
876148,93,edison,2020-11-04T08:10:48Z,0.403,0.576
877422,93,edison,2020-11-04T08:15:48Z,0.402,0.576
880645,93,edison,2020-11-04T08:25:47Z,0.402,0.577
926347,98,edison,2020-11-05T01:09:29Z,0.391,0.587
926348,98,edison,2020-11-06T15:11:02Z,0.391,0.587
940208,99,edison,2020-11-07T00:44:14Z,0.36,0.617
940208,99,edison,2020-11-07T00:47:20Z,0.391,0.585
940210,99,edison,2020-11-09T00:43:47Z,0.391,0.585
940160,99,edison,2020-11-09T21:31:32Z,0.391,0.585
942480,99,edison,2020-11-09T23:00:52Z,0.392,0.585
