votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:41Z,0.0,0.0
411,0,edison,2020-11-04T04:53:10Z,0.075,0.91
4588,0,edison,2020-11-04T05:02:47Z,0.189,0.787
16783,1,edison,2020-11-04T05:29:51Z,0.222,0.746
24581,2,edison,2020-11-04T05:40:54Z,0.22,0.75
42577,3,edison,2020-11-04T05:46:13Z,0.209,0.763
65559,5,edison,2020-11-04T05:49:45Z,0.239,0.734
92907,7,edison,2020-11-04T06:23:22Z,0.295,0.678
817380,59,edison,2020-11-04T06:32:49Z,0.515,0.468
1031716,74,edison,2020-11-04T06:35:22Z,0.516,0.465
1037092,74,edison,2020-11-04T06:44:49Z,0.514,0.467
1039324,75,edison,2020-11-04T06:48:01Z,0.514,0.468
1067662,77,edison,2020-11-04T06:50:19Z,0.509,0.472
1072701,77,edison,2020-11-04T06:51:05Z,0.508,0.473
1081263,78,edison,2020-11-04T06:51:49Z,0.505,0.476
1090777,78,edison,2020-11-04T06:54:56Z,0.504,0.477
1091308,78,edison,2020-11-04T07:07:53Z,0.504,0.477
1093605,78,edison,2020-11-04T07:44:00Z,0.503,0.478
1095189,79,edison,2020-11-04T07:47:53Z,0.503,0.478
1103031,79,edison,2020-11-04T08:59:16Z,0.502,0.479
1187419,85,edison,2020-11-04T10:20:55Z,0.495,0.485
1190267,85,edison,2020-11-04T10:26:39Z,0.494,0.486
1192915,86,edison,2020-11-04T10:45:08Z,0.493,0.487
1207200,87,edison,2020-11-05T17:08:20Z,0.495,0.485
1208195,87,edison,2020-11-05T17:15:03Z,0.495,0.485
1209206,87,edison,2020-11-05T17:18:00Z,0.495,0.485
1209214,87,edison,2020-11-05T17:20:46Z,0.495,0.485
1221403,88,edison,2020-11-05T17:28:58Z,0.494,0.485
1222316,88,edison,2020-11-05T18:02:27Z,0.494,0.485
1222331,88,edison,2020-11-05T18:16:00Z,0.494,0.485
1222331,89,edison,2020-11-05T18:19:58Z,0.494,0.485
1252653,91,edison,2020-11-06T16:31:41Z,0.498,0.481
1252904,91,edison,2020-11-06T16:48:41Z,0.498,0.481
1253212,91,edison,2020-11-06T16:53:42Z,0.498,0.481
1258411,92,edison,2020-11-06T16:55:41Z,0.498,0.481
1258416,92,edison,2020-11-06T16:57:40Z,0.498,0.481
1258418,92,edison,2020-11-06T16:58:40Z,0.498,0.481
1258441,92,edison,2020-11-06T17:03:34Z,0.498,0.481
1259022,92,edison,2020-11-06T17:48:41Z,0.498,0.481
1260800,92,edison,2020-11-06T18:03:42Z,0.497,0.481
1269513,93,edison,2020-11-06T23:19:42Z,0.498,0.48
1270001,93,edison,2020-11-07T17:04:43Z,0.498,0.48
1284697,94,edison,2020-11-07T17:10:42Z,0.499,0.479
1285861,94,edison,2020-11-07T17:13:42Z,0.499,0.479
1287403,94,edison,2020-11-07T17:17:42Z,0.499,0.479
1295764,95,edison,2020-11-08T01:59:57Z,0.5,0.478
1297228,95,edison,2020-11-08T17:03:45Z,0.5,0.478
1312135,96,edison,2020-11-08T17:04:44Z,0.501,0.477
1323719,97,edison,2020-11-09T01:13:53Z,0.502,0.476
1334559,97,edison,2020-11-09T17:02:48Z,0.502,0.475
1334721,97,edison,2020-11-09T17:04:47Z,0.502,0.475
1335180,97,edison,2020-11-10T17:05:00Z,0.502,0.475
1335198,97,edison,2020-11-10T17:07:55Z,0.502,0.475
1336407,98,edison,2020-11-10T21:52:55Z,0.502,0.475
1336955,98,edison,2020-11-11T17:03:01Z,0.503,0.475
1337023,98,edison,2020-11-11T17:03:59Z,0.502,0.475
1337034,98,edison,2020-11-11T17:06:01Z,0.502,0.475
1337217,98,edison,2020-11-11T17:08:57Z,0.502,0.475
1337338,98,edison,2020-11-12T17:03:01Z,0.502,0.475
1337362,98,edison,2020-11-12T17:07:00Z,0.502,0.475
