votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:15:43Z,0.0,0.0
26,0,edison,2020-11-03T14:16:25Z,0.385,0.615
0,0,edison,2020-11-04T09:15:43Z,0.0,0.0
26,0,edison,2020-11-03T14:16:25Z,0.385,0.615
2613,0,edison,2020-11-04T00:10:45Z,0.748,0.252
5315,1,edison,2020-11-04T00:15:59Z,0.722,0.278
7298,1,edison,2020-11-04T00:24:02Z,0.712,0.288
9583,1,edison,2020-11-04T00:27:18Z,0.685,0.315
16047,2,edison,2020-11-04T00:30:09Z,0.584,0.411
17732,2,edison,2020-11-04T00:30:57Z,0.592,0.404
22148,3,edison,2020-11-04T00:35:17Z,0.566,0.427
24937,3,edison,2020-11-04T00:42:32Z,0.544,0.448
27454,3,edison,2020-11-04T00:48:54Z,0.55,0.442
29222,3,edison,2020-11-04T00:49:40Z,0.548,0.444
30941,4,edison,2020-11-04T00:51:44Z,0.559,0.433
33743,4,edison,2020-11-04T00:52:36Z,0.552,0.439
39563,5,edison,2020-11-04T00:53:10Z,0.58,0.412
41235,5,edison,2020-11-04T00:53:44Z,0.579,0.413
41874,5,edison,2020-11-04T00:57:17Z,0.577,0.415
43714,5,edison,2020-11-04T01:00:52Z,0.573,0.419
45293,5,edison,2020-11-04T01:04:54Z,0.571,0.422
47480,5,edison,2020-11-04T01:06:05Z,0.569,0.424
50616,6,edison,2020-11-04T01:07:46Z,0.574,0.419
55644,6,edison,2020-11-04T01:08:37Z,0.56,0.432
57506,7,edison,2020-11-04T01:09:24Z,0.554,0.437
60388,7,edison,2020-11-04T01:09:49Z,0.547,0.444
63394,7,edison,2020-11-04T01:11:49Z,0.545,0.445
63437,7,edison,2020-11-04T01:14:53Z,0.545,0.445
67371,8,edison,2020-11-04T01:15:19Z,0.54,0.45
70285,8,edison,2020-11-04T01:16:15Z,0.539,0.451
74686,9,edison,2020-11-04T01:19:38Z,0.536,0.454
77164,9,edison,2020-11-04T01:21:37Z,0.542,0.447
83679,10,edison,2020-11-04T01:22:08Z,0.536,0.453
86227,10,edison,2020-11-04T01:26:50Z,0.54,0.45
86254,10,edison,2020-11-04T01:29:12Z,0.54,0.45
87621,10,edison,2020-11-04T01:29:58Z,0.539,0.451
88663,10,edison,2020-11-04T01:30:00Z,0.537,0.453
90247,10,edison,2020-11-04T01:32:00Z,0.536,0.453
90742,10,edison,2020-11-04T01:34:22Z,0.536,0.453
93285,11,edison,2020-11-04T01:40:14Z,0.538,0.452
98758,11,edison,2020-11-04T01:40:50Z,0.541,0.449
98779,11,edison,2020-11-04T01:43:37Z,0.542,0.449
102709,12,edison,2020-11-04T01:44:42Z,0.537,0.453
108606,13,edison,2020-11-04T01:45:22Z,0.53,0.459
109400,13,edison,2020-11-04T01:47:37Z,0.53,0.46
113293,13,edison,2020-11-04T01:56:28Z,0.533,0.456
114366,13,edison,2020-11-04T01:57:45Z,0.533,0.456
114661,13,edison,2020-11-04T02:00:03Z,0.532,0.457
116353,13,edison,2020-11-04T02:01:23Z,0.533,0.456
120455,14,edison,2020-11-04T02:01:41Z,0.529,0.46
124342,14,edison,2020-11-04T02:04:24Z,0.53,0.459
125143,14,edison,2020-11-04T02:06:35Z,0.531,0.458
134277,16,edison,2020-11-04T02:07:25Z,0.539,0.449
135495,16,edison,2020-11-04T02:11:38Z,0.538,0.449
135804,16,edison,2020-11-04T02:13:20Z,0.539,0.449
135810,16,edison,2020-11-04T02:14:47Z,0.539,0.449
137469,16,edison,2020-11-04T02:16:10Z,0.539,0.449
137477,16,edison,2020-11-04T02:17:31Z,0.539,0.449
137555,16,edison,2020-11-04T02:18:05Z,0.539,0.449
140977,16,edison,2020-11-04T02:18:30Z,0.541,0.446
143575,17,edison,2020-11-04T02:20:19Z,0.541,0.446
143784,17,edison,2020-11-04T02:22:04Z,0.541,0.447
147124,17,edison,2020-11-04T02:23:02Z,0.543,0.444
150043,17,edison,2020-11-04T02:24:00Z,0.544,0.443
150521,17,edison,2020-11-04T02:26:19Z,0.544,0.444
159947,18,edison,2020-11-04T02:27:11Z,0.552,0.435
169961,20,edison,2020-11-04T02:28:57Z,0.548,0.439
170850,20,edison,2020-11-04T02:31:39Z,0.547,0.439
172895,20,edison,2020-11-04T02:32:03Z,0.546,0.44
174587,20,edison,2020-11-04T02:33:59Z,0.545,0.441
174605,20,edison,2020-11-04T02:34:22Z,0.545,0.441
180159,21,edison,2020-11-04T02:37:51Z,0.547,0.44
183643,21,edison,2020-11-04T02:39:35Z,0.547,0.44
185842,21,edison,2020-11-04T02:43:11Z,0.547,0.44
187867,22,edison,2020-11-04T02:44:22Z,0.546,0.441
191919,22,edison,2020-11-04T02:44:36Z,0.543,0.444
192539,22,edison,2020-11-04T02:50:46Z,0.543,0.444
201427,23,edison,2020-11-04T02:52:36Z,0.539,0.447
202735,23,edison,2020-11-04T02:52:42Z,0.54,0.447
205684,24,edison,2020-11-04T02:54:26Z,0.539,0.448
207779,24,edison,2020-11-04T02:55:46Z,0.537,0.449
210567,24,edison,2020-11-04T02:56:05Z,0.536,0.45
212863,25,edison,2020-11-04T02:57:39Z,0.536,0.45
212867,25,edison,2020-11-04T02:58:31Z,0.536,0.45
216050,25,edison,2020-11-04T02:59:49Z,0.535,0.452
220863,26,edison,2020-11-04T03:00:09Z,0.535,0.452
226375,26,edison,2020-11-04T03:00:36Z,0.536,0.451
226787,26,edison,2020-11-04T03:04:02Z,0.536,0.451
229135,26,edison,2020-11-04T03:05:54Z,0.537,0.45
239471,28,edison,2020-11-04T03:10:41Z,0.542,0.444
254210,29,edison,2020-11-04T03:12:41Z,0.54,0.446
254779,29,edison,2020-11-04T03:14:22Z,0.54,0.446
260986,30,edison,2020-11-04T03:18:22Z,0.537,0.449
267982,31,edison,2020-11-04T03:21:55Z,0.539,0.448
273086,32,edison,2020-11-04T03:22:03Z,0.537,0.45
281940,33,edison,2020-11-04T03:22:26Z,0.533,0.454
289192,33,edison,2020-11-04T03:23:42Z,0.53,0.457
290833,34,edison,2020-11-04T03:24:20Z,0.53,0.457
290850,34,edison,2020-11-04T03:24:34Z,0.53,0.457
293760,34,edison,2020-11-04T03:25:42Z,0.53,0.456
294060,34,edison,2020-11-04T03:26:32Z,0.53,0.456
305872,35,edison,2020-11-04T03:26:49Z,0.538,0.448
309010,36,edison,2020-11-04T03:32:19Z,0.537,0.449
309918,36,edison,2020-11-04T03:34:29Z,0.538,0.449
321280,37,edison,2020-11-04T03:36:55Z,0.538,0.449
322203,37,edison,2020-11-04T03:38:24Z,0.538,0.449
322457,37,edison,2020-11-04T03:40:37Z,0.538,0.449
326588,38,edison,2020-11-04T03:45:15Z,0.539,0.449
329035,38,edison,2020-11-04T03:45:32Z,0.54,0.448
329046,38,edison,2020-11-04T03:50:10Z,0.54,0.448
330666,38,edison,2020-11-04T03:54:11Z,0.54,0.447
333887,39,edison,2020-11-04T04:00:40Z,0.539,0.448
333893,39,edison,2020-11-04T04:01:32Z,0.539,0.448
337958,39,edison,2020-11-04T04:02:48Z,0.539,0.448
339096,39,edison,2020-11-04T04:03:44Z,0.539,0.448
339612,39,edison,2020-11-04T04:05:07Z,0.538,0.449
348573,40,edison,2020-11-04T04:05:36Z,0.538,0.449
349024,40,edison,2020-11-04T04:07:21Z,0.538,0.449
351208,41,edison,2020-11-04T04:07:59Z,0.538,0.449
351559,41,edison,2020-11-04T04:08:28Z,0.538,0.449
353729,41,edison,2020-11-04T04:10:43Z,0.538,0.448
354109,41,edison,2020-11-04T04:11:56Z,0.538,0.448
358434,41,edison,2020-11-04T04:12:30Z,0.538,0.449
358492,41,edison,2020-11-04T04:12:54Z,0.538,0.449
361453,42,edison,2020-11-04T04:16:44Z,0.537,0.449
364576,42,edison,2020-11-04T04:17:29Z,0.535,0.451
365089,42,edison,2020-11-04T04:19:44Z,0.535,0.451
366774,42,edison,2020-11-04T04:19:57Z,0.536,0.451
368604,43,edison,2020-11-04T04:21:22Z,0.536,0.451
370733,43,edison,2020-11-04T04:24:18Z,0.536,0.451
385374,45,edison,2020-11-04T04:25:14Z,0.532,0.454
386093,45,edison,2020-11-04T04:29:51Z,0.532,0.454
386789,45,edison,2020-11-04T04:30:26Z,0.532,0.454
387514,45,edison,2020-11-04T04:35:25Z,0.532,0.454
388566,45,edison,2020-11-04T04:37:15Z,0.532,0.454
392680,45,edison,2020-11-04T04:38:13Z,0.532,0.454
398668,46,edison,2020-11-04T04:44:49Z,0.532,0.454
