votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:01:23Z,0.0,0.0
41777,1,edison,2020-11-04T01:22:53Z,0.511,0.469
143654,3,edison,2020-11-04T01:24:17Z,0.676,0.311
292971,7,edison,2020-11-04T01:30:45Z,0.594,0.391
562859,13,edison,2020-11-04T01:35:37Z,0.486,0.499
677369,15,edison,2020-11-04T01:40:07Z,0.494,0.491
703447,16,edison,2020-11-04T01:43:51Z,0.492,0.493
967776,22,edison,2020-11-04T01:56:46Z,0.571,0.416
1017118,23,edison,2020-11-04T01:59:17Z,0.564,0.424
1188646,26,edison,2020-11-04T01:59:32Z,0.592,0.396
1290434,29,edison,2020-11-04T02:11:32Z,0.591,0.397
1323034,29,edison,2020-11-04T02:15:30Z,0.587,0.4
1323035,29,edison,2020-11-04T02:15:52Z,0.587,0.4
1323124,29,edison,2020-11-04T02:27:21Z,0.587,0.4
1501735,33,edison,2020-11-04T02:27:48Z,0.593,0.394
1649532,37,edison,2020-11-04T02:28:26Z,0.604,0.383
2023210,45,edison,2020-11-04T02:30:41Z,0.564,0.423
2202470,49,edison,2020-11-04T02:32:09Z,0.563,0.424
2415974,54,edison,2020-11-04T02:34:10Z,0.572,0.416
2416148,54,edison,2020-11-04T02:42:47Z,0.572,0.416
2433667,54,edison,2020-11-04T02:43:06Z,0.572,0.415
2433694,54,edison,2020-11-04T02:45:28Z,0.572,0.415
2433695,54,edison,2020-11-04T02:51:37Z,0.572,0.415
2545398,57,edison,2020-11-04T02:59:01Z,0.573,0.414
2545443,57,edison,2020-11-04T03:00:48Z,0.573,0.414
2566288,57,edison,2020-11-04T03:03:29Z,0.574,0.413
2566563,57,edison,2020-11-04T03:17:31Z,0.574,0.413
2566724,57,edison,2020-11-04T03:21:03Z,0.574,0.413
2566724,57,edison,2020-11-04T03:25:44Z,0.605,0.382
2566771,57,edison,2020-11-04T03:45:44Z,0.605,0.382
2705588,60,edison,2020-11-04T04:14:17Z,0.611,0.376
2717342,60,edison,2020-11-04T04:20:22Z,0.61,0.377
2745701,61,edison,2020-11-04T04:25:36Z,0.609,0.378
2745745,61,edison,2020-11-04T04:26:30Z,0.609,0.378
2748053,61,edison,2020-11-04T04:33:22Z,0.608,0.379
2748064,61,edison,2020-11-04T04:56:14Z,0.608,0.379
2749369,61,edison,2020-11-04T05:27:34Z,0.608,0.379
2890022,64,edison,2020-11-04T07:02:11Z,0.609,0.378
2900902,65,edison,2020-11-04T08:36:21Z,0.609,0.379
2900915,65,edison,2020-11-04T16:35:48Z,0.609,0.379
2900917,65,edison,2020-11-04T19:01:00Z,0.609,0.379
2916425,65,edison,2020-11-04T20:31:49Z,0.608,0.379
2917413,65,edison,2020-11-04T20:50:48Z,0.608,0.379
2934233,65,edison,2020-11-05T00:56:07Z,0.607,0.38
2956828,66,edison,2020-11-05T01:07:49Z,0.606,0.381
2963675,66,edison,2020-11-05T04:52:43Z,0.606,0.382
2995896,67,edison,2020-11-05T19:24:22Z,0.604,0.384
3027956,67,edison,2020-11-05T19:42:03Z,0.602,0.385
3045262,68,edison,2020-11-05T19:47:42Z,0.601,0.386
3064751,68,edison,2020-11-05T19:56:40Z,0.599,0.388
3073221,68,edison,2020-11-05T20:10:55Z,0.599,0.388
3090939,69,edison,2020-11-05T20:15:37Z,0.599,0.388
3103844,69,edison,2020-11-05T20:56:37Z,0.599,0.388
3108434,69,edison,2020-11-05T21:15:58Z,0.598,0.388
3124985,70,edison,2020-11-05T21:33:19Z,0.598,0.389
3142604,70,edison,2020-11-05T21:43:27Z,0.598,0.389
3161873,70,edison,2020-11-05T21:48:49Z,0.597,0.39
3166140,70,edison,2020-11-05T21:57:36Z,0.597,0.39
3184916,71,edison,2020-11-05T22:00:37Z,0.595,0.391
3211692,71,edison,2020-11-05T22:39:37Z,0.596,0.391
3243131,72,edison,2020-11-06T03:57:41Z,0.596,0.391
3250002,72,edison,2020-11-06T04:31:40Z,0.596,0.391
3252299,72,edison,2020-11-06T13:50:33Z,0.596,0.391
3269904,73,edison,2020-11-06T15:45:04Z,0.595,0.392
3272292,73,edison,2020-11-06T15:48:18Z,0.594,0.392
3294578,73,edison,2020-11-06T16:57:33Z,0.594,0.393
3315341,74,edison,2020-11-06T18:23:37Z,0.591,0.395
3315407,74,edison,2020-11-06T18:32:00Z,0.591,0.395
3325939,74,edison,2020-11-06T18:40:09Z,0.591,0.395
3333686,74,edison,2020-11-06T18:48:00Z,0.591,0.396
3338173,74,edison,2020-11-06T18:58:14Z,0.59,0.396
