votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:01:03Z,0.0,0.0
279039,30,edison,2020-11-04T02:43:43Z,0.623,0.356
297266,32,edison,2020-11-04T02:46:31Z,0.597,0.382
313946,34,edison,2020-11-04T02:46:48Z,0.576,0.404
314946,34,edison,2020-11-04T02:47:43Z,0.575,0.405
315554,34,edison,2020-11-04T03:04:42Z,0.574,0.406
447163,49,edison,2020-11-04T03:09:37Z,0.55,0.431
513698,56,edison,2020-11-04T03:15:46Z,0.55,0.431
514638,56,edison,2020-11-04T03:17:42Z,0.55,0.431
515286,56,edison,2020-11-04T03:18:25Z,0.549,0.431
516875,56,edison,2020-11-04T03:20:21Z,0.549,0.432
544639,59,edison,2020-11-04T03:26:40Z,0.538,0.442
551262,60,edison,2020-11-04T03:35:59Z,0.538,0.443
570801,62,edison,2020-11-04T03:46:56Z,0.54,0.44
571544,62,edison,2020-11-04T03:55:02Z,0.539,0.44
572443,62,edison,2020-11-04T03:55:13Z,0.539,0.441
577034,63,edison,2020-11-04T03:57:01Z,0.537,0.443
577284,63,edison,2020-11-04T04:03:41Z,0.537,0.443
605838,66,edison,2020-11-04T04:06:15Z,0.537,0.442
610323,66,edison,2020-11-04T04:08:46Z,0.538,0.442
614111,67,edison,2020-11-04T04:16:23Z,0.537,0.442
615260,67,edison,2020-11-04T04:19:33Z,0.537,0.442
616160,67,edison,2020-11-04T04:20:10Z,0.537,0.442
638145,69,edison,2020-11-04T04:27:00Z,0.536,0.444
650663,71,edison,2020-11-04T04:34:55Z,0.537,0.442
658384,72,edison,2020-11-04T04:46:34Z,0.537,0.442
721461,78,edison,2020-11-04T04:56:05Z,0.53,0.449
733730,80,edison,2020-11-04T05:06:17Z,0.53,0.449
735909,80,edison,2020-11-04T05:15:09Z,0.531,0.449
745339,81,edison,2020-11-04T05:16:06Z,0.53,0.449
745465,81,edison,2020-11-04T05:22:40Z,0.53,0.449
809793,88,edison,2020-11-04T05:27:56Z,0.533,0.447
817144,89,edison,2020-11-04T05:32:41Z,0.533,0.446
820199,89,edison,2020-11-04T05:35:21Z,0.534,0.445
820586,89,edison,2020-11-04T05:46:21Z,0.534,0.445
830315,90,edison,2020-11-04T05:59:49Z,0.533,0.445
875269,95,edison,2020-11-04T06:05:35Z,0.54,0.439
883716,96,edison,2020-11-04T06:14:48Z,0.54,0.439
884938,96,edison,2020-11-04T06:24:47Z,0.54,0.439
902084,98,edison,2020-11-04T06:34:49Z,0.539,0.439
902512,98,edison,2020-11-04T06:44:49Z,0.539,0.439
911067,99,edison,2020-11-04T07:04:49Z,0.539,0.439
911678,99,edison,2020-11-04T07:35:49Z,0.539,0.439
913147,99,edison,2020-11-04T07:45:50Z,0.54,0.438
921087,99,edison,2020-11-05T00:49:49Z,0.542,0.436
921765,99,edison,2020-11-05T01:26:48Z,0.542,0.436
922516,99,edison,2020-11-06T02:00:41Z,0.542,0.436
917906,99,edison,2020-11-06T20:47:18Z,0.542,0.436
918943,99,edison,2020-11-07T02:00:44Z,0.542,0.436
919261,99,edison,2020-11-08T02:01:39Z,0.542,0.436
919640,99,edison,2020-11-10T02:00:43Z,0.542,0.436
920930,99,edison,2020-11-11T02:01:52Z,0.542,0.436
921308,99,edison,2020-11-12T02:00:46Z,0.542,0.436
921349,99,edison,2020-11-13T02:00:48Z,0.542,0.436
