votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:57:24Z,0.0,0.0
953245,11,edison,2020-11-04T02:05:57Z,0.801,0.194
976723,12,edison,2020-11-04T02:07:20Z,0.798,0.197
998854,12,edison,2020-11-04T02:07:41Z,0.791,0.203
1034950,12,edison,2020-11-04T02:09:11Z,0.789,0.205
1157177,14,edison,2020-11-04T02:11:12Z,0.767,0.227
1202356,14,edison,2020-11-04T02:12:03Z,0.771,0.223
1206363,14,edison,2020-11-04T02:13:38Z,0.77,0.224
1273171,15,edison,2020-11-04T02:15:08Z,0.765,0.228
1326040,16,edison,2020-11-04T02:15:57Z,0.759,0.235
1362175,16,edison,2020-11-04T02:22:05Z,0.755,0.238
1377906,16,edison,2020-11-04T02:22:27Z,0.75,0.243
1385486,16,edison,2020-11-04T02:22:46Z,0.751,0.243
1393301,16,edison,2020-11-04T02:24:18Z,0.75,0.244
1413543,17,edison,2020-11-04T02:26:17Z,0.746,0.247
1444530,17,edison,2020-11-04T02:27:09Z,0.746,0.247
1451134,17,edison,2020-11-04T02:27:44Z,0.745,0.248
1458031,17,edison,2020-11-04T02:28:17Z,0.744,0.249
1480318,17,edison,2020-11-04T02:29:25Z,0.742,0.251
1514491,18,edison,2020-11-04T02:31:07Z,0.739,0.254
1528240,18,edison,2020-11-04T02:32:03Z,0.739,0.254
1535841,18,edison,2020-11-04T02:32:09Z,0.739,0.254
1575106,19,edison,2020-11-04T02:32:37Z,0.738,0.255
1576049,19,edison,2020-11-04T02:34:27Z,0.738,0.255
1581504,19,edison,2020-11-04T02:36:37Z,0.736,0.257
1603163,19,edison,2020-11-04T02:37:10Z,0.737,0.256
1630894,19,edison,2020-11-04T02:38:07Z,0.735,0.258
1669413,20,edison,2020-11-04T02:38:54Z,0.73,0.262
1671936,20,edison,2020-11-04T02:40:58Z,0.73,0.263
1686872,20,edison,2020-11-04T02:42:08Z,0.728,0.265
1708530,20,edison,2020-11-04T02:42:41Z,0.728,0.264
1737845,21,edison,2020-11-04T02:43:06Z,0.728,0.264
1743635,21,edison,2020-11-04T02:44:45Z,0.727,0.265
1762511,21,edison,2020-11-04T02:45:42Z,0.724,0.268
1777007,21,edison,2020-11-04T02:46:03Z,0.725,0.267
1794868,21,edison,2020-11-04T02:46:36Z,0.724,0.269
1817053,21,edison,2020-11-04T02:46:57Z,0.724,0.268
1819217,21,edison,2020-11-04T02:47:45Z,0.723,0.269
1819292,21,edison,2020-11-04T02:49:05Z,0.723,0.269
1820886,22,edison,2020-11-04T02:50:56Z,0.723,0.269
1849391,22,edison,2020-11-04T02:51:51Z,0.723,0.269
1856264,22,edison,2020-11-04T02:52:29Z,0.724,0.268
1928238,23,edison,2020-11-04T02:52:52Z,0.712,0.28
1933893,23,edison,2020-11-04T02:53:00Z,0.711,0.28
1945482,23,edison,2020-11-04T02:53:16Z,0.712,0.28
2130833,25,edison,2020-11-04T02:54:54Z,0.714,0.277
2145811,25,edison,2020-11-04T02:56:35Z,0.713,0.278
2159304,26,edison,2020-11-04T02:57:03Z,0.714,0.278
2174066,26,edison,2020-11-04T02:57:40Z,0.714,0.278
2181833,26,edison,2020-11-04T02:57:59Z,0.714,0.278
2243951,27,edison,2020-11-04T02:58:26Z,0.706,0.286
2268325,27,edison,2020-11-04T03:01:12Z,0.704,0.287
2305825,27,edison,2020-11-04T03:01:23Z,0.702,0.289
2319170,27,edison,2020-11-04T03:02:05Z,0.702,0.289
2435721,29,edison,2020-11-04T03:04:03Z,0.691,0.3
2451583,29,edison,2020-11-04T03:06:32Z,0.692,0.299
2460786,29,edison,2020-11-04T03:06:59Z,0.692,0.299
2472021,29,edison,2020-11-04T03:07:02Z,0.692,0.299
2548811,30,edison,2020-11-04T03:07:43Z,0.684,0.306
2558240,30,edison,2020-11-04T03:11:02Z,0.685,0.306
