votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:21Z,0.0,0.0
15,0,edison,2020-11-04T00:24:22Z,0.067,0.933
0,0,edison,2020-11-04T00:30:48Z,0.0,0.0
363,0,edison,2020-11-04T00:44:21Z,0.234,0.766
618,0,edison,2020-11-04T00:44:48Z,0.371,0.629
2687918,45,edison,2020-11-04T01:18:50Z,0.562,0.428
3289832,55,edison,2020-11-04T01:20:12Z,0.558,0.431
3542888,60,edison,2020-11-04T01:23:24Z,0.541,0.448
3556494,60,edison,2020-11-04T01:26:21Z,0.54,0.449
3556515,60,edison,2020-11-04T01:26:40Z,0.54,0.449
3556561,60,edison,2020-11-04T01:28:47Z,0.54,0.449
3659190,62,edison,2020-11-04T01:29:09Z,0.539,0.449
3659255,62,edison,2020-11-04T01:29:47Z,0.539,0.449
3861173,65,edison,2020-11-04T01:32:13Z,0.531,0.458
3861199,65,edison,2020-11-04T01:33:45Z,0.531,0.458
3912908,66,edison,2020-11-04T01:35:13Z,0.53,0.459
3932585,66,edison,2020-11-04T01:38:11Z,0.528,0.461
3932957,66,edison,2020-11-04T01:38:29Z,0.528,0.461
3934623,66,edison,2020-11-04T01:39:32Z,0.528,0.461
3934670,66,edison,2020-11-04T01:40:24Z,0.528,0.461
3985448,67,edison,2020-11-04T01:41:13Z,0.526,0.463
3985506,67,edison,2020-11-04T01:43:23Z,0.526,0.463
4005782,68,edison,2020-11-04T01:44:13Z,0.525,0.464
4020983,68,edison,2020-11-04T01:45:19Z,0.524,0.465
4021020,68,edison,2020-11-04T01:46:13Z,0.524,0.465
4128066,70,edison,2020-11-04T01:48:15Z,0.521,0.468
4258113,72,edison,2020-11-04T01:52:20Z,0.519,0.47
4309844,73,edison,2020-11-04T01:55:15Z,0.517,0.472
4309980,73,edison,2020-11-04T01:56:55Z,0.517,0.472
4309993,73,edison,2020-11-04T01:58:14Z,0.517,0.472
4359496,74,edison,2020-11-04T01:59:09Z,0.514,0.475
4432053,75,edison,2020-11-04T02:02:28Z,0.511,0.477
4432086,75,edison,2020-11-04T02:04:27Z,0.511,0.477
4537247,77,edison,2020-11-04T02:06:18Z,0.51,0.479
4537318,77,edison,2020-11-04T02:07:07Z,0.51,0.479
4539788,77,edison,2020-11-04T02:08:40Z,0.51,0.479
4539820,77,edison,2020-11-04T02:10:12Z,0.51,0.479
4545234,77,edison,2020-11-04T02:11:06Z,0.509,0.479
4606049,78,edison,2020-11-04T02:11:16Z,0.508,0.481
4635206,78,edison,2020-11-04T02:15:15Z,0.507,0.482
4635214,78,edison,2020-11-04T02:15:52Z,0.507,0.482
4641872,78,edison,2020-11-04T02:17:18Z,0.506,0.482
4691754,79,edison,2020-11-04T02:20:17Z,0.505,0.484
4691790,79,edison,2020-11-04T02:22:06Z,0.505,0.484
4691876,79,edison,2020-11-04T02:22:30Z,0.505,0.484
4738753,80,edison,2020-11-04T02:25:54Z,0.503,0.485
4738853,80,edison,2020-11-04T02:26:55Z,0.503,0.485
4738857,80,edison,2020-11-04T02:30:09Z,0.503,0.485
4741590,80,edison,2020-11-04T02:34:43Z,0.503,0.485
4741994,80,edison,2020-11-04T02:39:53Z,0.503,0.485
4752770,80,edison,2020-11-04T02:43:14Z,0.503,0.486
4753760,80,edison,2020-11-04T02:45:24Z,0.503,0.486
4837823,82,edison,2020-11-04T02:47:45Z,0.501,0.487
4851803,82,edison,2020-11-04T02:47:49Z,0.501,0.487
4988236,84,edison,2020-11-04T02:52:27Z,0.497,0.491
5066097,85,edison,2020-11-04T03:01:54Z,0.495,0.493
5066400,85,edison,2020-11-04T03:02:16Z,0.495,0.493
5066628,85,edison,2020-11-04T03:03:49Z,0.495,0.493
5103255,86,edison,2020-11-04T03:05:27Z,0.494,0.494
5104878,86,edison,2020-11-04T03:05:34Z,0.494,0.494
5104996,86,edison,2020-11-04T03:06:37Z,0.494,0.494
5105075,86,edison,2020-11-04T03:06:59Z,0.494,0.494
5223314,88,edison,2020-11-04T03:08:50Z,0.492,0.496
5223393,88,edison,2020-11-04T03:12:41Z,0.492,0.496
5224577,88,edison,2020-11-04T03:13:45Z,0.492,0.496
5228122,88,edison,2020-11-04T03:18:00Z,0.491,0.497
5228124,88,edison,2020-11-04T03:18:07Z,0.491,0.497
5247887,88,edison,2020-11-04T03:18:50Z,0.491,0.497
5250006,89,edison,2020-11-04T03:19:35Z,0.491,0.497
5253328,89,edison,2020-11-04T03:20:31Z,0.491,0.497
5269468,89,edison,2020-11-04T03:22:58Z,0.49,0.498
5269577,89,edison,2020-11-04T03:24:37Z,0.49,0.498
5288465,89,edison,2020-11-04T03:28:28Z,0.49,0.498
5288820,89,edison,2020-11-04T03:30:19Z,0.49,0.498
5288871,89,edison,2020-11-04T03:30:24Z,0.49,0.498
5328038,93,edison,2020-11-04T03:39:15Z,0.489,0.499
5339793,93,edison,2020-11-04T03:44:48Z,0.488,0.499
5339800,93,edison,2020-11-04T03:50:45Z,0.488,0.499
5362898,93,edison,2020-11-04T03:52:00Z,0.488,0.499
5362922,93,edison,2020-11-04T03:56:24Z,0.488,0.499
5392619,94,edison,2020-11-04T03:56:43Z,0.487,0.5
