votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:21Z,0.0,0.0
26709,7,edison,2020-11-04T01:46:50Z,0.433,0.535
36526,9,edison,2020-11-04T02:15:46Z,0.388,0.58
72084,18,edison,2020-11-04T02:17:51Z,0.485,0.48
72896,18,edison,2020-11-04T02:29:03Z,0.481,0.484
75274,19,edison,2020-11-04T02:37:08Z,0.473,0.491
85384,22,edison,2020-11-04T02:38:29Z,0.45,0.515
87691,22,edison,2020-11-04T02:39:52Z,0.442,0.523
89439,23,edison,2020-11-04T02:41:08Z,0.437,0.528
93242,24,edison,2020-11-04T02:47:52Z,0.425,0.54
97448,25,edison,2020-11-04T02:49:53Z,0.42,0.544
111370,28,edison,2020-11-04T02:52:36Z,0.399,0.566
113683,29,edison,2020-11-04T02:52:49Z,0.398,0.566
116214,29,edison,2020-11-04T02:56:47Z,0.393,0.571
120356,30,edison,2020-11-04T02:59:33Z,0.386,0.579
124147,31,edison,2020-11-04T03:01:42Z,0.394,0.571
128711,33,edison,2020-11-04T03:03:28Z,0.388,0.577
135404,34,edison,2020-11-04T03:07:43Z,0.381,0.584
140782,36,edison,2020-11-04T03:11:48Z,0.375,0.591
157056,40,edison,2020-11-04T03:18:15Z,0.361,0.605
159574,40,edison,2020-11-04T03:19:26Z,0.359,0.607
168290,43,edison,2020-11-04T03:22:57Z,0.351,0.616
210747,53,edison,2020-11-04T03:29:54Z,0.344,0.624
212631,54,edison,2020-11-04T03:32:22Z,0.342,0.625
213897,54,edison,2020-11-04T03:39:07Z,0.341,0.626
215207,54,edison,2020-11-04T03:40:31Z,0.34,0.627
217829,55,edison,2020-11-04T03:42:05Z,0.338,0.629
220272,56,edison,2020-11-04T03:48:20Z,0.339,0.629
221335,56,edison,2020-11-04T03:54:16Z,0.338,0.63
227463,58,edison,2020-11-04T03:58:32Z,0.331,0.636
229950,58,edison,2020-11-04T04:03:13Z,0.329,0.638
230343,58,edison,2020-11-04T04:09:34Z,0.329,0.639
246946,63,edison,2020-11-04T04:13:55Z,0.322,0.645
249274,63,edison,2020-11-04T04:18:21Z,0.321,0.647
250641,63,edison,2020-11-04T04:18:32Z,0.32,0.648
256676,65,edison,2020-11-04T04:21:28Z,0.32,0.648
257884,65,edison,2020-11-04T04:29:32Z,0.319,0.649
290174,73,edison,2020-11-04T04:38:07Z,0.314,0.654
290600,74,edison,2020-11-04T04:47:09Z,0.314,0.654
335695,85,edison,2020-11-04T04:58:07Z,0.324,0.643
339837,86,edison,2020-11-04T05:22:17Z,0.324,0.644
342797,87,edison,2020-11-04T05:32:38Z,0.324,0.644
344144,87,edison,2020-11-04T06:35:52Z,0.323,0.645
348689,88,edison,2020-11-04T07:30:51Z,0.32,0.648
353338,89,edison,2020-11-04T07:55:51Z,0.318,0.65
354716,90,edison,2020-11-04T08:25:50Z,0.318,0.65
356435,90,edison,2020-11-04T09:36:50Z,0.317,0.651
357082,90,edison,2020-11-04T10:00:51Z,0.317,0.651
361279,91,edison,2020-11-04T11:06:49Z,0.317,0.65
361279,99,edison,2020-11-08T16:33:05Z,0.317,0.65
361283,99,edison,2020-11-09T16:05:45Z,0.317,0.65
361288,99,edison,2020-11-09T16:40:41Z,0.317,0.65
361291,99,edison,2020-11-09T16:46:40Z,0.317,0.65
361336,99,edison,2020-11-09T16:55:41Z,0.317,0.65
361356,99,edison,2020-11-09T17:00:42Z,0.317,0.65
361401,99,edison,2020-11-09T17:20:45Z,0.317,0.65
361456,99,edison,2020-11-09T17:30:40Z,0.317,0.65
361460,99,edison,2020-11-09T17:35:42Z,0.317,0.65
361272,99,edison,2020-11-09T17:41:13Z,0.317,0.651
361285,99,edison,2020-11-09T17:50:45Z,0.317,0.651
361288,99,edison,2020-11-09T17:55:40Z,0.317,0.651
361291,99,edison,2020-11-09T18:05:45Z,0.317,0.651
361296,99,edison,2020-11-09T18:35:42Z,0.317,0.651
361298,99,edison,2020-11-09T18:55:52Z,0.317,0.651
361307,99,edison,2020-11-09T19:10:40Z,0.317,0.651
361336,99,edison,2020-11-09T19:15:42Z,0.317,0.651
361346,99,edison,2020-11-09T19:25:40Z,0.317,0.651
361356,99,edison,2020-11-09T19:50:43Z,0.317,0.651
361443,99,edison,2020-11-09T20:00:47Z,0.317,0.651
361446,99,edison,2020-11-09T20:10:45Z,0.317,0.651
361456,99,edison,2020-11-09T20:16:41Z,0.317,0.651
361652,99,edison,2020-11-09T20:20:42Z,0.318,0.65
361659,99,edison,2020-11-09T20:30:42Z,0.318,0.65
361666,99,edison,2020-11-09T20:36:42Z,0.318,0.65
361695,99,edison,2020-11-09T20:46:41Z,0.318,0.65
361705,99,edison,2020-11-09T21:10:41Z,0.318,0.65
361719,99,edison,2020-11-09T21:20:41Z,0.318,0.65
361735,99,edison,2020-11-09T21:26:41Z,0.318,0.65
