votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:21Z,0.0,0.0
32,0,edison,2020-11-04T00:39:55Z,0.719,0.281
127970,2,edison,2020-11-04T00:42:17Z,0.519,0.47
484511,8,edison,2020-11-04T00:43:31Z,0.685,0.304
484914,8,edison,2020-11-04T00:44:11Z,0.684,0.305
1064902,17,edison,2020-11-04T00:44:56Z,0.656,0.333
1162372,18,edison,2020-11-04T00:47:56Z,0.644,0.345
1241332,20,edison,2020-11-04T00:50:54Z,0.628,0.361
1365736,22,edison,2020-11-04T00:54:39Z,0.601,0.388
1520222,24,edison,2020-11-04T00:56:54Z,0.604,0.385
1788599,28,edison,2020-11-04T00:59:59Z,0.597,0.391
1788606,28,edison,2020-11-04T01:01:19Z,0.597,0.391
1926471,31,edison,2020-11-04T01:02:57Z,0.585,0.404
2130108,34,edison,2020-11-04T01:05:59Z,0.569,0.419
2299455,36,edison,2020-11-04T01:09:05Z,0.56,0.429
2299466,36,edison,2020-11-04T01:10:28Z,0.56,0.429
2508560,40,edison,2020-11-04T01:11:56Z,0.564,0.424
2598118,41,edison,2020-11-04T01:14:57Z,0.556,0.432
2598336,41,edison,2020-11-04T01:15:24Z,0.556,0.432
2598505,41,edison,2020-11-04T01:16:33Z,0.556,0.432
2598829,41,edison,2020-11-04T01:17:49Z,0.556,0.432
2656931,42,edison,2020-11-04T01:19:09Z,0.553,0.435
2656958,42,edison,2020-11-04T01:20:46Z,0.553,0.435
2667579,42,edison,2020-11-04T01:21:00Z,0.552,0.436
2667689,42,edison,2020-11-04T01:22:45Z,0.552,0.436
2667923,42,edison,2020-11-04T01:23:58Z,0.552,0.436
2676979,42,edison,2020-11-04T01:26:57Z,0.551,0.437
2677003,42,edison,2020-11-04T01:27:40Z,0.551,0.437
2784133,44,edison,2020-11-04T01:29:58Z,0.545,0.443
2784136,44,edison,2020-11-04T01:31:31Z,0.545,0.443
2789194,44,edison,2020-11-04T01:32:55Z,0.544,0.444
3067024,49,edison,2020-11-04T01:36:02Z,0.553,0.435
3067046,49,edison,2020-11-04T01:37:38Z,0.553,0.435
3067538,49,edison,2020-11-04T01:37:55Z,0.553,0.435
3067565,49,edison,2020-11-04T01:38:41Z,0.553,0.435
3116212,49,edison,2020-11-04T01:42:18Z,0.55,0.438
3116571,49,edison,2020-11-04T01:42:55Z,0.55,0.438
3125729,49,edison,2020-11-04T01:44:56Z,0.549,0.439
3126697,50,edison,2020-11-04T01:45:53Z,0.549,0.439
