votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T07:02:20Z,0.0,0.0
31010,2,edison,2020-11-04T01:12:18Z,0.229,0.757
48564,3,edison,2020-11-04T01:12:56Z,0.318,0.667
111687,7,edison,2020-11-04T01:13:20Z,0.363,0.622
116084,7,edison,2020-11-04T01:15:56Z,0.367,0.618
125570,8,edison,2020-11-04T01:16:56Z,0.369,0.615
136836,8,edison,2020-11-04T01:17:55Z,0.368,0.615
143268,9,edison,2020-11-04T01:19:57Z,0.366,0.618
144352,9,edison,2020-11-04T01:20:57Z,0.366,0.618
149107,9,edison,2020-11-04T01:21:57Z,0.364,0.62
155203,10,edison,2020-11-04T01:23:56Z,0.368,0.616
171978,11,edison,2020-11-04T01:24:58Z,0.362,0.622
186564,11,edison,2020-11-04T01:25:56Z,0.36,0.623
192491,12,edison,2020-11-04T01:27:59Z,0.356,0.628
213939,13,edison,2020-11-04T01:29:02Z,0.356,0.627
221533,14,edison,2020-11-04T01:29:57Z,0.357,0.626
328852,20,edison,2020-11-04T01:31:58Z,0.444,0.538
332408,20,edison,2020-11-04T01:32:58Z,0.441,0.541
339031,21,edison,2020-11-04T01:33:58Z,0.438,0.544
345548,21,edison,2020-11-04T01:35:01Z,0.434,0.547
349489,21,edison,2020-11-04T01:36:59Z,0.433,0.549
353986,22,edison,2020-11-04T01:37:59Z,0.43,0.551
358196,22,edison,2020-11-04T01:38:59Z,0.427,0.554
409202,25,edison,2020-11-04T01:40:58Z,0.451,0.53
416416,26,edison,2020-11-04T01:41:59Z,0.447,0.534
442466,27,edison,2020-11-04T01:43:01Z,0.448,0.533
448452,28,edison,2020-11-04T01:44:58Z,0.445,0.536
473619,29,edison,2020-11-04T01:46:03Z,0.442,0.539
485087,30,edison,2020-11-04T01:47:01Z,0.438,0.542
495591,30,edison,2020-11-04T01:49:01Z,0.432,0.548
508541,31,edison,2020-11-04T01:49:59Z,0.43,0.55
535641,33,edison,2020-11-04T01:51:05Z,0.427,0.553
549694,34,edison,2020-11-04T01:52:59Z,0.422,0.557
560325,34,edison,2020-11-04T01:54:00Z,0.419,0.561
576581,35,edison,2020-11-04T01:55:04Z,0.414,0.565
591858,36,edison,2020-11-04T01:57:03Z,0.41,0.569
602808,37,edison,2020-11-04T01:58:01Z,0.406,0.574
610479,37,edison,2020-11-04T01:58:55Z,0.405,0.574
625380,38,edison,2020-11-04T01:59:04Z,0.4,0.58
636981,39,edison,2020-11-04T02:00:01Z,0.396,0.583
665515,41,edison,2020-11-04T02:02:08Z,0.392,0.587
673874,41,edison,2020-11-04T02:03:01Z,0.39,0.589
