votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:24Z,0.0,0.0
29562,1,edison,2020-11-04T04:07:31Z,0.574,0.404
423330,19,edison,2020-11-04T04:09:48Z,0.793,0.183
543126,24,edison,2020-11-04T04:11:37Z,0.722,0.253
670062,29,edison,2020-11-04T04:13:25Z,0.682,0.293
674636,30,edison,2020-11-04T04:13:51Z,0.679,0.296
678445,30,edison,2020-11-04T04:14:58Z,0.676,0.299
679445,30,edison,2020-11-04T04:19:14Z,0.675,0.3
890397,39,edison,2020-11-04T04:20:21Z,0.659,0.314
940337,41,edison,2020-11-04T04:23:42Z,0.661,0.312
990159,43,edison,2020-11-04T04:23:51Z,0.644,0.329
1027591,45,edison,2020-11-04T04:23:59Z,0.638,0.335
1209147,53,edison,2020-11-04T04:24:19Z,0.631,0.342
1214179,53,edison,2020-11-04T04:25:23Z,0.63,0.343
1228669,54,edison,2020-11-04T04:29:07Z,0.627,0.346
1902602,83,edison,2020-11-04T04:30:35Z,0.59,0.385
1902668,83,edison,2020-11-04T04:36:25Z,0.59,0.385
1903754,83,edison,2020-11-04T04:37:19Z,0.589,0.385
1903823,83,edison,2020-11-04T04:37:37Z,0.589,0.385
1906803,83,edison,2020-11-04T04:40:07Z,0.588,0.385
1955038,86,edison,2020-11-04T04:43:33Z,0.583,0.39
1969724,86,edison,2020-11-04T05:01:34Z,0.583,0.391
1971636,86,edison,2020-11-04T05:05:30Z,0.583,0.39
1976089,86,edison,2020-11-04T05:16:37Z,0.582,0.391
1979771,87,edison,2020-11-04T05:33:19Z,0.582,0.391
1979815,87,edison,2020-11-04T05:34:36Z,0.582,0.391
2001437,88,edison,2020-11-04T05:43:41Z,0.583,0.389
2002432,88,edison,2020-11-04T05:47:07Z,0.583,0.39
2013330,88,edison,2020-11-04T06:02:17Z,0.583,0.39
2018188,88,edison,2020-11-04T06:15:50Z,0.582,0.39
2018935,88,edison,2020-11-04T06:28:26Z,0.582,0.39
2029375,89,edison,2020-11-04T06:30:53Z,0.581,0.392
2031155,89,edison,2020-11-04T06:31:54Z,0.581,0.391
2031251,89,edison,2020-11-04T06:46:21Z,0.581,0.391
2038238,89,edison,2020-11-04T06:51:57Z,0.58,0.392
2056346,90,edison,2020-11-04T06:59:53Z,0.579,0.393
2059948,90,edison,2020-11-04T07:00:40Z,0.578,0.394
2073767,91,edison,2020-11-04T07:20:55Z,0.579,0.393
2074307,91,edison,2020-11-04T07:36:54Z,0.579,0.393
2080372,91,edison,2020-11-04T08:20:13Z,0.578,0.393
2082402,91,edison,2020-11-04T08:20:48Z,0.578,0.394
2099301,92,edison,2020-11-04T08:21:36Z,0.578,0.394
2102966,92,edison,2020-11-04T08:45:19Z,0.577,0.394
2123141,93,edison,2020-11-04T08:46:00Z,0.574,0.397
2128156,93,edison,2020-11-04T09:00:54Z,0.573,0.398
2128499,93,edison,2020-11-04T09:01:52Z,0.573,0.398
2149109,94,edison,2020-11-04T09:30:49Z,0.574,0.396
2152374,94,edison,2020-11-04T10:01:10Z,0.574,0.397
2152714,94,edison,2020-11-04T10:01:50Z,0.574,0.397
2157772,94,edison,2020-11-04T10:30:53Z,0.573,0.397
2157971,94,edison,2020-11-04T10:31:50Z,0.573,0.397
2168430,95,edison,2020-11-04T11:15:50Z,0.572,0.398
2168957,95,edison,2020-11-04T14:45:51Z,0.572,0.398
2169016,95,edison,2020-11-04T16:30:53Z,0.572,0.398
2169018,95,edison,2020-11-04T16:31:50Z,0.572,0.398
2178046,95,edison,2020-11-04T19:46:51Z,0.571,0.399
2226125,97,edison,2020-11-05T02:01:52Z,0.569,0.401
2236796,97,edison,2020-11-05T20:01:38Z,0.569,0.401
2298062,97,edison,2020-11-06T02:00:40Z,0.566,0.403
2305016,97,edison,2020-11-06T20:00:40Z,0.566,0.403
2328364,97,edison,2020-11-07T14:00:51Z,0.565,0.405
2334762,97,edison,2020-11-07T14:02:37Z,0.565,0.404
2340808,98,edison,2020-11-10T20:01:01Z,0.565,0.404
2343914,98,edison,2020-11-11T02:00:55Z,0.566,0.404
2349283,98,edison,2020-11-11T02:01:50Z,0.565,0.403
2350637,98,edison,2020-11-12T20:00:48Z,0.565,0.403
2351850,98,edison,2020-11-13T02:01:49Z,0.565,0.404
