votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:25:23Z,0.0,0.0
77,0,edison,2020-11-04T00:19:27Z,0.571,0.429
0,0,edison,2020-11-04T00:30:20Z,0.0,0.0
11,0,edison,2020-11-04T00:42:45Z,0.636,0.364
0,0,edison,2020-11-04T00:59:15Z,0.0,0.0
64535,1,edison,2020-11-04T01:03:44Z,0.799,0.188
86353,1,edison,2020-11-04T01:14:19Z,0.772,0.216
120261,2,edison,2020-11-04T01:14:26Z,0.764,0.225
195481,3,edison,2020-11-04T01:15:31Z,0.831,0.16
211317,3,edison,2020-11-04T01:15:55Z,0.828,0.163
219166,3,edison,2020-11-04T01:17:19Z,0.822,0.169
219258,3,edison,2020-11-04T01:24:10Z,0.821,0.169
301969,4,edison,2020-11-04T01:26:57Z,0.841,0.151
306881,4,edison,2020-11-04T01:29:03Z,0.836,0.155
436908,6,edison,2020-11-04T01:31:11Z,0.587,0.407
476287,7,edison,2020-11-04T01:32:56Z,0.604,0.39
503027,7,edison,2020-11-04T01:35:04Z,0.608,0.385
557915,8,edison,2020-11-04T01:36:16Z,0.632,0.361
559431,8,edison,2020-11-04T01:36:55Z,0.632,0.361
564800,8,edison,2020-11-04T01:37:50Z,0.631,0.363
678741,9,edison,2020-11-04T01:38:49Z,0.656,0.337
688010,10,edison,2020-11-04T01:40:56Z,0.655,0.337
694151,10,edison,2020-11-04T01:44:56Z,0.651,0.342
694271,10,edison,2020-11-04T01:46:00Z,0.651,0.342
695628,10,edison,2020-11-04T01:47:01Z,0.65,0.343
696058,10,edison,2020-11-04T01:48:56Z,0.65,0.343
701106,10,edison,2020-11-04T01:49:47Z,0.649,0.343
715357,10,edison,2020-11-04T01:50:58Z,0.641,0.351
955161,13,edison,2020-11-04T01:51:36Z,0.685,0.308
959453,13,edison,2020-11-04T01:52:56Z,0.683,0.31
963987,13,edison,2020-11-04T01:54:55Z,0.681,0.311
977045,14,edison,2020-11-04T01:57:01Z,0.681,0.311
980230,14,edison,2020-11-04T01:58:08Z,0.68,0.313
1020864,14,edison,2020-11-04T01:59:15Z,0.669,0.323
1020920,14,edison,2020-11-04T01:59:44Z,0.669,0.323
1025783,14,edison,2020-11-04T01:59:54Z,0.668,0.324
1025811,14,edison,2020-11-04T02:00:34Z,0.668,0.324
1031614,14,edison,2020-11-04T02:01:18Z,0.668,0.324
1033161,14,edison,2020-11-04T02:02:21Z,0.667,0.325
1052706,15,edison,2020-11-04T02:03:01Z,0.661,0.331
1057287,15,edison,2020-11-04T02:04:59Z,0.659,0.334
1059524,15,edison,2020-11-04T02:05:29Z,0.658,0.335
1069005,15,edison,2020-11-04T02:05:59Z,0.658,0.334
1073486,15,edison,2020-11-04T02:07:00Z,0.656,0.336
1083296,15,edison,2020-11-04T02:08:57Z,0.651,0.341
1087107,15,edison,2020-11-04T02:10:32Z,0.65,0.342
1106477,15,edison,2020-11-04T02:11:01Z,0.643,0.349
1111586,16,edison,2020-11-04T02:13:11Z,0.641,0.351
871782,16,edison,2020-11-04T02:14:32Z,0.592,0.399
877724,16,edison,2020-11-04T02:14:56Z,0.59,0.402
888907,16,edison,2020-11-04T02:16:43Z,0.586,0.406
774021,16,edison,2020-11-04T02:17:03Z,0.689,0.301
781428,16,edison,2020-11-04T02:17:32Z,0.685,0.306
1288475,18,edison,2020-11-04T02:18:59Z,0.677,0.299
1288604,18,edison,2020-11-04T02:19:33Z,0.677,0.299
1325632,19,edison,2020-11-04T02:21:59Z,0.664,0.312
739443,19,edison,2020-11-04T02:22:45Z,0.627,0.363
779178,19,edison,2020-11-04T02:23:32Z,0.629,0.361
786831,19,edison,2020-11-04T02:24:00Z,0.625,0.364
789060,19,edison,2020-11-04T02:24:33Z,0.624,0.366
796833,19,edison,2020-11-04T02:24:41Z,0.622,0.367
805891,19,edison,2020-11-04T02:25:14Z,0.619,0.371
826032,19,edison,2020-11-04T02:27:12Z,0.61,0.38
843633,19,edison,2020-11-04T02:29:18Z,0.605,0.384
847907,19,edison,2020-11-04T02:29:31Z,0.603,0.386
848033,19,edison,2020-11-04T02:30:54Z,0.603,0.386
856034,19,edison,2020-11-04T02:31:27Z,0.599,0.391
872558,19,edison,2020-11-04T02:31:58Z,0.602,0.387
888822,19,edison,2020-11-04T02:32:09Z,0.597,0.391
902116,19,edison,2020-11-04T02:32:54Z,0.594,0.394
902152,19,edison,2020-11-04T02:33:27Z,0.594,0.394
949266,19,edison,2020-11-04T02:34:54Z,0.575,0.413
949342,19,edison,2020-11-04T02:35:23Z,0.575,0.413
