votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T07:01:20Z,0.0,0.0
2958,1,edison,2020-11-04T01:14:14Z,0.57,0.41
8231,2,edison,2020-11-04T01:16:02Z,0.56,0.42
20446,4,edison,2020-11-04T01:18:01Z,0.491,0.49
42193,8,edison,2020-11-04T01:22:01Z,0.472,0.508
73105,14,edison,2020-11-04T01:26:02Z,0.471,0.509
96102,18,edison,2020-11-04T01:28:01Z,0.468,0.512
124809,24,edison,2020-11-04T01:32:02Z,0.447,0.534
127594,25,edison,2020-11-04T01:33:56Z,0.446,0.535
152904,29,edison,2020-11-04T01:35:06Z,0.443,0.537
161933,31,edison,2020-11-04T01:36:00Z,0.441,0.539
166726,32,edison,2020-11-04T01:40:57Z,0.44,0.54
171060,33,edison,2020-11-04T01:43:59Z,0.439,0.541
173429,33,edison,2020-11-04T01:45:58Z,0.439,0.541
173628,33,edison,2020-11-04T01:52:02Z,0.438,0.541
173840,33,edison,2020-11-04T02:01:57Z,0.439,0.541
174291,34,edison,2020-11-04T02:22:26Z,0.438,0.542
174631,34,edison,2020-11-04T02:33:01Z,0.438,0.542
175315,34,edison,2020-11-04T02:33:32Z,0.438,0.541
175443,34,edison,2020-11-04T02:34:27Z,0.438,0.541
175493,34,edison,2020-11-04T03:11:12Z,0.438,0.541
181818,35,edison,2020-11-04T03:11:48Z,0.448,0.532
183459,35,edison,2020-11-04T03:37:16Z,0.448,0.533
196730,38,edison,2020-11-04T03:37:55Z,0.455,0.526
205725,40,edison,2020-11-04T03:47:58Z,0.458,0.523
212407,41,edison,2020-11-04T03:55:15Z,0.472,0.51
222983,43,edison,2020-11-04T03:56:46Z,0.481,0.501
243820,47,edison,2020-11-04T03:56:52Z,0.487,0.495
263672,51,edison,2020-11-04T04:10:20Z,0.494,0.489
267432,51,edison,2020-11-04T04:24:39Z,0.495,0.488
267419,51,edison,2020-11-04T04:54:56Z,0.495,0.488
327644,63,edison,2020-11-04T06:00:04Z,0.498,0.486
477068,92,edison,2020-11-04T06:08:50Z,0.592,0.393
481695,93,edison,2020-11-04T06:12:55Z,0.592,0.393
500390,96,edison,2020-11-04T21:13:02Z,0.594,0.392
505201,97,edison,2020-11-06T21:48:51Z,0.594,0.391
513323,99,edison,2020-11-10T13:09:07Z,0.596,0.389
513411,99,edison,2020-11-10T23:02:51Z,0.596,0.389
513503,99,edison,2020-11-10T23:02:58Z,0.596,0.389
