votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:39:42Z,0.0,0.0
437,0,edison,2020-11-04T00:13:12Z,0.295,0.705
694,0,edison,2020-11-04T00:14:44Z,0.396,0.604
1919,0,edison,2020-11-04T00:16:15Z,0.287,0.713
2171,0,edison,2020-11-04T00:16:31Z,0.344,0.656
2596,0,edison,2020-11-04T00:18:24Z,0.367,0.633
3266,0,edison,2020-11-04T00:22:53Z,0.336,0.664
3568,0,edison,2020-11-04T00:24:07Z,0.328,0.672
5139,0,edison,2020-11-04T00:25:48Z,0.296,0.704
5955,0,edison,2020-11-04T00:26:01Z,0.324,0.676
7190,0,edison,2020-11-04T00:27:06Z,0.296,0.704
7940,0,edison,2020-11-04T00:29:06Z,0.296,0.704
8529,0,edison,2020-11-04T00:31:28Z,0.287,0.713
10041,0,edison,2020-11-04T00:32:07Z,0.296,0.704
11385,0,edison,2020-11-04T00:32:39Z,0.327,0.672
11647,0,edison,2020-11-04T00:33:53Z,0.33,0.669
13346,1,edison,2020-11-04T00:35:17Z,0.351,0.648
13971,1,edison,2020-11-04T00:37:55Z,0.352,0.648
18067,1,edison,2020-11-04T00:39:05Z,0.351,0.647
26352,1,edison,2020-11-04T00:40:59Z,0.434,0.562
26483,1,edison,2020-11-04T00:41:20Z,0.434,0.562
26751,1,edison,2020-11-04T00:42:03Z,0.433,0.563
33832,1,edison,2020-11-04T00:47:41Z,0.435,0.559
33986,1,edison,2020-11-04T00:51:56Z,0.436,0.559
79291,3,edison,2020-11-04T00:53:56Z,0.528,0.462
79742,3,edison,2020-11-04T00:57:59Z,0.527,0.464
84566,3,edison,2020-11-04T00:58:36Z,0.538,0.452
87758,3,edison,2020-11-04T00:59:15Z,0.54,0.45
89718,4,edison,2020-11-04T01:00:15Z,0.54,0.451
96514,4,edison,2020-11-04T01:01:03Z,0.55,0.441
114078,5,edison,2020-11-04T01:03:35Z,0.532,0.458
121134,5,edison,2020-11-04T01:06:02Z,0.526,0.465
122180,5,edison,2020-11-04T01:07:41Z,0.523,0.467
128792,5,edison,2020-11-04T01:09:21Z,0.522,0.468
139206,6,edison,2020-11-04T01:10:16Z,0.537,0.453
147392,6,edison,2020-11-04T01:13:15Z,0.537,0.449
169487,7,edison,2020-11-04T01:13:58Z,0.527,0.46
191945,8,edison,2020-11-04T01:14:21Z,0.524,0.463
193190,8,edison,2020-11-04T01:16:18Z,0.523,0.464
198551,8,edison,2020-11-04T01:18:41Z,0.519,0.468
200700,8,edison,2020-11-04T01:22:08Z,0.518,0.47
211642,8,edison,2020-11-04T01:22:47Z,0.512,0.476
217127,9,edison,2020-11-04T01:23:59Z,0.508,0.479
220079,9,edison,2020-11-04T01:25:54Z,0.509,0.479
222165,9,edison,2020-11-04T01:29:13Z,0.509,0.479
225407,9,edison,2020-11-04T01:29:47Z,0.505,0.482
232206,9,edison,2020-11-04T01:30:13Z,0.51,0.478
236247,9,edison,2020-11-04T01:31:46Z,0.505,0.482
236247,9,edison,2020-11-04T01:31:46Z,0.505,0.482
237116,9,edison,2020-11-04T01:33:23Z,0.506,0.482
249989,10,edison,2020-11-04T01:42:21Z,0.513,0.475
376465,15,edison,2020-11-04T01:44:31Z,0.474,0.513
382590,15,edison,2020-11-04T01:44:55Z,0.469,0.518
389491,15,edison,2020-11-04T01:47:57Z,0.467,0.52
390347,15,edison,2020-11-04T01:49:58Z,0.466,0.521
391495,16,edison,2020-11-04T01:52:03Z,0.471,0.517
434993,17,edison,2020-11-04T01:57:01Z,0.462,0.525
440233,17,edison,2020-11-04T01:57:44Z,0.459,0.528
445928,18,edison,2020-11-04T01:58:39Z,0.46,0.528
515612,20,edison,2020-11-04T02:02:08Z,0.446,0.541
524306,21,edison,2020-11-04T02:03:55Z,0.443,0.545
533577,21,edison,2020-11-04T02:08:03Z,0.442,0.545
558966,22,edison,2020-11-04T02:10:05Z,0.433,0.554
597316,24,edison,2020-11-04T02:12:42Z,0.437,0.55
605039,24,edison,2020-11-04T02:12:51Z,0.435,0.552
606827,24,edison,2020-11-04T02:13:04Z,0.435,0.552
617211,24,edison,2020-11-04T02:13:20Z,0.431,0.556
619984,25,edison,2020-11-04T02:16:24Z,0.431,0.556
627542,25,edison,2020-11-04T02:16:50Z,0.43,0.558
669341,27,edison,2020-11-04T02:22:26Z,0.424,0.563
690142,27,edison,2020-11-04T02:24:20Z,0.424,0.563
711525,28,edison,2020-11-04T02:25:29Z,0.424,0.563
733938,29,edison,2020-11-04T02:26:59Z,0.423,0.564
776483,31,edison,2020-11-04T02:31:07Z,0.425,0.562
778042,31,edison,2020-11-04T02:32:15Z,0.425,0.562
787316,31,edison,2020-11-04T02:34:42Z,0.425,0.562
818209,32,edison,2020-11-04T02:37:15Z,0.432,0.555
818397,32,edison,2020-11-04T02:37:33Z,0.432,0.555
822163,33,edison,2020-11-04T02:39:17Z,0.432,0.555
828866,33,edison,2020-11-04T02:40:36Z,0.432,0.555
831772,33,edison,2020-11-04T02:41:04Z,0.431,0.556
949600,38,edison,2020-11-04T02:42:30Z,0.433,0.554
960528,38,edison,2020-11-04T02:44:50Z,0.434,0.553
965848,38,edison,2020-11-04T02:52:08Z,0.435,0.552
973601,39,edison,2020-11-04T02:55:06Z,0.434,0.553
981302,39,edison,2020-11-04T02:57:49Z,0.433,0.553
982916,39,edison,2020-11-04T02:59:11Z,0.434,0.553
985057,39,edison,2020-11-04T03:05:02Z,0.434,0.553
992085,39,edison,2020-11-04T03:05:34Z,0.433,0.554
1011932,40,edison,2020-11-04T03:08:46Z,0.428,0.558
1013102,40,edison,2020-11-04T03:09:25Z,0.428,0.558
1052820,42,edison,2020-11-04T03:13:02Z,0.425,0.562
1077304,43,edison,2020-11-04T03:20:49Z,0.423,0.563
1147948,45,edison,2020-11-04T03:21:02Z,0.42,0.567
1170871,46,edison,2020-11-04T03:25:42Z,0.417,0.569
1197037,47,edison,2020-11-04T03:30:19Z,0.419,0.566
1205314,48,edison,2020-11-04T03:31:51Z,0.419,0.567
1326171,53,edison,2020-11-04T03:37:56Z,0.422,0.564
1326171,53,edison,2020-11-04T03:39:40Z,0.422,0.565
1350236,53,edison,2020-11-04T03:40:22Z,0.42,0.566
1385896,55,edison,2020-11-04T03:43:21Z,0.414,0.572
1394029,55,edison,2020-11-04T03:48:07Z,0.414,0.572
1418086,56,edison,2020-11-04T03:55:22Z,0.413,0.573
1432294,57,edison,2020-11-04T04:05:31Z,0.413,0.573
1432688,57,edison,2020-11-04T04:12:41Z,0.413,0.574
1455192,58,edison,2020-11-04T04:15:47Z,0.411,0.575
1455453,58,edison,2020-11-04T04:19:42Z,0.411,0.575
1455613,58,edison,2020-11-04T04:21:43Z,0.411,0.575
1457129,58,edison,2020-11-04T04:30:34Z,0.411,0.575
1586290,63,edison,2020-11-04T04:32:13Z,0.411,0.575
1605971,64,edison,2020-11-04T04:47:46Z,0.409,0.577
1698790,67,edison,2020-11-04T05:08:41Z,0.404,0.582
1699335,67,edison,2020-11-04T05:24:25Z,0.404,0.582
1702445,67,edison,2020-11-04T05:24:32Z,0.405,0.581
1715440,68,edison,2020-11-04T05:34:05Z,0.405,0.581
1720400,68,edison,2020-11-04T05:39:35Z,0.404,0.582
1720780,68,edison,2020-11-04T05:44:18Z,0.404,0.582
1771976,70,edison,2020-11-04T05:51:18Z,0.401,0.585
1794115,71,edison,2020-11-04T05:53:22Z,0.4,0.585
1856133,74,edison,2020-11-04T06:24:53Z,0.397,0.589
1878661,74,edison,2020-11-04T06:31:52Z,0.398,0.588
1909438,76,edison,2020-11-04T06:39:51Z,0.4,0.585
2027461,80,edison,2020-11-04T07:28:52Z,0.409,0.576
2100216,83,edison,2020-11-04T07:31:29Z,0.417,0.569
2146588,85,edison,2020-11-04T08:07:52Z,0.422,0.564
2273778,90,edison,2020-11-04T11:28:51Z,0.415,0.57
2294642,91,edison,2020-11-04T12:16:50Z,0.415,0.57
2299689,91,edison,2020-11-04T15:26:52Z,0.415,0.57
2299815,91,edison,2020-11-04T16:39:50Z,0.415,0.57
2396380,95,edison,2020-11-04T16:56:34Z,0.428,0.557
2396921,95,edison,2020-11-04T17:38:50Z,0.428,0.557
2397442,95,edison,2020-11-04T18:32:00Z,0.428,0.557
2423152,96,edison,2020-11-04T19:02:57Z,0.429,0.556
2423505,96,edison,2020-11-04T19:17:50Z,0.429,0.556
2424378,96,edison,2020-11-04T21:07:52Z,0.429,0.556
2426043,96,edison,2020-11-04T23:05:50Z,0.429,0.556
2437284,97,edison,2020-11-05T00:58:51Z,0.43,0.556
2460155,97,edison,2020-11-05T01:13:18Z,0.432,0.553
2461757,97,edison,2020-11-05T01:25:50Z,0.432,0.553
2462431,98,edison,2020-11-05T01:39:50Z,0.432,0.553
2463268,98,edison,2020-11-05T03:11:43Z,0.432,0.553
2464656,98,edison,2020-11-05T05:11:44Z,0.433,0.553
2466074,98,edison,2020-11-05T13:15:54Z,0.433,0.553
2466654,98,edison,2020-11-05T15:14:45Z,0.433,0.553
2467841,98,edison,2020-11-05T17:05:53Z,0.433,0.552
2469260,98,edison,2020-11-05T19:03:49Z,0.433,0.552
2471295,98,edison,2020-11-05T21:06:42Z,0.433,0.552
2471983,98,edison,2020-11-05T21:11:39Z,0.433,0.552
2504233,99,edison,2020-11-05T22:00:39Z,0.435,0.551
2504235,99,edison,2020-11-05T22:40:40Z,0.435,0.551
2504236,99,edison,2020-11-06T15:16:39Z,0.435,0.551
2504238,99,edison,2020-11-06T15:26:40Z,0.435,0.551
2504246,99,edison,2020-11-06T15:57:39Z,0.435,0.551
2504252,99,edison,2020-11-06T16:08:39Z,0.435,0.551
2504254,99,edison,2020-11-06T16:28:40Z,0.435,0.551
2504311,99,edison,2020-11-06T16:42:39Z,0.435,0.551
2504357,99,edison,2020-11-06T16:43:38Z,0.435,0.551
2504433,99,edison,2020-11-06T17:04:38Z,0.435,0.551
2504488,99,edison,2020-11-06T17:25:38Z,0.435,0.551
2504504,99,edison,2020-11-06T17:29:38Z,0.435,0.551
2504509,99,edison,2020-11-06T17:31:39Z,0.435,0.551
2504529,99,edison,2020-11-06T17:33:39Z,0.435,0.551
2504649,99,edison,2020-11-06T17:36:38Z,0.435,0.551
2504651,99,edison,2020-11-06T17:37:39Z,0.435,0.551
2504673,99,edison,2020-11-06T18:04:38Z,0.435,0.551
2504716,99,edison,2020-11-06T18:05:38Z,0.435,0.551
