votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:04Z,0.0,0.0
3229,1,edison,2020-11-04T02:03:34Z,0.236,0.744
11017,3,edison,2020-11-04T02:04:03Z,0.27,0.707
13598,3,edison,2020-11-04T02:06:03Z,0.287,0.69
14211,3,edison,2020-11-04T02:10:27Z,0.284,0.693
15599,4,edison,2020-11-04T02:11:27Z,0.279,0.698
17400,4,edison,2020-11-04T02:11:57Z,0.297,0.68
20790,5,edison,2020-11-04T02:17:51Z,0.295,0.681
33614,8,edison,2020-11-04T02:22:45Z,0.359,0.617
36853,9,edison,2020-11-04T02:27:43Z,0.35,0.625
51399,12,edison,2020-11-04T02:31:17Z,0.348,0.626
53475,13,edison,2020-11-04T02:36:21Z,0.347,0.627
63508,15,edison,2020-11-04T02:36:27Z,0.348,0.626
75090,18,edison,2020-11-04T02:39:57Z,0.363,0.612
75513,18,edison,2020-11-04T02:42:17Z,0.362,0.613
77891,19,edison,2020-11-04T02:42:27Z,0.359,0.615
79255,19,edison,2020-11-04T02:42:59Z,0.356,0.618
80388,19,edison,2020-11-04T02:47:15Z,0.355,0.619
81459,20,edison,2020-11-04T02:47:34Z,0.356,0.618
82123,20,edison,2020-11-04T02:49:17Z,0.357,0.617
82299,20,edison,2020-11-04T02:51:42Z,0.357,0.617
82869,20,edison,2020-11-04T02:51:45Z,0.356,0.618
88095,21,edison,2020-11-04T02:53:28Z,0.352,0.622
88846,21,edison,2020-11-04T02:55:36Z,0.351,0.623
91752,22,edison,2020-11-04T02:58:21Z,0.35,0.624
94211,23,edison,2020-11-04T02:58:39Z,0.348,0.626
96069,23,edison,2020-11-04T02:59:35Z,0.346,0.627
104501,25,edison,2020-11-04T03:02:55Z,0.34,0.634
104990,25,edison,2020-11-04T03:06:58Z,0.339,0.635
110718,27,edison,2020-11-04T03:07:43Z,0.333,0.641
117908,28,edison,2020-11-04T03:12:12Z,0.33,0.645
123860,30,edison,2020-11-04T03:16:35Z,0.324,0.65
125292,30,edison,2020-11-04T03:17:27Z,0.325,0.649
129133,31,edison,2020-11-04T03:23:11Z,0.323,0.651
129682,31,edison,2020-11-04T03:23:45Z,0.323,0.651
135681,33,edison,2020-11-04T03:27:55Z,0.321,0.653
138881,33,edison,2020-11-04T03:32:40Z,0.318,0.657
140222,34,edison,2020-11-04T03:35:23Z,0.318,0.656
142408,34,edison,2020-11-04T03:35:51Z,0.318,0.657
150295,36,edison,2020-11-04T03:37:18Z,0.314,0.66
154029,37,edison,2020-11-04T03:42:59Z,0.312,0.662
154261,37,edison,2020-11-04T03:46:23Z,0.312,0.662
160823,39,edison,2020-11-04T03:50:32Z,0.311,0.664
164620,40,edison,2020-11-04T03:53:02Z,0.311,0.663
165911,40,edison,2020-11-04T03:53:17Z,0.311,0.663
167436,40,edison,2020-11-04T03:54:28Z,0.314,0.66
206273,50,edison,2020-11-04T03:58:11Z,0.333,0.641
209103,50,edison,2020-11-04T03:58:51Z,0.332,0.642
215042,52,edison,2020-11-04T04:01:36Z,0.33,0.644
219427,53,edison,2020-11-04T04:08:28Z,0.329,0.645
220707,53,edison,2020-11-04T04:11:17Z,0.329,0.645
241313,58,edison,2020-11-04T04:12:23Z,0.328,0.646
245094,59,edison,2020-11-04T04:18:15Z,0.328,0.646
245326,59,edison,2020-11-04T04:22:24Z,0.327,0.646
248856,60,edison,2020-11-04T04:22:53Z,0.327,0.646
255490,62,edison,2020-11-04T04:26:41Z,0.328,0.646
258546,62,edison,2020-11-04T04:32:36Z,0.328,0.646
266100,64,edison,2020-11-04T04:38:46Z,0.328,0.646
266100,64,edison,2020-11-04T04:41:38Z,0.33,0.643
266374,64,edison,2020-11-04T04:41:46Z,0.33,0.644
267088,64,edison,2020-11-04T04:41:58Z,0.331,0.643
268352,65,edison,2020-11-04T04:42:34Z,0.33,0.643
274773,66,edison,2020-11-04T04:43:11Z,0.33,0.644
275372,66,edison,2020-11-04T04:43:45Z,0.329,0.645
279381,67,edison,2020-11-04T04:46:34Z,0.328,0.646
280076,67,edison,2020-11-04T04:51:46Z,0.328,0.646
280574,68,edison,2020-11-04T04:52:28Z,0.329,0.645
280685,68,edison,2020-11-04T04:53:54Z,0.329,0.645
280987,68,edison,2020-11-04T04:57:24Z,0.329,0.645
282445,68,edison,2020-11-04T05:01:20Z,0.328,0.646
286999,69,edison,2020-11-04T05:02:10Z,0.325,0.649
286999,69,edison,2020-11-04T05:03:52Z,0.327,0.648
287123,69,edison,2020-11-04T05:06:12Z,0.327,0.648
288244,69,edison,2020-11-04T05:07:24Z,0.326,0.648
288639,70,edison,2020-11-04T05:11:11Z,0.326,0.648
291797,70,edison,2020-11-04T05:14:30Z,0.326,0.648
308729,74,edison,2020-11-04T05:16:35Z,0.328,0.646
314168,76,edison,2020-11-04T05:23:00Z,0.327,0.647
319563,77,edison,2020-11-04T05:27:26Z,0.328,0.646
325411,78,edison,2020-11-04T05:31:56Z,0.326,0.648
325502,78,edison,2020-11-04T05:32:14Z,0.326,0.648
325507,78,edison,2020-11-04T05:33:20Z,0.326,0.648
326400,79,edison,2020-11-04T05:37:13Z,0.326,0.648
326994,79,edison,2020-11-04T05:42:02Z,0.326,0.647
328931,79,edison,2020-11-04T05:44:35Z,0.326,0.647
332808,80,edison,2020-11-04T05:46:50Z,0.328,0.646
334892,81,edison,2020-11-04T05:48:04Z,0.328,0.645
335389,81,edison,2020-11-04T05:51:48Z,0.328,0.645
335707,81,edison,2020-11-04T05:56:57Z,0.329,0.645
339592,82,edison,2020-11-04T06:01:47Z,0.329,0.645
341785,82,edison,2020-11-04T06:06:25Z,0.329,0.644
343443,83,edison,2020-11-04T06:15:54Z,0.33,0.644
358631,86,edison,2020-11-04T06:20:53Z,0.331,0.642
360437,87,edison,2020-11-04T06:30:53Z,0.332,0.642
369109,89,edison,2020-11-04T06:35:52Z,0.333,0.641
373345,90,edison,2020-11-04T06:50:50Z,0.332,0.641
373491,90,edison,2020-11-04T06:55:53Z,0.332,0.641
375204,90,edison,2020-11-04T07:01:50Z,0.331,0.642
