votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:00:04Z,0.0,0.0
56598,2,edison,2020-11-04T01:06:57Z,0.264,0.724
76207,3,edison,2020-11-04T01:07:57Z,0.258,0.73
101623,3,edison,2020-11-04T01:09:05Z,0.255,0.734
124565,4,edison,2020-11-04T01:10:00Z,0.252,0.737
130377,4,edison,2020-11-04T01:10:57Z,0.25,0.739
140712,5,edison,2020-11-04T01:12:05Z,0.246,0.743
149743,5,edison,2020-11-04T01:12:57Z,0.246,0.744
186335,6,edison,2020-11-04T01:13:58Z,0.237,0.751
195425,7,edison,2020-11-04T01:14:57Z,0.237,0.752
211957,7,edison,2020-11-04T01:15:38Z,0.241,0.747
253249,9,edison,2020-11-04T01:15:59Z,0.266,0.723
253685,9,edison,2020-11-04T01:16:56Z,0.266,0.722
293180,10,edison,2020-11-04T01:18:58Z,0.267,0.721
325756,11,edison,2020-11-04T01:19:57Z,0.267,0.721
353145,12,edison,2020-11-04T01:20:59Z,0.264,0.724
353196,12,edison,2020-11-04T01:21:41Z,0.264,0.724
359805,12,edison,2020-11-04T01:22:55Z,0.262,0.727
401106,14,edison,2020-11-04T01:23:58Z,0.263,0.725
406564,14,edison,2020-11-04T01:24:56Z,0.262,0.726
420639,14,edison,2020-11-04T01:25:57Z,0.261,0.727
428544,15,edison,2020-11-04T01:26:57Z,0.26,0.727
428563,15,edison,2020-11-04T01:27:02Z,0.26,0.727
476993,16,edison,2020-11-04T01:27:57Z,0.261,0.727
477602,16,edison,2020-11-04T01:28:55Z,0.26,0.727
478332,16,edison,2020-11-04T01:29:23Z,0.26,0.727
478627,16,edison,2020-11-04T01:29:58Z,0.26,0.727
489286,17,edison,2020-11-04T01:30:56Z,0.261,0.726
547224,19,edison,2020-11-04T01:32:00Z,0.259,0.728
657641,23,edison,2020-11-04T01:33:19Z,0.303,0.684
658588,23,edison,2020-11-04T01:33:56Z,0.303,0.684
687002,24,edison,2020-11-04T01:34:11Z,0.303,0.684
687581,24,edison,2020-11-04T01:34:56Z,0.303,0.684
688291,24,edison,2020-11-04T01:36:01Z,0.303,0.684
692557,24,edison,2020-11-04T01:36:57Z,0.302,0.685
693711,24,edison,2020-11-04T01:37:58Z,0.302,0.685
726660,25,edison,2020-11-04T01:38:58Z,0.298,0.689
749878,26,edison,2020-11-04T01:40:55Z,0.295,0.691
751010,26,edison,2020-11-04T01:41:56Z,0.295,0.692
962272,33,edison,2020-11-04T01:49:58Z,0.305,0.681
962296,33,edison,2020-11-04T01:50:18Z,0.305,0.681
964885,33,edison,2020-11-04T01:50:58Z,0.305,0.681
1023089,35,edison,2020-11-04T01:52:04Z,0.3,0.686
1034509,36,edison,2020-11-04T01:52:58Z,0.299,0.687
1304815,45,edison,2020-11-04T01:54:03Z,0.372,0.612
1323620,45,edison,2020-11-04T01:54:58Z,0.369,0.615
1323638,45,edison,2020-11-04T01:55:09Z,0.369,0.615
1329596,46,edison,2020-11-04T01:55:56Z,0.368,0.616
1330670,46,edison,2020-11-04T01:56:24Z,0.367,0.616
1335678,46,edison,2020-11-04T01:57:01Z,0.367,0.617
1335738,46,edison,2020-11-04T01:57:10Z,0.367,0.617
1339476,46,edison,2020-11-04T01:57:57Z,0.366,0.617
1649153,57,edison,2020-11-04T02:10:47Z,0.364,0.619
1694533,58,edison,2020-11-04T02:13:20Z,0.36,0.623
1694556,58,edison,2020-11-04T02:13:48Z,0.36,0.623
1769819,61,edison,2020-11-04T02:19:16Z,0.36,0.622
1778177,61,edison,2020-11-04T02:19:55Z,0.36,0.623
1794686,62,edison,2020-11-04T02:22:04Z,0.358,0.624
1796670,62,edison,2020-11-04T02:22:26Z,0.358,0.624
1797031,62,edison,2020-11-04T02:22:45Z,0.358,0.624
1878947,65,edison,2020-11-04T02:28:17Z,0.354,0.629
1899177,65,edison,2020-11-04T02:29:53Z,0.352,0.63
2199523,76,edison,2020-11-04T02:30:53Z,0.391,0.591
2218099,76,edison,2020-11-04T02:31:35Z,0.39,0.592
2226229,77,edison,2020-11-04T02:34:54Z,0.39,0.593
2414124,83,edison,2020-11-04T02:46:47Z,0.383,0.599
2439439,84,edison,2020-11-04T02:47:28Z,0.382,0.6
2448738,84,edison,2020-11-04T02:49:21Z,0.382,0.601
2449578,84,edison,2020-11-04T02:49:42Z,0.382,0.601
2487769,85,edison,2020-11-04T02:51:39Z,0.379,0.603
2487778,85,edison,2020-11-04T02:51:51Z,0.379,0.603
2487785,85,edison,2020-11-04T02:54:49Z,0.379,0.603
2501095,86,edison,2020-11-04T02:55:34Z,0.379,0.603
2598315,89,edison,2020-11-04T02:56:00Z,0.378,0.604
2599823,89,edison,2020-11-04T02:57:42Z,0.378,0.604
2599880,89,edison,2020-11-04T03:00:18Z,0.378,0.604
2673241,92,edison,2020-11-04T03:06:37Z,0.377,0.605
2677732,92,edison,2020-11-04T03:08:46Z,0.376,0.605
2677811,92,edison,2020-11-04T03:09:05Z,0.376,0.605
2679250,92,edison,2020-11-04T03:09:19Z,0.376,0.605
2684683,92,edison,2020-11-04T03:11:13Z,0.376,0.606
2691070,92,edison,2020-11-04T03:12:33Z,0.376,0.606
2696005,93,edison,2020-11-04T03:13:34Z,0.376,0.606
2696048,93,edison,2020-11-04T03:14:04Z,0.376,0.606
2739774,94,edison,2020-11-04T03:28:42Z,0.374,0.608
2740518,94,edison,2020-11-04T03:29:15Z,0.374,0.608
2754095,95,edison,2020-11-04T03:29:30Z,0.374,0.608
2756863,95,edison,2020-11-04T03:32:41Z,0.374,0.608
2763536,95,edison,2020-11-04T03:34:36Z,0.374,0.608
2764199,95,edison,2020-11-04T03:34:54Z,0.374,0.608
2773295,95,edison,2020-11-04T03:39:07Z,0.373,0.608
2784756,96,edison,2020-11-04T03:42:24Z,0.373,0.608
2794227,96,edison,2020-11-04T03:43:51Z,0.373,0.609
2795509,96,edison,2020-11-04T03:49:33Z,0.372,0.609
2801183,96,edison,2020-11-04T03:53:07Z,0.372,0.609
2813795,97,edison,2020-11-04T03:54:24Z,0.371,0.61
