votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:00:04Z,0.0,0.0
7,0,edison,2020-11-04T00:34:55Z,0.857,0.143
0,0,edison,2020-11-04T00:41:07Z,0.0,0.0
11,0,edison,2020-11-04T00:45:12Z,0.364,0.636
0,0,edison,2020-11-04T00:53:56Z,0.0,0.0
382980,3,edison,2020-11-04T01:01:47Z,0.456,0.529
1180385,10,edison,2020-11-04T01:02:14Z,0.594,0.393
1208318,10,edison,2020-11-04T01:03:35Z,0.587,0.4
1212484,10,edison,2020-11-04T01:06:42Z,0.585,0.401
1218197,10,edison,2020-11-04T01:06:55Z,0.583,0.403
2625107,23,edison,2020-11-04T01:10:38Z,0.571,0.416
2883632,25,edison,2020-11-04T01:12:05Z,0.565,0.421
2897293,25,edison,2020-11-04T01:12:41Z,0.564,0.423
2983271,26,edison,2020-11-04T01:13:12Z,0.561,0.426
3039380,26,edison,2020-11-04T01:15:03Z,0.555,0.432
3047422,26,edison,2020-11-04T01:15:28Z,0.553,0.433
3047423,26,edison,2020-11-04T01:15:55Z,0.553,0.433
3059967,26,edison,2020-11-04T01:16:18Z,0.552,0.435
3758725,32,edison,2020-11-04T01:16:35Z,0.541,0.446
3763956,32,edison,2020-11-04T01:16:58Z,0.54,0.447
3780651,32,edison,2020-11-04T01:19:07Z,0.539,0.448
3855456,33,edison,2020-11-04T01:21:02Z,0.535,0.452
3882817,33,edison,2020-11-04T01:21:41Z,0.532,0.455
3958489,34,edison,2020-11-04T01:22:12Z,0.526,0.46
3962378,34,edison,2020-11-04T01:23:14Z,0.526,0.461
3969258,34,edison,2020-11-04T01:24:45Z,0.526,0.46
4067816,35,edison,2020-11-04T01:24:53Z,0.523,0.464
4172472,36,edison,2020-11-04T01:25:29Z,0.518,0.468
4285497,37,edison,2020-11-04T01:26:10Z,0.512,0.475
4959515,43,edison,2020-11-04T01:28:27Z,0.522,0.464
5086347,44,edison,2020-11-04T01:29:14Z,0.518,0.468
5189426,45,edison,2020-11-04T01:30:57Z,0.517,0.469
5219107,45,edison,2020-11-04T01:31:46Z,0.516,0.47
5219107,45,edison,2020-11-04T01:31:46Z,0.516,0.47
5285892,45,edison,2020-11-04T01:32:04Z,0.514,0.473
5498636,47,edison,2020-11-04T01:32:37Z,0.504,0.483
5498744,47,edison,2020-11-04T01:33:04Z,0.504,0.483
5584824,48,edison,2020-11-04T01:33:59Z,0.505,0.482
5650142,48,edison,2020-11-04T01:34:57Z,0.501,0.486
6094828,52,edison,2020-11-04T01:35:54Z,0.499,0.488
6154990,53,edison,2020-11-04T01:37:15Z,0.496,0.49
6414735,55,edison,2020-11-04T01:38:03Z,0.495,0.492
6433809,55,edison,2020-11-04T01:39:12Z,0.494,0.493
7149835,61,edison,2020-11-04T01:42:07Z,0.51,0.476
7175487,62,edison,2020-11-04T01:42:46Z,0.509,0.478
7175598,62,edison,2020-11-04T01:42:55Z,0.508,0.478
7175638,62,edison,2020-11-04T01:43:11Z,0.508,0.478
7195112,62,edison,2020-11-04T01:44:14Z,0.508,0.478
7244103,62,edison,2020-11-04T01:47:05Z,0.506,0.48
7244113,62,edison,2020-11-04T01:49:06Z,0.506,0.48
7292420,63,edison,2020-11-04T01:50:28Z,0.505,0.481
7317366,63,edison,2020-11-04T01:51:46Z,0.505,0.481
7464928,64,edison,2020-11-04T01:52:29Z,0.5,0.486
7464975,64,edison,2020-11-04T01:53:07Z,0.5,0.486
7496354,64,edison,2020-11-04T01:55:15Z,0.5,0.486
7497940,64,edison,2020-11-04T01:55:57Z,0.5,0.486
7517639,64,edison,2020-11-04T01:56:31Z,0.499,0.487
7517639,64,edison,2020-11-04T01:56:31Z,0.499,0.487
7526283,65,edison,2020-11-04T01:57:04Z,0.499,0.488
7528967,65,edison,2020-11-04T02:00:12Z,0.498,0.487
7584270,65,edison,2020-11-04T02:01:23Z,0.496,0.489
7584292,65,edison,2020-11-04T02:03:12Z,0.496,0.489
7584968,65,edison,2020-11-04T02:06:31Z,0.496,0.489
7585274,65,edison,2020-11-04T02:06:51Z,0.496,0.489
7603534,65,edison,2020-11-04T02:07:39Z,0.496,0.49
7603536,65,edison,2020-11-04T02:09:11Z,0.496,0.49
7603943,65,edison,2020-11-04T02:10:51Z,0.496,0.49
7606454,65,edison,2020-11-04T02:12:03Z,0.495,0.49
7708266,66,edison,2020-11-04T02:12:42Z,0.494,0.492
7729789,66,edison,2020-11-04T02:13:10Z,0.493,0.492
7746059,66,edison,2020-11-04T02:13:23Z,0.493,0.493
7746074,66,edison,2020-11-04T02:15:08Z,0.493,0.493
7781825,67,edison,2020-11-04T02:19:16Z,0.491,0.494
7827256,67,edison,2020-11-04T02:19:55Z,0.49,0.496
8034414,69,edison,2020-11-04T02:21:53Z,0.495,0.491
8034415,69,edison,2020-11-04T02:23:16Z,0.495,0.491
8107744,70,edison,2020-11-04T02:23:49Z,0.493,0.493
8107938,70,edison,2020-11-04T02:24:27Z,0.493,0.493
8181781,70,edison,2020-11-04T02:25:23Z,0.494,0.492
8368904,72,edison,2020-11-04T02:25:54Z,0.496,0.49
8370882,72,edison,2020-11-04T02:27:04Z,0.496,0.49
8371916,72,edison,2020-11-04T02:29:03Z,0.496,0.49
8371940,72,edison,2020-11-04T02:29:04Z,0.496,0.49
8489342,73,edison,2020-11-04T02:29:53Z,0.493,0.494
8502640,73,edison,2020-11-04T02:33:54Z,0.492,0.494
8510170,73,edison,2020-11-04T02:33:57Z,0.492,0.494
8510201,73,edison,2020-11-04T02:34:25Z,0.492,0.494
8513150,73,edison,2020-11-04T02:34:43Z,0.492,0.494
8514796,73,edison,2020-11-04T02:35:45Z,0.492,0.494
8515342,73,edison,2020-11-04T02:36:06Z,0.492,0.494
8621606,74,edison,2020-11-04T02:37:51Z,0.49,0.496
8622614,74,edison,2020-11-04T02:38:54Z,0.49,0.496
8668751,74,edison,2020-11-04T02:39:17Z,0.489,0.497
8670155,74,edison,2020-11-04T02:39:59Z,0.489,0.497
8670166,74,edison,2020-11-04T02:40:07Z,0.489,0.497
8670186,74,edison,2020-11-04T02:40:34Z,0.489,0.497
8675834,74,edison,2020-11-04T02:41:13Z,0.489,0.497
8675844,74,edison,2020-11-04T02:42:12Z,0.489,0.497
8676469,74,edison,2020-11-04T02:43:10Z,0.489,0.497
8749687,75,edison,2020-11-04T02:44:28Z,0.487,0.499
8756639,75,edison,2020-11-04T02:45:42Z,0.486,0.5
8760501,75,edison,2020-11-04T02:46:32Z,0.486,0.5
8765466,75,edison,2020-11-04T02:48:04Z,0.486,0.5
8769459,75,edison,2020-11-04T02:48:42Z,0.486,0.5
8801178,75,edison,2020-11-04T02:49:31Z,0.485,0.501
8860478,76,edison,2020-11-04T02:49:38Z,0.483,0.503
8860763,76,edison,2020-11-04T02:51:04Z,0.483,0.503
8860821,76,edison,2020-11-04T02:52:40Z,0.483,0.503
8860831,76,edison,2020-11-04T02:53:06Z,0.483,0.503
8882184,76,edison,2020-11-04T02:53:33Z,0.483,0.503
8885433,76,edison,2020-11-04T02:53:57Z,0.483,0.503
8885457,76,edison,2020-11-04T02:56:01Z,0.483,0.503
8885493,76,edison,2020-11-04T02:57:00Z,0.483,0.503
8888387,76,edison,2020-11-04T02:59:43Z,0.483,0.503
8962749,77,edison,2020-11-04T03:00:18Z,0.481,0.505
8967321,77,edison,2020-11-04T03:00:59Z,0.481,0.505
8967451,77,edison,2020-11-04T03:01:53Z,0.481,0.505
8977083,77,edison,2020-11-04T03:02:39Z,0.481,0.505
8989139,77,edison,2020-11-04T03:04:03Z,0.481,0.505
8989267,77,edison,2020-11-04T03:04:58Z,0.481,0.505
9063305,78,edison,2020-11-04T03:06:37Z,0.479,0.507
9063393,78,edison,2020-11-04T03:06:59Z,0.479,0.507
9126760,78,edison,2020-11-04T03:07:46Z,0.478,0.507
9127041,78,edison,2020-11-04T03:08:39Z,0.478,0.507
9137520,78,edison,2020-11-04T03:11:36Z,0.478,0.508
9137592,78,edison,2020-11-04T03:12:22Z,0.478,0.508
9153368,79,edison,2020-11-04T03:13:27Z,0.478,0.508
9154511,79,edison,2020-11-04T03:13:54Z,0.478,0.508
9156970,79,edison,2020-11-04T03:14:55Z,0.478,0.508
9169155,79,edison,2020-11-04T03:15:39Z,0.478,0.508
9169166,79,edison,2020-11-04T03:16:53Z,0.478,0.508
9177048,79,edison,2020-11-04T03:17:12Z,0.477,0.508
9221187,79,edison,2020-11-04T03:18:07Z,0.476,0.51
9225528,79,edison,2020-11-04T03:18:22Z,0.476,0.51
9228486,79,edison,2020-11-04T03:20:44Z,0.476,0.51
9228602,79,edison,2020-11-04T03:22:27Z,0.476,0.51
9230488,79,edison,2020-11-04T03:23:15Z,0.476,0.51
9232407,79,edison,2020-11-04T03:24:20Z,0.476,0.51
9248002,79,edison,2020-11-04T03:24:43Z,0.476,0.51
9248066,79,edison,2020-11-04T03:25:27Z,0.476,0.51
9249460,79,edison,2020-11-04T03:27:35Z,0.476,0.51
9254386,79,edison,2020-11-04T03:28:56Z,0.475,0.51
9259441,79,edison,2020-11-04T03:29:08Z,0.475,0.51
9262214,79,edison,2020-11-04T03:29:32Z,0.475,0.51
9287763,80,edison,2020-11-04T03:30:15Z,0.475,0.511
9287775,80,edison,2020-11-04T03:31:21Z,0.475,0.511
9295073,80,edison,2020-11-04T03:31:59Z,0.475,0.511
9311174,80,edison,2020-11-04T03:32:55Z,0.474,0.512
9358755,80,edison,2020-11-04T03:33:50Z,0.474,0.512
9387233,81,edison,2020-11-04T03:36:09Z,0.473,0.513
9453895,81,edison,2020-11-04T03:44:30Z,0.471,0.515
9511149,82,edison,2020-11-04T03:45:19Z,0.471,0.515
9513359,82,edison,2020-11-04T03:45:56Z,0.471,0.516
9515623,82,edison,2020-11-04T03:46:45Z,0.47,0.516
9607467,82,edison,2020-11-04T03:47:56Z,0.471,0.516
9618897,82,edison,2020-11-04T03:48:37Z,0.471,0.516
9641585,83,edison,2020-11-04T03:49:06Z,0.471,0.515
9641656,83,edison,2020-11-04T03:50:39Z,0.471,0.515
9642374,83,edison,2020-11-04T03:51:48Z,0.471,0.515
9662965,83,edison,2020-11-04T03:53:52Z,0.471,0.516
9697518,83,edison,2020-11-04T04:00:34Z,0.47,0.516
9697592,83,edison,2020-11-04T04:00:40Z,0.47,0.516
9698351,83,edison,2020-11-04T04:01:53Z,0.47,0.517
9737561,84,edison,2020-11-04T04:02:16Z,0.47,0.517
9761993,84,edison,2020-11-04T04:07:05Z,0.469,0.517
9765095,84,edison,2020-11-04T04:07:32Z,0.469,0.517
9791213,84,edison,2020-11-04T04:10:24Z,0.468,0.518
9791266,84,edison,2020-11-04T04:13:33Z,0.468,0.518
9791327,84,edison,2020-11-04T04:14:17Z,0.468,0.518
9796447,84,edison,2020-11-04T04:16:11Z,0.468,0.518
9800925,84,edison,2020-11-04T04:16:33Z,0.468,0.518
9862303,85,edison,2020-11-04T04:19:33Z,0.469,0.518
9877786,85,edison,2020-11-04T04:20:09Z,0.468,0.518
9886689,85,edison,2020-11-04T04:20:33Z,0.468,0.518
9947502,85,edison,2020-11-04T04:25:33Z,0.468,0.518
9948486,85,edison,2020-11-04T04:28:03Z,0.468,0.518
9949342,85,edison,2020-11-04T04:29:48Z,0.468,0.518
9994582,86,edison,2020-11-04T04:32:27Z,0.467,0.519
10002416,86,edison,2020-11-04T04:33:09Z,0.467,0.519
10024779,86,edison,2020-11-04T04:33:31Z,0.466,0.52
10033723,86,edison,2020-11-04T04:33:56Z,0.466,0.52
10038365,86,edison,2020-11-04T04:34:23Z,0.466,0.52
10065260,86,edison,2020-11-04T04:35:18Z,0.466,0.52
10103016,87,edison,2020-11-04T04:42:43Z,0.465,0.521
10103086,87,edison,2020-11-04T04:42:54Z,0.465,0.521
10109640,87,edison,2020-11-04T04:44:30Z,0.465,0.521
10121861,87,edison,2020-11-04T04:47:09Z,0.464,0.522
10132269,87,edison,2020-11-04T04:50:38Z,0.464,0.522
10132385,87,edison,2020-11-04T04:50:59Z,0.464,0.522
10150859,87,edison,2020-11-04T04:52:34Z,0.464,0.522
10171229,87,edison,2020-11-04T04:54:53Z,0.464,0.522
10255590,88,edison,2020-11-04T04:58:15Z,0.465,0.521
10263968,88,edison,2020-11-04T04:59:18Z,0.465,0.521
10279070,88,edison,2020-11-04T05:00:36Z,0.464,0.521
10293354,88,edison,2020-11-04T05:06:34Z,0.464,0.522
10360718,89,edison,2020-11-04T05:08:41Z,0.464,0.522
10376284,89,edison,2020-11-04T05:09:34Z,0.464,0.522
10383362,89,edison,2020-11-04T05:10:12Z,0.464,0.522
10384890,89,edison,2020-11-04T05:10:39Z,0.464,0.522
10387754,89,edison,2020-11-04T05:10:57Z,0.463,0.522
10427588,89,edison,2020-11-04T05:13:00Z,0.464,0.522
10429331,89,edison,2020-11-04T05:14:05Z,0.464,0.522
10443907,90,edison,2020-11-04T05:15:46Z,0.464,0.522
10443941,90,edison,2020-11-04T05:15:57Z,0.464,0.522
10456154,90,edison,2020-11-04T05:19:53Z,0.463,0.522
10456156,90,edison,2020-11-04T05:21:54Z,0.463,0.522
10456442,90,edison,2020-11-04T05:23:15Z,0.463,0.522
10467515,90,edison,2020-11-04T05:24:15Z,0.463,0.522
10467523,90,edison,2020-11-04T05:24:41Z,0.463,0.522
10467535,90,edison,2020-11-04T05:27:09Z,0.463,0.522
10486190,90,edison,2020-11-04T05:29:21Z,0.463,0.523
10486236,90,edison,2020-11-04T05:29:26Z,0.463,0.523
10496479,90,edison,2020-11-04T05:30:56Z,0.463,0.523
10532676,90,edison,2020-11-04T05:35:05Z,0.462,0.523
10557570,91,edison,2020-11-04T05:35:57Z,0.462,0.523
10557671,91,edison,2020-11-04T05:36:56Z,0.462,0.523
10571963,91,edison,2020-11-04T05:40:58Z,0.462,0.523
10578101,91,edison,2020-11-04T05:44:09Z,0.462,0.523
10583062,91,edison,2020-11-04T05:47:42Z,0.462,0.523
10584255,91,edison,2020-11-04T05:51:20Z,0.462,0.523
10591188,91,edison,2020-11-04T05:52:45Z,0.462,0.523
10591191,91,edison,2020-11-04T05:54:56Z,0.462,0.523
10673561,92,edison,2020-11-04T05:58:14Z,0.463,0.523
10673658,92,edison,2020-11-04T05:58:31Z,0.463,0.523
10727502,92,edison,2020-11-04T05:59:00Z,0.463,0.522
10732653,92,edison,2020-11-04T05:59:08Z,0.463,0.522
10736708,92,edison,2020-11-04T06:00:14Z,0.463,0.522
10739392,92,edison,2020-11-04T06:01:32Z,0.463,0.522
10764947,92,edison,2020-11-04T06:01:40Z,0.462,0.523
10784858,92,edison,2020-11-04T06:02:09Z,0.462,0.523
10787426,93,edison,2020-11-04T06:03:10Z,0.462,0.523
10792023,93,edison,2020-11-04T06:13:58Z,0.462,0.523
10815646,93,edison,2020-11-04T06:24:01Z,0.462,0.523
