votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T09:59:44Z,0.0,0.0
18130,1,edison,2020-11-04T03:06:42Z,0.647,0.338
360385,27,edison,2020-11-04T03:08:27Z,0.557,0.414
361292,27,edison,2020-11-04T03:09:49Z,0.556,0.415
388195,29,edison,2020-11-04T03:11:12Z,0.538,0.432
464144,34,edison,2020-11-04T03:13:54Z,0.489,0.481
464146,34,edison,2020-11-04T03:15:50Z,0.489,0.481
464720,34,edison,2020-11-04T03:17:31Z,0.489,0.481
602218,45,edison,2020-11-04T03:20:44Z,0.459,0.508
610158,45,edison,2020-11-04T03:25:59Z,0.454,0.513
610454,45,edison,2020-11-04T03:28:02Z,0.454,0.512
613469,45,edison,2020-11-04T03:30:12Z,0.452,0.514
799939,59,edison,2020-11-04T03:33:01Z,0.415,0.545
799973,59,edison,2020-11-04T03:37:38Z,0.415,0.545
830179,61,edison,2020-11-04T03:40:21Z,0.406,0.554
831255,62,edison,2020-11-04T03:42:21Z,0.405,0.554
832126,62,edison,2020-11-04T03:53:09Z,0.405,0.555
834579,62,edison,2020-11-04T03:54:07Z,0.404,0.553
834639,62,edison,2020-11-04T03:54:33Z,0.404,0.553
909155,67,edison,2020-11-04T03:57:20Z,0.403,0.555
920814,68,edison,2020-11-04T04:00:19Z,0.4,0.558
923193,68,edison,2020-11-04T04:29:19Z,0.399,0.559
923305,68,edison,2020-11-04T04:33:18Z,0.399,0.558
923341,68,edison,2020-11-04T04:33:58Z,0.399,0.558
924493,68,edison,2020-11-04T04:44:41Z,0.399,0.559
924684,68,edison,2020-11-04T04:47:08Z,0.399,0.559
924805,69,edison,2020-11-04T04:51:43Z,0.399,0.559
925636,69,edison,2020-11-04T04:55:07Z,0.4,0.561
925863,69,edison,2020-11-04T04:55:51Z,0.4,0.561
928569,69,edison,2020-11-04T04:59:51Z,0.399,0.562
947057,70,edison,2020-11-04T05:04:30Z,0.395,0.567
957328,71,edison,2020-11-04T05:08:40Z,0.392,0.569
983616,73,edison,2020-11-04T05:19:19Z,0.388,0.577
985547,73,edison,2020-11-04T05:40:17Z,0.387,0.577
1001807,74,edison,2020-11-04T05:54:26Z,0.387,0.578
1001928,74,edison,2020-11-04T05:55:01Z,0.387,0.578
1010237,75,edison,2020-11-04T05:59:54Z,0.386,0.578
1010275,75,edison,2020-11-04T06:07:51Z,0.386,0.578
1010340,75,edison,2020-11-04T06:08:58Z,0.386,0.578
1015583,75,edison,2020-11-04T06:10:53Z,0.387,0.578
1016620,75,edison,2020-11-04T06:18:55Z,0.386,0.578
1016816,75,edison,2020-11-04T06:24:51Z,0.386,0.578
1017414,75,edison,2020-11-04T06:25:16Z,0.386,0.578
1018859,75,edison,2020-11-04T06:28:53Z,0.386,0.578
1023980,76,edison,2020-11-04T06:56:29Z,0.386,0.577
1024117,76,edison,2020-11-04T07:03:45Z,0.386,0.577
1025669,76,edison,2020-11-04T07:05:53Z,0.386,0.578
1033225,77,edison,2020-11-04T07:06:54Z,0.385,0.579
1043498,77,edison,2020-11-04T07:10:53Z,0.384,0.58
1049752,78,edison,2020-11-04T07:49:54Z,0.383,0.581
1066607,79,edison,2020-11-04T22:00:57Z,0.379,0.584
1082513,80,edison,2020-11-04T22:59:58Z,0.38,0.583
1158744,86,edison,2020-11-05T23:34:24Z,0.377,0.584
1172355,87,edison,2020-11-06T00:54:40Z,0.375,0.585
1193845,88,edison,2020-11-06T22:01:43Z,0.372,0.587
1300030,96,edison,2020-11-08T17:29:22Z,0.377,0.584
1303775,97,edison,2020-11-09T14:35:59Z,0.375,0.583
1303836,97,edison,2020-11-09T18:58:30Z,0.375,0.583
1304258,97,edison,2020-11-09T22:04:44Z,0.375,0.583
1313768,97,edison,2020-11-09T22:05:45Z,0.374,0.583
1339814,99,edison,2020-11-10T15:11:59Z,0.377,0.583
1368014,99,edison,2020-11-10T22:02:54Z,0.374,0.585
1403752,99,edison,2020-11-10T23:00:50Z,0.376,0.583
1435687,99,edison,2020-11-11T23:01:49Z,0.378,0.581
1444449,99,edison,2020-11-12T19:57:03Z,0.378,0.58
