votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T07:41:41Z,0.0,0.0
2396,1,edison,2020-11-04T00:16:17Z,0.627,0.373
9355,3,edison,2020-11-04T00:35:09Z,0.618,0.354
19083,5,edison,2020-11-04T00:45:08Z,0.625,0.346
25764,7,edison,2020-11-04T00:55:06Z,0.614,0.355
42624,12,edison,2020-11-04T01:05:08Z,0.647,0.322
69053,19,edison,2020-11-04T01:15:09Z,0.643,0.326
91751,26,edison,2020-11-04T01:25:12Z,0.659,0.307
103071,29,edison,2020-11-04T01:35:05Z,0.662,0.304
114672,32,edison,2020-11-04T01:45:08Z,0.658,0.308
136043,38,edison,2020-11-04T01:55:14Z,0.663,0.305
153454,43,edison,2020-11-04T02:05:15Z,0.671,0.298
167333,47,edison,2020-11-04T02:15:14Z,0.663,0.306
191070,54,edison,2020-11-04T02:26:59Z,0.668,0.302
212448,60,edison,2020-11-04T02:39:15Z,0.665,0.304
226827,64,edison,2020-11-04T02:45:41Z,0.662,0.308
241071,68,edison,2020-11-04T02:56:56Z,0.663,0.307
264208,74,edison,2020-11-04T03:18:38Z,0.666,0.304
273275,77,edison,2020-11-04T03:27:55Z,0.667,0.304
284939,80,edison,2020-11-04T03:38:46Z,0.663,0.308
287838,81,edison,2020-11-04T03:48:26Z,0.661,0.307
289899,82,edison,2020-11-04T03:51:06Z,0.659,0.308
298799,84,edison,2020-11-04T03:58:14Z,0.658,0.309
298929,84,edison,2020-11-04T03:58:35Z,0.658,0.309
307726,87,edison,2020-11-04T04:07:15Z,0.657,0.31
309866,87,edison,2020-11-04T04:19:41Z,0.657,0.31
309889,87,edison,2020-11-04T04:21:36Z,0.656,0.31
316504,89,edison,2020-11-04T04:28:34Z,0.657,0.31
321970,91,edison,2020-11-04T04:35:48Z,0.657,0.31
324782,91,edison,2020-11-04T04:48:13Z,0.657,0.31
326509,92,edison,2020-11-04T04:58:32Z,0.656,0.311
326518,92,edison,2020-11-04T05:00:31Z,0.656,0.311
327969,92,edison,2020-11-04T05:08:44Z,0.655,0.312
329662,92,edison,2020-11-04T05:09:38Z,0.655,0.312
329678,92,edison,2020-11-04T05:13:31Z,0.655,0.312
330992,92,edison,2020-11-04T05:18:20Z,0.655,0.312
332199,92,edison,2020-11-04T05:27:38Z,0.654,0.312
334027,92,edison,2020-11-04T05:35:29Z,0.653,0.314
335176,92,edison,2020-11-04T05:47:33Z,0.653,0.314
337483,92,edison,2020-11-04T06:05:48Z,0.652,0.315
339492,92,edison,2020-11-04T06:14:56Z,0.652,0.315
340344,92,edison,2020-11-04T06:24:56Z,0.652,0.315
345552,93,edison,2020-11-04T06:34:57Z,0.65,0.317
346813,94,edison,2020-11-04T07:04:56Z,0.65,0.316
347292,94,edison,2020-11-04T07:54:55Z,0.65,0.316
348625,94,edison,2020-11-04T12:15:56Z,0.65,0.317
349164,94,edison,2020-11-04T13:55:57Z,0.65,0.317
349170,94,edison,2020-11-04T14:56:01Z,0.65,0.317
349414,94,edison,2020-11-04T15:46:11Z,0.649,0.317
349443,94,edison,2020-11-04T16:35:56Z,0.649,0.317
349451,94,edison,2020-11-04T16:55:58Z,0.649,0.317
349456,94,edison,2020-11-04T17:15:58Z,0.649,0.317
349458,94,edison,2020-11-04T17:35:56Z,0.649,0.317
350017,95,edison,2020-11-04T18:51:10Z,0.649,0.317
350038,95,edison,2020-11-04T19:22:20Z,0.649,0.317
350039,95,edison,2020-11-04T19:30:58Z,0.649,0.317
350056,95,edison,2020-11-04T21:51:00Z,0.649,0.317
350078,95,edison,2020-11-04T22:21:57Z,0.649,0.317
350091,95,edison,2020-11-05T00:51:56Z,0.649,0.317
350167,95,edison,2020-11-05T20:51:56Z,0.649,0.317
350176,95,edison,2020-11-05T22:30:43Z,0.649,0.317
350178,95,edison,2020-11-06T03:44:50Z,0.649,0.317
366967,99,edison,2020-11-11T17:27:22Z,0.661,0.307
367432,99,edison,2020-11-11T17:38:58Z,0.66,0.306
367675,99,edison,2020-11-12T18:09:10Z,0.66,0.306
367761,99,edison,2020-11-12T19:21:50Z,0.66,0.306
