votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T06:01:19Z,0.0,0.0
2349,0,edison,2020-11-04T00:07:32Z,0.461,0.533
2681,0,edison,2020-11-04T00:11:27Z,0.518,0.477
3259,0,edison,2020-11-04T00:12:14Z,0.478,0.515
3664,0,edison,2020-11-04T00:14:02Z,0.436,0.558
7386,0,edison,2020-11-04T00:15:04Z,0.302,0.689
7902,0,edison,2020-11-04T00:16:00Z,0.3,0.69
28918,1,edison,2020-11-04T00:20:51Z,0.366,0.612
29819,1,edison,2020-11-04T00:21:36Z,0.366,0.612
90359,2,edison,2020-11-04T00:24:25Z,0.337,0.646
100347,2,edison,2020-11-04T00:25:04Z,0.331,0.652
101496,2,edison,2020-11-04T00:26:06Z,0.329,0.654
105511,2,edison,2020-11-04T00:30:40Z,0.328,0.655
115001,2,edison,2020-11-04T00:33:03Z,0.335,0.648
118522,3,edison,2020-11-04T00:34:01Z,0.335,0.647
119251,3,edison,2020-11-04T00:34:33Z,0.335,0.648
370911,8,edison,2020-11-04T00:35:14Z,0.493,0.49
376185,8,edison,2020-11-04T00:36:02Z,0.49,0.493
391190,8,edison,2020-11-04T00:37:07Z,0.482,0.502
391750,8,edison,2020-11-04T00:38:37Z,0.482,0.502
394507,8,edison,2020-11-04T00:43:23Z,0.48,0.503
415354,9,edison,2020-11-04T00:44:42Z,0.464,0.519
586215,12,edison,2020-11-04T00:46:04Z,0.42,0.563
602868,13,edison,2020-11-04T00:49:37Z,0.426,0.557
620931,13,edison,2020-11-04T00:49:49Z,0.426,0.556
634731,14,edison,2020-11-04T00:53:08Z,0.42,0.561
646874,14,edison,2020-11-04T00:55:08Z,0.417,0.564
825352,18,edison,2020-11-04T00:57:07Z,0.403,0.578
828295,18,edison,2020-11-04T00:58:31Z,0.402,0.579
848583,18,edison,2020-11-04T01:01:16Z,0.401,0.58
849585,18,edison,2020-11-04T01:01:57Z,0.401,0.58
850943,18,edison,2020-11-04T01:05:02Z,0.401,0.58
1096238,23,edison,2020-11-04T01:06:08Z,0.393,0.589
1112605,24,edison,2020-11-04T01:09:43Z,0.393,0.588
1174042,25,edison,2020-11-04T01:11:33Z,0.395,0.586
1229862,26,edison,2020-11-04T01:12:21Z,0.394,0.587
1230783,26,edison,2020-11-04T01:13:20Z,0.394,0.587
1237693,26,edison,2020-11-04T01:15:09Z,0.393,0.586
1237704,26,edison,2020-11-04T01:16:36Z,0.393,0.586
1237721,26,edison,2020-11-04T01:17:11Z,0.393,0.586
1247175,27,edison,2020-11-04T01:17:51Z,0.394,0.585
1250264,27,edison,2020-11-04T01:18:21Z,0.394,0.585
1259818,27,edison,2020-11-04T01:20:28Z,0.395,0.583
1271297,27,edison,2020-11-04T01:21:02Z,0.396,0.582
1271310,27,edison,2020-11-04T01:21:45Z,0.396,0.582
1294184,28,edison,2020-11-04T01:21:53Z,0.396,0.583
1324032,28,edison,2020-11-04T01:22:21Z,0.395,0.583
1347167,29,edison,2020-11-04T01:23:14Z,0.397,0.582
1355529,29,edison,2020-11-04T01:24:12Z,0.396,0.582
1360412,29,edison,2020-11-04T01:25:13Z,0.396,0.583
1386956,30,edison,2020-11-04T01:26:03Z,0.395,0.583
1389517,30,edison,2020-11-04T01:26:51Z,0.396,0.583
1391099,30,edison,2020-11-04T01:29:03Z,0.396,0.583
1394583,30,edison,2020-11-04T01:32:14Z,0.396,0.583
1486658,32,edison,2020-11-04T01:33:42Z,0.402,0.577
1494437,32,edison,2020-11-04T01:41:19Z,0.401,0.578
1614447,34,edison,2020-11-04T01:42:10Z,0.402,0.578
1624033,35,edison,2020-11-04T01:43:11Z,0.402,0.578
1624089,35,edison,2020-11-04T01:51:34Z,0.402,0.578
1624096,35,edison,2020-11-04T01:52:07Z,0.402,0.578
1632794,35,edison,2020-11-04T01:52:13Z,0.402,0.577
1650359,35,edison,2020-11-04T01:53:22Z,0.402,0.577
