votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:24Z,0.0,0.0
3478,0,edison,2020-11-04T04:11:18Z,0.306,0.679
16186,0,edison,2020-11-04T04:18:15Z,0.454,0.527
48769,1,edison,2020-11-04T04:21:18Z,0.472,0.502
832963,22,edison,2020-11-04T04:21:51Z,0.533,0.437
1206182,32,edison,2020-11-04T04:22:03Z,0.556,0.414
1227293,32,edison,2020-11-04T04:22:13Z,0.554,0.416
3108414,82,edison,2020-11-04T04:22:28Z,0.619,0.357
3117944,82,edison,2020-11-04T04:22:42Z,0.619,0.358
3117974,82,edison,2020-11-04T04:23:25Z,0.619,0.358
3118055,82,edison,2020-11-04T04:24:23Z,0.619,0.358
3124170,82,edison,2020-11-04T04:25:17Z,0.618,0.358
3189915,84,edison,2020-11-04T04:29:56Z,0.612,0.362
3190016,84,edison,2020-11-04T04:31:08Z,0.612,0.362
3190155,84,edison,2020-11-04T04:31:42Z,0.612,0.362
3263913,86,edison,2020-11-04T04:32:05Z,0.609,0.365
3263971,86,edison,2020-11-04T04:33:00Z,0.609,0.365
3297092,87,edison,2020-11-04T04:37:10Z,0.607,0.367
3306840,87,edison,2020-11-04T04:46:50Z,0.607,0.367
3307060,87,edison,2020-11-04T04:47:08Z,0.607,0.367
3307060,87,edison,2020-11-04T04:54:15Z,0.609,0.367
3307813,87,edison,2020-11-04T05:12:16Z,0.609,0.367
3307965,87,edison,2020-11-04T05:30:33Z,0.609,0.367
3308038,87,edison,2020-11-04T05:31:18Z,0.609,0.367
3308064,87,edison,2020-11-04T05:32:06Z,0.609,0.367
3308071,87,edison,2020-11-04T05:32:55Z,0.609,0.367
3308218,87,edison,2020-11-04T05:34:04Z,0.609,0.367
3308847,87,edison,2020-11-04T05:36:12Z,0.609,0.367
3323525,87,edison,2020-11-04T05:50:42Z,0.609,0.367
3323760,87,edison,2020-11-04T05:56:22Z,0.609,0.367
3324241,87,edison,2020-11-04T06:14:09Z,0.609,0.367
3324337,87,edison,2020-11-04T06:15:59Z,0.609,0.367
3324496,87,edison,2020-11-04T20:30:58Z,0.609,0.367
3333661,87,edison,2020-11-04T22:51:53Z,0.608,0.368
3334120,88,edison,2020-11-04T23:02:54Z,0.608,0.368
3342523,88,edison,2020-11-04T23:34:53Z,0.607,0.369
3349764,88,edison,2020-11-04T23:46:55Z,0.607,0.369
3351377,88,edison,2020-11-04T23:57:53Z,0.607,0.369
3431080,90,edison,2020-11-05T00:02:55Z,0.607,0.369
3431278,90,edison,2020-11-05T00:43:53Z,0.607,0.369
3434134,90,edison,2020-11-05T00:49:53Z,0.607,0.369
3441677,90,edison,2020-11-05T00:57:53Z,0.607,0.369
3450880,91,edison,2020-11-05T01:00:57Z,0.607,0.37
3454729,91,edison,2020-11-05T01:02:56Z,0.606,0.37
3497419,92,edison,2020-11-05T01:18:55Z,0.604,0.372
3511765,92,edison,2020-11-05T01:23:53Z,0.603,0.374
3526724,93,edison,2020-11-05T01:41:54Z,0.603,0.374
3528685,93,edison,2020-11-05T01:49:03Z,0.603,0.374
3531794,93,edison,2020-11-05T02:53:45Z,0.603,0.375
3538550,93,edison,2020-11-05T04:32:46Z,0.602,0.375
3538667,93,edison,2020-11-05T18:21:48Z,0.602,0.375
3538946,93,edison,2020-11-05T21:22:41Z,0.602,0.375
3539243,93,edison,2020-11-05T21:34:40Z,0.602,0.375
3539492,93,edison,2020-11-05T21:55:39Z,0.602,0.375
3547250,93,edison,2020-11-05T22:42:41Z,0.601,0.376
3556015,93,edison,2020-11-05T23:45:40Z,0.601,0.376
3626542,93,edison,2020-11-05T23:58:42Z,0.601,0.375
3637253,93,edison,2020-11-06T00:03:39Z,0.6,0.376
3638575,93,edison,2020-11-06T00:08:39Z,0.6,0.376
3639588,93,edison,2020-11-06T00:30:38Z,0.6,0.376
3651171,93,edison,2020-11-06T00:38:41Z,0.6,0.377
3653276,93,edison,2020-11-06T00:48:43Z,0.599,0.377
3653970,93,edison,2020-11-06T01:05:40Z,0.599,0.377
3681211,93,edison,2020-11-06T01:15:39Z,0.598,0.377
3701667,93,edison,2020-11-06T01:56:38Z,0.597,0.379
3744932,93,edison,2020-11-06T02:00:49Z,0.595,0.38
3748253,93,edison,2020-11-06T02:38:39Z,0.595,0.38
3750036,93,edison,2020-11-06T03:57:39Z,0.595,0.38
3757836,93,edison,2020-11-06T20:24:39Z,0.594,0.381
3757945,93,edison,2020-11-06T20:52:40Z,0.594,0.381
3760218,93,edison,2020-11-06T22:04:43Z,0.594,0.381
3782676,93,edison,2020-11-06T23:41:42Z,0.593,0.382
3783327,93,edison,2020-11-06T23:46:40Z,0.593,0.382
3784358,93,edison,2020-11-06T23:49:39Z,0.593,0.382
3785985,93,edison,2020-11-07T00:03:40Z,0.593,0.382
3789316,93,edison,2020-11-07T00:16:43Z,0.593,0.383
3795471,93,edison,2020-11-07T00:25:40Z,0.592,0.383
3796102,93,edison,2020-11-07T00:34:41Z,0.592,0.383
3804455,93,edison,2020-11-07T00:46:39Z,0.592,0.383
3813721,93,edison,2020-11-07T00:52:40Z,0.591,0.384
3816728,93,edison,2020-11-07T00:56:45Z,0.591,0.384
3825159,93,edison,2020-11-07T01:05:51Z,0.591,0.384
3841064,94,edison,2020-11-07T01:11:41Z,0.591,0.384
3856470,94,edison,2020-11-07T01:26:40Z,0.59,0.385
3864736,94,edison,2020-11-07T01:39:40Z,0.59,0.385
3878340,95,edison,2020-11-07T02:20:42Z,0.589,0.386
3882952,95,edison,2020-11-07T02:35:29Z,0.589,0.386
3883174,95,edison,2020-11-07T03:09:40Z,0.589,0.386
3886391,95,edison,2020-11-08T00:00:48Z,0.589,0.386
3895675,95,edison,2020-11-08T01:00:52Z,0.589,0.386
3905228,95,edison,2020-11-08T01:01:42Z,0.588,0.386
3917784,96,edison,2020-11-08T01:20:53Z,0.588,0.387
3925385,96,edison,2020-11-09T23:29:42Z,0.588,0.387
3927729,96,edison,2020-11-09T23:40:43Z,0.588,0.387
3941259,96,edison,2020-11-09T23:47:43Z,0.587,0.388
3944125,96,edison,2020-11-09T23:50:43Z,0.587,0.388
3944289,96,edison,2020-11-09T23:55:41Z,0.587,0.388
3944689,96,edison,2020-11-10T00:11:43Z,0.587,0.388
3948371,96,edison,2020-11-10T00:31:44Z,0.587,0.388
3948952,96,edison,2020-11-10T00:34:40Z,0.587,0.388
3949372,96,edison,2020-11-10T00:49:40Z,0.587,0.388
3952806,96,edison,2020-11-10T00:58:40Z,0.586,0.388
3954052,96,edison,2020-11-10T01:04:44Z,0.586,0.388
3957101,97,edison,2020-11-10T01:05:41Z,0.586,0.388
3957584,97,edison,2020-11-10T01:14:40Z,0.586,0.388
3957796,97,edison,2020-11-10T01:52:41Z,0.586,0.388
3958943,97,edison,2020-11-10T04:23:40Z,0.586,0.388
3967179,97,edison,2020-11-10T23:35:49Z,0.586,0.388
3970755,97,edison,2020-11-10T23:41:47Z,0.586,0.388
3973841,97,edison,2020-11-10T23:46:54Z,0.586,0.388
3978533,97,edison,2020-11-10T23:52:50Z,0.586,0.388
3978732,97,edison,2020-11-10T23:57:52Z,0.586,0.388
3978964,97,edison,2020-11-11T00:03:57Z,0.586,0.388
3981377,97,edison,2020-11-11T00:13:49Z,0.586,0.388
3983685,97,edison,2020-11-11T00:16:48Z,0.586,0.388
3985823,97,edison,2020-11-11T00:25:50Z,0.586,0.388
3992513,97,edison,2020-11-11T00:34:49Z,0.586,0.389
3995954,97,edison,2020-11-11T00:45:49Z,0.585,0.389
3996253,97,edison,2020-11-11T00:48:47Z,0.585,0.389
3997445,97,edison,2020-11-11T00:51:47Z,0.585,0.389
4000063,98,edison,2020-11-11T00:54:48Z,0.585,0.389
4000679,98,edison,2020-11-11T01:12:48Z,0.585,0.389
4002424,98,edison,2020-11-11T23:12:49Z,0.585,0.389
4004599,98,edison,2020-11-11T23:47:53Z,0.585,0.389
4009665,98,edison,2020-11-12T20:22:51Z,0.585,0.389
4011042,98,edison,2020-11-12T22:13:50Z,0.585,0.389
4011585,98,edison,2020-11-12T22:58:48Z,0.585,0.389
4011852,98,edison,2020-11-12T23:26:49Z,0.585,0.389
4013378,98,edison,2020-11-12T23:58:50Z,0.585,0.389
4014590,98,edison,2020-11-13T00:03:51Z,0.585,0.389
4014640,98,edison,2020-11-13T00:23:48Z,0.585,0.389
4015031,98,edison,2020-11-13T00:29:48Z,0.585,0.389
4015563,98,edison,2020-11-13T00:32:47Z,0.585,0.389
4016263,98,edison,2020-11-13T00:34:49Z,0.585,0.389
