votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:01:44Z,0.0,0.0
30211,4,edison,2020-11-04T00:48:39Z,0.535,0.446
34425,4,edison,2020-11-04T01:03:20Z,0.508,0.474
34543,4,edison,2020-11-04T01:04:36Z,0.506,0.472
41188,5,edison,2020-11-04T01:13:51Z,0.48,0.5
53771,7,edison,2020-11-04T01:16:07Z,0.456,0.525
75713,10,edison,2020-11-04T01:19:01Z,0.421,0.56
84834,11,edison,2020-11-04T01:23:59Z,0.418,0.563
89067,11,edison,2020-11-04T01:25:43Z,0.415,0.565
103986,13,edison,2020-11-04T01:26:30Z,0.417,0.563
106962,13,edison,2020-11-04T01:28:50Z,0.412,0.569
134350,17,edison,2020-11-04T01:33:30Z,0.392,0.589
148260,19,edison,2020-11-04T01:33:35Z,0.379,0.602
149460,19,edison,2020-11-04T01:35:47Z,0.377,0.604
165978,21,edison,2020-11-04T01:38:58Z,0.365,0.617
169766,21,edison,2020-11-04T01:40:39Z,0.362,0.62
177077,22,edison,2020-11-04T01:45:12Z,0.36,0.621
179522,23,edison,2020-11-04T01:45:50Z,0.357,0.623
188386,24,edison,2020-11-04T01:46:42Z,0.355,0.625
194305,24,edison,2020-11-04T01:47:09Z,0.351,0.629
198705,25,edison,2020-11-04T01:47:58Z,0.347,0.633
201021,25,edison,2020-11-04T01:48:16Z,0.346,0.635
232364,29,edison,2020-11-04T01:48:25Z,0.357,0.624
284782,36,edison,2020-11-04T01:50:30Z,0.361,0.62
327161,41,edison,2020-11-04T01:52:36Z,0.382,0.599
335006,42,edison,2020-11-04T01:57:00Z,0.379,0.602
336068,42,edison,2020-11-04T01:57:40Z,0.378,0.603
338321,43,edison,2020-11-04T01:58:17Z,0.377,0.605
340045,43,edison,2020-11-04T01:59:10Z,0.376,0.606
345679,43,edison,2020-11-04T01:59:22Z,0.372,0.609
349672,44,edison,2020-11-04T02:00:32Z,0.37,0.611
351163,44,edison,2020-11-04T02:05:17Z,0.369,0.612
352596,44,edison,2020-11-04T02:07:11Z,0.368,0.613
356082,45,edison,2020-11-04T02:07:22Z,0.366,0.615
392597,49,edison,2020-11-04T02:08:09Z,0.36,0.622
396774,50,edison,2020-11-04T02:09:10Z,0.357,0.624
400790,50,edison,2020-11-04T02:12:30Z,0.355,0.626
401894,51,edison,2020-11-04T02:19:01Z,0.355,0.627
426519,54,edison,2020-11-04T02:19:39Z,0.346,0.635
429964,54,edison,2020-11-04T02:19:55Z,0.345,0.637
439463,55,edison,2020-11-04T02:20:39Z,0.345,0.636
444632,56,edison,2020-11-04T02:22:02Z,0.343,0.638
465765,59,edison,2020-11-04T02:29:04Z,0.346,0.635
471500,59,edison,2020-11-04T02:35:50Z,0.344,0.638
479308,60,edison,2020-11-04T02:38:51Z,0.341,0.64
482499,61,edison,2020-11-04T02:40:53Z,0.34,0.641
506012,64,edison,2020-11-04T02:41:31Z,0.335,0.647
506092,64,edison,2020-11-04T02:43:29Z,0.335,0.647
520213,65,edison,2020-11-04T02:49:43Z,0.331,0.651
534950,67,edison,2020-11-04T02:50:23Z,0.33,0.652
