votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T10:02:04Z,0.0,0.0
1095,0,edison,2020-11-04T02:14:29Z,0.725,0.256
9001,0,edison,2020-11-04T02:18:58Z,0.362,0.619
43641,1,edison,2020-11-04T02:23:05Z,0.624,0.359
109676,3,edison,2020-11-04T02:24:58Z,0.441,0.543
116441,3,edison,2020-11-04T02:27:50Z,0.433,0.55
138795,4,edison,2020-11-04T02:27:56Z,0.487,0.496
139671,4,edison,2020-11-04T02:28:29Z,0.486,0.498
213227,6,edison,2020-11-04T02:29:02Z,0.508,0.474
279037,8,edison,2020-11-04T02:30:00Z,0.489,0.492
281229,8,edison,2020-11-04T02:32:26Z,0.488,0.493
316869,9,edison,2020-11-04T02:34:02Z,0.471,0.509
352596,10,edison,2020-11-04T02:34:40Z,0.504,0.477
353826,10,edison,2020-11-04T02:35:06Z,0.504,0.477
359150,10,edison,2020-11-04T02:36:25Z,0.502,0.48
359709,10,edison,2020-11-04T02:37:36Z,0.501,0.48
376689,10,edison,2020-11-04T02:38:19Z,0.499,0.482
393072,11,edison,2020-11-04T02:39:00Z,0.495,0.486
468775,13,edison,2020-11-04T02:42:35Z,0.512,0.469
511953,14,edison,2020-11-04T02:43:50Z,0.504,0.477
512037,14,edison,2020-11-04T02:44:16Z,0.504,0.477
555995,15,edison,2020-11-04T02:46:37Z,0.483,0.498
623182,17,edison,2020-11-04T02:46:58Z,0.516,0.466
661164,18,edison,2020-11-04T02:47:06Z,0.51,0.473
661737,18,edison,2020-11-04T02:48:16Z,0.509,0.472
670482,19,edison,2020-11-04T02:48:52Z,0.508,0.474
688302,19,edison,2020-11-04T02:49:19Z,0.507,0.474
730981,20,edison,2020-11-04T02:51:09Z,0.5,0.482
751724,21,edison,2020-11-04T02:51:39Z,0.509,0.474
781761,22,edison,2020-11-04T02:52:35Z,0.501,0.482
819913,23,edison,2020-11-04T02:53:41Z,0.496,0.487
820289,23,edison,2020-11-04T02:54:34Z,0.496,0.487
821494,23,edison,2020-11-04T02:55:58Z,0.495,0.487
844894,23,edison,2020-11-04T02:56:07Z,0.495,0.487
847690,24,edison,2020-11-04T02:57:10Z,0.495,0.488
855189,24,edison,2020-11-04T02:57:38Z,0.497,0.485
915557,25,edison,2020-11-04T02:58:08Z,0.488,0.495
944136,26,edison,2020-11-04T02:58:29Z,0.485,0.498
945040,26,edison,2020-11-04T02:59:11Z,0.485,0.498
983937,27,edison,2020-11-04T02:59:37Z,0.478,0.505
992552,28,edison,2020-11-04T03:00:20Z,0.477,0.505
1026828,29,edison,2020-11-04T03:01:17Z,0.476,0.507
1067172,30,edison,2020-11-04T03:03:52Z,0.478,0.504
1068544,30,edison,2020-11-04T03:04:05Z,0.478,0.505
1087928,30,edison,2020-11-04T03:06:03Z,0.477,0.506
1089047,30,edison,2020-11-04T03:06:21Z,0.477,0.506
1115492,31,edison,2020-11-04T03:09:17Z,0.475,0.508
1116936,31,edison,2020-11-04T03:10:18Z,0.475,0.508
1118820,31,edison,2020-11-04T03:10:42Z,0.475,0.508
1127793,31,edison,2020-11-04T03:11:07Z,0.474,0.509
1128436,31,edison,2020-11-04T03:11:30Z,0.474,0.509
1129435,31,edison,2020-11-04T03:13:28Z,0.474,0.509
1144057,32,edison,2020-11-04T03:14:01Z,0.473,0.51
1144934,32,edison,2020-11-04T03:14:27Z,0.473,0.51
1146504,32,edison,2020-11-04T03:15:00Z,0.473,0.51
1150829,32,edison,2020-11-04T03:16:53Z,0.472,0.511
1162185,32,edison,2020-11-04T03:22:01Z,0.472,0.511
1177333,33,edison,2020-11-04T03:24:08Z,0.472,0.511
1231243,34,edison,2020-11-04T03:27:32Z,0.483,0.5
1271741,35,edison,2020-11-04T03:28:57Z,0.483,0.5
1273241,35,edison,2020-11-04T03:30:09Z,0.483,0.5
1293950,36,edison,2020-11-04T03:30:28Z,0.481,0.502
1295948,36,edison,2020-11-04T03:30:52Z,0.481,0.503
1314342,37,edison,2020-11-04T03:35:25Z,0.48,0.503
1315928,37,edison,2020-11-04T03:37:17Z,0.481,0.502
1338972,37,edison,2020-11-04T03:39:29Z,0.482,0.501
1371871,38,edison,2020-11-04T03:44:05Z,0.483,0.501
1390806,39,edison,2020-11-04T03:44:54Z,0.481,0.502
1420086,39,edison,2020-11-04T03:46:25Z,0.483,0.5
1433951,40,edison,2020-11-04T03:46:46Z,0.484,0.499
1441731,40,edison,2020-11-04T03:50:10Z,0.483,0.5
1445245,40,edison,2020-11-04T03:51:23Z,0.483,0.5
1469107,41,edison,2020-11-04T03:53:26Z,0.481,0.502
1469186,41,edison,2020-11-04T03:54:07Z,0.481,0.502
1473224,41,edison,2020-11-04T03:55:00Z,0.481,0.502
1474586,41,edison,2020-11-04T03:55:27Z,0.481,0.502
1483756,41,edison,2020-11-04T03:56:12Z,0.48,0.503
1485560,41,edison,2020-11-04T03:57:47Z,0.479,0.503
1512162,42,edison,2020-11-04T03:59:40Z,0.485,0.498
1512685,42,edison,2020-11-04T04:00:08Z,0.485,0.498
1526911,42,edison,2020-11-04T04:00:47Z,0.483,0.5
1532318,43,edison,2020-11-04T04:01:02Z,0.483,0.5
1534123,43,edison,2020-11-04T04:02:43Z,0.483,0.5
1543265,43,edison,2020-11-04T04:03:17Z,0.482,0.501
1584658,44,edison,2020-11-04T04:05:14Z,0.479,0.504
1590491,44,edison,2020-11-04T04:05:40Z,0.479,0.504
1605217,45,edison,2020-11-04T04:06:06Z,0.477,0.506
1621498,45,edison,2020-11-04T04:06:31Z,0.476,0.507
1631584,45,edison,2020-11-04T04:06:39Z,0.476,0.507
1636652,45,edison,2020-11-04T04:07:40Z,0.476,0.507
1659168,46,edison,2020-11-04T04:07:55Z,0.476,0.507
1664344,46,edison,2020-11-04T04:08:08Z,0.476,0.507
1665623,46,edison,2020-11-04T04:08:32Z,0.476,0.507
1704202,47,edison,2020-11-04T04:10:26Z,0.475,0.508
1712007,48,edison,2020-11-04T04:11:25Z,0.475,0.508
1719528,48,edison,2020-11-04T04:12:06Z,0.474,0.509
1722833,48,edison,2020-11-04T04:12:37Z,0.474,0.509
1724515,48,edison,2020-11-04T04:12:47Z,0.474,0.509
1724524,48,edison,2020-11-04T04:13:10Z,0.474,0.509
1731454,48,edison,2020-11-04T04:13:33Z,0.474,0.509
1732068,48,edison,2020-11-04T04:14:01Z,0.474,0.509
1743303,48,edison,2020-11-04T04:14:31Z,0.474,0.509
1749777,49,edison,2020-11-04T04:14:54Z,0.474,0.509
1753194,49,edison,2020-11-04T04:15:05Z,0.473,0.51
1794163,50,edison,2020-11-04T04:15:49Z,0.476,0.508
1802632,50,edison,2020-11-04T04:16:17Z,0.475,0.508
1810071,50,edison,2020-11-04T04:16:23Z,0.475,0.508
1814894,50,edison,2020-11-04T04:17:17Z,0.475,0.508
1829503,51,edison,2020-11-04T04:19:21Z,0.474,0.509
1835831,51,edison,2020-11-04T04:19:27Z,0.474,0.509
1836812,51,edison,2020-11-04T04:20:07Z,0.473,0.51
1852682,51,edison,2020-11-04T04:20:46Z,0.473,0.51
1854041,52,edison,2020-11-04T04:21:42Z,0.473,0.51
1854677,52,edison,2020-11-04T04:22:12Z,0.473,0.51
1860030,52,edison,2020-11-04T04:23:03Z,0.472,0.511
1881277,52,edison,2020-11-04T04:23:32Z,0.472,0.512
1887368,52,edison,2020-11-04T04:23:49Z,0.472,0.511
1902470,53,edison,2020-11-04T04:25:29Z,0.47,0.513
1907132,53,edison,2020-11-04T04:26:46Z,0.47,0.513
1924046,53,edison,2020-11-04T04:27:42Z,0.47,0.513
1927940,54,edison,2020-11-04T04:29:44Z,0.47,0.513
1935872,54,edison,2020-11-04T04:31:23Z,0.469,0.514
1958427,54,edison,2020-11-04T04:32:06Z,0.473,0.51
1971743,55,edison,2020-11-04T04:32:35Z,0.473,0.51
1971746,55,edison,2020-11-04T04:34:41Z,0.473,0.51
1989485,55,edison,2020-11-04T04:34:47Z,0.472,0.511
1989995,55,edison,2020-11-04T04:35:50Z,0.472,0.511
2001023,56,edison,2020-11-04T04:36:05Z,0.473,0.511
2021850,56,edison,2020-11-04T04:36:47Z,0.472,0.512
2030410,56,edison,2020-11-04T04:38:51Z,0.471,0.513
2037298,57,edison,2020-11-04T04:39:18Z,0.471,0.512
2038636,57,edison,2020-11-04T04:41:08Z,0.471,0.512
2040177,57,edison,2020-11-04T04:41:25Z,0.471,0.512
2040182,57,edison,2020-11-04T04:41:51Z,0.471,0.512
2042749,57,edison,2020-11-04T04:42:09Z,0.471,0.512
2108233,59,edison,2020-11-04T04:42:45Z,0.469,0.514
2113207,59,edison,2020-11-04T04:43:22Z,0.469,0.515
2121422,59,edison,2020-11-04T04:44:00Z,0.469,0.514
2123976,59,edison,2020-11-04T04:46:16Z,0.469,0.515
2128835,59,edison,2020-11-04T04:46:50Z,0.469,0.515
2129606,59,edison,2020-11-04T04:47:22Z,0.469,0.515
2131642,59,edison,2020-11-04T04:47:38Z,0.468,0.515
2132059,59,edison,2020-11-04T04:47:40Z,0.468,0.515
2135490,59,edison,2020-11-04T04:49:29Z,0.468,0.515
2137383,59,edison,2020-11-04T04:49:53Z,0.468,0.515
2138774,59,edison,2020-11-04T04:50:03Z,0.468,0.515
2142892,60,edison,2020-11-04T04:50:32Z,0.468,0.516
2165402,60,edison,2020-11-04T04:51:27Z,0.468,0.515
2166643,60,edison,2020-11-04T04:52:34Z,0.468,0.515
2188006,61,edison,2020-11-04T04:52:50Z,0.468,0.515
2197641,61,edison,2020-11-04T04:53:20Z,0.468,0.516
2200270,61,edison,2020-11-04T04:53:58Z,0.468,0.516
2200276,61,edison,2020-11-04T04:55:25Z,0.468,0.516
2207989,61,edison,2020-11-04T04:59:29Z,0.468,0.515
2221011,62,edison,2020-11-04T04:59:48Z,0.468,0.515
2234990,62,edison,2020-11-04T05:00:01Z,0.467,0.516
2244377,62,edison,2020-11-04T05:00:27Z,0.467,0.516
2244384,62,edison,2020-11-04T05:00:51Z,0.467,0.516
2252222,63,edison,2020-11-04T05:00:56Z,0.468,0.516
2265835,63,edison,2020-11-04T05:02:42Z,0.468,0.515
2269427,63,edison,2020-11-04T05:02:56Z,0.468,0.515
2270451,63,edison,2020-11-04T05:04:32Z,0.468,0.515
2274150,63,edison,2020-11-04T05:05:01Z,0.468,0.515
2293057,64,edison,2020-11-04T05:05:56Z,0.467,0.516
2293064,64,edison,2020-11-04T05:07:35Z,0.467,0.516
2293067,64,edison,2020-11-04T05:08:03Z,0.467,0.516
2293582,64,edison,2020-11-04T05:08:23Z,0.467,0.516
2302567,64,edison,2020-11-04T05:08:36Z,0.467,0.516
2322181,65,edison,2020-11-04T05:08:56Z,0.469,0.515
