votes,eevp,eevp_source,timestamp,biden,trump
0,0,edison,2020-11-04T08:04:01Z,0.0,0.0
1741,1,edison,2020-11-04T02:39:32Z,0.179,0.797
4638,2,edison,2020-11-04T02:57:26Z,0.131,0.84
6617,2,edison,2020-11-04T03:08:33Z,0.182,0.788
12088,4,edison,2020-11-04T03:39:34Z,0.163,0.803
12872,4,edison,2020-11-04T03:44:20Z,0.155,0.812
17764,6,edison,2020-11-04T03:46:00Z,0.196,0.759
35182,12,edison,2020-11-04T03:53:08Z,0.272,0.688
35744,12,edison,2020-11-04T03:54:29Z,0.27,0.691
38500,13,edison,2020-11-04T03:57:47Z,0.257,0.704
46971,16,edison,2020-11-04T03:58:17Z,0.271,0.692
55250,19,edison,2020-11-04T04:00:29Z,0.257,0.704
71949,25,edison,2020-11-04T04:07:04Z,0.245,0.719
72137,25,edison,2020-11-04T04:11:14Z,0.244,0.719
90248,31,edison,2020-11-04T04:11:40Z,0.256,0.708
94260,33,edison,2020-11-04T04:15:12Z,0.252,0.712
97802,34,edison,2020-11-04T04:17:56Z,0.247,0.718
100714,35,edison,2020-11-04T04:19:06Z,0.243,0.723
105684,36,edison,2020-11-04T04:20:14Z,0.239,0.726
123462,43,edison,2020-11-04T04:26:05Z,0.225,0.739
131507,45,edison,2020-11-04T04:29:34Z,0.234,0.731
133393,46,edison,2020-11-04T04:45:26Z,0.234,0.73
141662,49,edison,2020-11-04T05:07:53Z,0.223,0.74
151062,52,edison,2020-11-04T05:11:00Z,0.22,0.744
160214,55,edison,2020-11-04T05:12:49Z,0.216,0.748
161337,56,edison,2020-11-04T05:22:51Z,0.216,0.749
167578,58,edison,2020-11-04T05:25:57Z,0.215,0.75
174547,60,edison,2020-11-04T05:28:01Z,0.211,0.754
181209,62,edison,2020-11-04T05:36:30Z,0.211,0.754
193043,67,edison,2020-11-04T05:37:45Z,0.235,0.73
197162,68,edison,2020-11-04T06:00:44Z,0.232,0.733
208457,72,edison,2020-11-04T06:12:59Z,0.227,0.739
210191,72,edison,2020-11-04T06:18:38Z,0.226,0.739
211837,73,edison,2020-11-04T06:48:32Z,0.225,0.74
217589,75,edison,2020-11-04T07:15:43Z,0.223,0.743
232266,80,edison,2020-11-04T07:16:15Z,0.251,0.715
268852,93,edison,2020-11-04T08:29:35Z,0.268,0.697
271429,94,edison,2020-11-04T08:45:32Z,0.267,0.698
276343,95,edison,2020-11-04T08:50:19Z,0.266,0.699
276343,99,edison,2020-11-05T03:23:59Z,0.266,0.699
276528,99,edison,2020-11-06T02:42:54Z,0.266,0.7
276535,99,edison,2020-11-11T20:33:49Z,0.266,0.7
276537,99,edison,2020-11-11T20:34:07Z,0.266,0.7
276538,99,edison,2020-11-11T20:34:14Z,0.266,0.7
276654,99,edison,2020-11-11T20:34:54Z,0.266,0.7
276624,99,edison,2020-11-11T20:35:13Z,0.266,0.7
276630,99,edison,2020-11-11T20:35:54Z,0.266,0.7
276648,99,edison,2020-11-11T20:36:41Z,0.266,0.7
276679,99,edison,2020-11-11T20:37:31Z,0.266,0.7
276681,99,edison,2020-11-11T20:37:50Z,0.266,0.7
276765,99,edison,2020-11-11T21:13:55Z,0.266,0.699
